POA_CODE_2021,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_SAR_Ch_0_4,F_Hong_Kong_SAR_Ch_5_14,F_Hong_Kong_SAR_Ch_15_24,F_Hong_Kong_SAR_Ch_25_44,F_Hong_Kong_SAR_Ch_45_54,F_Hong_Kong_SAR_Ch_55_64,F_Hong_Kong_SAR_Ch_65_74,F_Hong_Kong_SAR_Ch_75_84,F_Hong_Kong_SAR_Ch_85ov,F_Hong_Kong_SAR_Ch_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot
POA6000,0,0,3,12,0,0,0,0,0,17,8,5,106,222,29,35,15,0,4,426,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,6,32,102,37,37,30,13,0,262,0,0,0,0,0,0,0,0,0,5,0,0,11,29,0,0,0,0,0,38,0,0,4,23,7,7,3,0,0,34,0,0,0,4,0,0,0,0,0,6,0,0,18,46,3,5,0,0,0,81,11,21,16,167,5,5,7,0,0,238,0,0,22,48,16,6,8,0,0,99,0,0,5,28,10,7,3,4,0,47,0,0,0,5,0,0,0,0,0,10,0,0,7,54,3,0,3,0,0,72,0,0,6,24,0,4,8,8,11,61,6,0,10,44,14,0,3,0,0,67,0,3,6,77,10,0,4,0,0,92,0,0,0,0,0,0,0,0,0,5,0,0,43,107,13,11,11,0,4,188
POA6003,0,0,0,4,0,0,0,0,0,11,0,0,14,22,4,0,0,0,0,46,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,39,8,15,8,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,17,0,0,4,7,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,18,0,4,0,12,0,0,0,0,0,28,0,0,0,15,0,0,0,0,0,25,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,14,0,0,0,3,0,0,4,4,0,18,0,0,3,12,3,0,0,0,0,24,0,4,6,45,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,6,28,5,0,0,0,0,46
POA6004,0,0,0,16,0,0,0,0,0,14,0,6,72,185,35,24,16,13,5,346,0,0,0,5,0,3,0,3,0,19,0,3,0,8,0,0,4,0,0,11,0,0,19,90,35,79,41,13,4,286,0,0,0,0,0,0,0,0,0,3,0,6,3,13,0,0,0,0,0,24,0,0,4,13,5,0,4,3,0,27,0,0,0,3,0,0,0,0,0,6,0,4,18,24,12,6,6,0,0,71,12,15,17,157,13,11,10,0,0,232,0,0,12,62,15,6,12,5,0,120,3,0,0,41,3,3,3,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,5,3,0,0,49,0,0,6,27,3,0,9,0,0,50,11,8,5,91,13,5,3,0,0,134,0,0,15,73,16,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,24,102,20,30,22,10,0,205
POA6005,0,0,4,13,0,0,0,0,0,12,0,0,18,52,11,11,9,3,0,109,0,0,0,4,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,6,0,8,17,59,13,26,14,17,11,163,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8,0,0,3,10,0,0,0,0,0,15,0,0,0,0,3,0,0,0,0,4,0,0,3,12,4,4,0,0,0,25,4,8,0,78,0,4,5,3,0,111,0,0,6,21,5,0,5,0,0,44,0,0,0,24,0,0,3,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,0,0,0,0,32,0,0,0,14,0,0,3,5,5,29,0,5,0,19,6,3,3,0,0,41,0,3,0,24,4,0,0,0,0,29,0,0,0,4,0,0,0,0,0,4,0,0,4,42,6,8,0,0,0,72
POA6006,0,0,0,0,5,0,0,0,0,3,0,0,0,21,9,6,4,0,0,36,0,0,0,0,0,0,8,0,0,12,0,0,0,0,0,0,0,0,0,0,0,7,23,86,46,47,24,13,3,256,0,0,0,0,0,0,0,0,0,4,0,0,0,13,0,0,0,0,0,11,0,0,0,9,8,0,7,0,0,21,0,0,0,0,0,0,3,16,20,46,0,0,0,4,3,0,0,0,0,7,0,0,5,17,0,7,5,5,6,39,0,0,0,20,5,0,0,0,0,22,0,0,3,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,8,0,25,6,5,3,0,0,49,0,0,0,18,3,6,25,51,67,166,0,0,3,7,6,0,0,0,0,16,0,0,0,15,0,5,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,9,4,0,0,44
POA6007,0,0,0,3,0,0,0,0,0,5,0,0,3,26,7,4,0,0,5,39,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,6,0,8,15,90,45,46,21,18,10,252,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,23,0,0,0,8,6,0,5,0,0,22,0,0,0,0,0,0,0,0,7,9,0,0,0,6,0,0,5,0,0,18,0,3,3,28,4,4,6,0,3,60,0,0,0,15,0,0,0,0,0,25,0,0,0,6,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,38,6,3,4,4,0,72,0,0,0,3,3,0,10,16,20,55,0,0,3,16,9,3,0,0,0,32,0,0,0,8,4,0,0,0,0,18,0,0,0,5,0,0,0,0,0,3,0,3,4,38,10,7,4,5,3,75
POA6008,0,0,4,6,0,0,0,0,0,15,0,16,15,81,17,11,16,9,0,167,0,0,0,3,3,4,3,4,0,11,0,0,0,0,0,0,0,0,0,3,8,38,35,126,83,118,100,65,29,604,0,0,0,0,0,0,0,0,0,0,0,0,4,24,10,3,8,0,0,50,0,4,0,18,5,9,10,6,5,48,0,0,0,7,0,5,0,0,0,12,0,4,3,10,4,4,5,0,0,36,0,18,7,57,11,5,5,7,4,108,0,5,6,27,14,5,4,0,0,62,0,0,0,22,4,0,0,5,0,37,0,0,0,0,0,0,0,0,0,5,0,5,9,58,3,11,5,13,31,137,0,5,0,7,5,0,8,6,6,44,4,23,4,46,17,0,3,0,0,104,0,3,0,24,3,3,0,0,0,42,0,0,0,0,0,0,0,0,0,0,6,8,12,71,22,15,30,12,4,182
POA6009,0,4,3,3,0,0,0,0,0,14,0,24,112,185,43,41,19,6,5,436,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,5,4,29,72,72,80,89,73,56,32,502,0,0,0,3,0,0,0,0,0,5,0,3,6,10,4,5,0,0,0,39,0,5,0,18,7,3,16,7,4,58,0,0,0,0,0,0,0,4,0,9,0,8,24,17,16,7,19,3,5,99,3,10,30,76,32,16,12,9,3,187,11,15,24,54,25,4,12,7,0,150,0,0,3,26,9,0,5,0,0,45,0,0,0,3,0,0,0,0,0,5,0,3,0,22,0,8,12,3,0,54,0,6,6,5,7,4,8,11,3,37,0,0,7,10,3,8,4,0,0,42,0,5,0,7,5,6,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,12,42,85,71,54,78,29,14,384
POA6010,0,0,0,5,3,0,0,0,0,8,0,19,30,92,46,20,20,8,5,235,0,0,0,4,3,4,0,0,0,12,0,0,0,0,0,0,4,0,0,5,8,34,49,130,119,163,111,97,51,760,0,0,0,0,0,0,0,0,0,6,0,0,0,8,12,5,0,0,0,28,0,5,3,8,6,15,6,11,0,62,0,0,0,0,0,0,0,0,3,11,0,10,4,3,4,7,9,0,0,41,0,0,6,28,26,12,10,9,3,93,0,0,7,9,5,6,8,0,0,29,0,0,4,12,3,8,6,4,4,39,0,0,0,0,0,0,0,0,0,0,0,0,0,42,5,11,6,5,4,80,0,0,0,9,3,8,4,4,4,26,0,17,3,21,9,12,4,0,0,66,0,4,0,7,5,0,0,0,0,21,0,0,0,0,0,3,0,0,0,3,0,6,9,36,29,29,16,9,3,141
POA6011,0,0,0,7,0,0,0,0,0,3,0,3,7,7,10,5,0,3,0,39,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,6,0,0,5,5,25,28,57,73,65,57,34,14,357,0,0,0,0,0,0,0,0,0,0,0,6,3,6,6,3,0,0,0,19,0,0,0,13,0,0,0,6,0,20,0,0,0,0,0,0,0,0,0,0,0,3,10,5,0,3,0,0,0,21,0,0,0,3,6,4,0,6,0,13,0,0,5,0,3,0,5,0,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,31,8,3,0,0,0,51,0,0,0,7,4,0,0,5,0,19,0,5,3,0,0,0,0,0,0,10,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,4,14,8,7,0,0,27
