POA_CODE_2021,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
POA6000,0,0,7,3,0,0,0,0,0,18,0,39,227,154,74,44,11,0,0,552,0,14,64,38,13,11,8,4,0,144,0,5,21,14,6,3,3,0,0,52,3,16,131,93,45,38,10,0,0,338,0,6,44,31,14,13,4,0,0,111,15,44,112,50,33,19,9,0,0,276,13,123,271,116,28,30,6,0,0,586,0,23,75,32,28,12,10,0,0,185,3,5,27,19,11,10,0,0,0,66,0,17,73,44,23,17,0,0,0,181,0,7,18,12,7,13,4,0,0,62,0,55,336,230,81,60,18,0,0,787,0,25,55,39,12,7,3,0,0,140,0,16,67,64,53,34,4,0,0,238,3,16,57,49,34,17,8,0,0,174,0,14,157,80,41,21,10,3,0,330,0,12,54,20,14,11,0,0,0,110,0,6,41,31,17,11,5,3,0,114,5,33,100,56,26,20,5,3,0,245
POA6003,0,0,3,0,0,0,0,0,0,7,0,6,46,23,20,12,0,0,0,104,0,0,9,16,10,0,0,0,0,41,0,0,3,0,0,0,0,0,0,7,0,9,37,19,14,9,0,0,0,88,0,0,9,13,5,0,0,0,0,25,3,14,33,12,9,8,3,0,0,90,8,32,84,39,6,3,3,0,0,166,0,5,18,15,9,0,0,0,0,45,0,4,3,3,0,0,0,0,0,16,0,4,23,11,3,0,0,0,0,46,0,0,8,4,5,4,0,0,0,24,0,11,91,51,32,13,3,0,0,198,0,6,18,12,6,0,6,0,0,46,0,3,27,23,10,10,3,0,0,76,0,4,24,16,14,10,0,0,0,68,0,4,35,21,11,6,0,0,0,77,0,3,20,4,0,4,3,0,0,24,0,3,7,16,7,3,5,0,0,38,0,5,29,14,7,7,0,0,0,67
POA6004,0,0,7,7,3,0,0,0,0,18,0,24,195,148,81,63,8,3,0,518,4,12,49,33,21,20,15,0,0,156,0,0,26,18,10,3,0,0,0,51,3,25,106,68,44,41,9,0,0,302,0,3,27,28,20,15,3,0,0,91,8,35,72,31,26,20,16,3,0,209,21,83,175,70,20,15,6,0,0,389,0,19,47,48,29,27,10,0,0,190,0,4,16,6,6,3,0,0,0,36,0,3,44,30,12,22,7,0,0,118,0,0,21,17,11,11,11,8,0,83,0,37,233,177,67,63,34,10,0,625,0,9,49,32,17,12,0,6,0,124,0,9,50,61,41,42,12,5,0,213,4,15,42,45,15,21,13,0,0,153,5,11,114,65,41,30,13,5,0,284,0,8,23,18,5,9,6,3,0,78,0,4,39,16,13,5,4,0,0,80,5,21,72,51,29,25,0,4,0,203
POA6005,0,0,3,0,0,0,0,0,0,5,0,8,95,82,22,24,4,0,0,237,0,3,25,14,8,9,0,0,0,60,0,0,13,10,4,3,0,0,0,33,0,13,70,40,26,14,3,0,0,165,0,3,7,9,9,3,7,0,0,38,7,17,38,16,3,14,3,0,0,95,6,19,91,41,3,10,4,0,0,172,0,0,25,19,9,9,0,0,0,66,0,0,17,14,4,3,0,0,0,37,0,10,34,10,6,4,3,0,0,75,0,0,7,7,11,4,7,0,0,31,0,27,159,98,46,30,13,0,0,366,0,3,25,10,9,5,0,5,0,59,0,0,43,23,22,14,6,0,0,111,0,4,46,21,14,13,9,0,0,111,0,7,73,53,14,17,6,0,0,173,0,3,19,10,8,0,0,0,0,42,0,3,18,13,3,12,4,0,0,49,3,10,31,23,9,5,3,0,0,85
POA6006,0,0,0,3,3,0,0,0,0,12,0,8,76,85,39,29,0,0,0,238,4,6,11,29,37,18,3,0,0,112,0,0,9,7,8,8,0,0,0,39,15,18,80,60,54,39,12,5,0,289,0,3,14,10,10,13,0,0,0,58,23,34,53,22,24,17,10,0,0,180,30,35,63,30,8,9,0,0,0,184,6,9,18,19,22,22,7,0,0,99,0,4,20,13,8,0,0,0,0,43,0,7,19,36,21,13,4,0,0,96,0,4,11,19,13,7,6,0,0,50,0,13,112,160,98,75,27,6,0,482,0,6,17,25,10,10,4,3,0,71,0,8,41,38,41,33,9,0,0,176,8,12,39,35,37,37,13,0,0,182,3,17,78,52,40,40,12,0,0,237,8,11,23,24,13,9,3,5,0,87,0,0,23,14,13,4,5,0,0,70,0,7,31,23,17,14,13,0,0,103
POA6007,0,0,0,0,0,0,0,0,0,3,0,5,75,87,52,30,8,0,0,260,0,0,30,19,10,7,8,0,0,78,0,0,14,9,6,4,0,0,0,38,8,16,65,51,39,32,14,0,0,210,0,4,16,18,16,7,0,0,0,65,19,18,36,21,13,6,10,0,0,126,21,25,42,24,11,5,5,0,0,130,0,4,14,18,16,6,3,0,0,62,0,4,15,12,7,4,0,0,0,49,0,4,38,27,17,11,0,0,0,102,0,0,10,13,9,6,8,4,0,51,0,21,130,131,93,45,21,3,0,444,0,6,11,8,10,12,0,0,0,52,3,4,37,29,20,24,6,0,0,130,4,11,50,30,25,24,9,0,0,145,0,14,88,72,36,33,20,0,0,259,0,4,17,7,3,6,0,0,0,43,0,0,11,13,10,8,7,0,0,51,0,14,32,31,7,11,3,0,0,106
POA6008,0,4,0,6,6,11,7,0,3,23,0,13,95,127,139,48,20,3,0,451,0,8,29,32,30,26,10,0,0,138,0,0,9,10,11,4,5,0,0,47,3,19,51,64,55,44,13,0,0,253,4,0,16,24,22,16,9,0,0,95,34,34,42,31,22,16,11,0,0,193,63,44,54,18,12,11,10,0,0,214,4,5,19,24,27,28,12,4,0,122,0,12,24,9,3,9,0,0,0,63,0,5,39,60,26,27,16,5,0,182,0,7,21,8,21,17,18,10,0,93,7,57,218,208,188,140,69,16,0,901,3,7,12,17,8,9,10,0,0,69,0,8,53,49,41,44,14,0,0,208,17,21,57,56,55,59,29,4,0,293,5,23,164,123,81,97,36,16,0,541,15,20,26,12,11,12,3,0,0,99,5,11,22,13,18,11,6,0,0,71,9,9,48,51,33,31,12,5,0,199
POA6009,9,0,4,6,10,4,3,4,0,40,3,13,46,93,127,77,24,0,0,382,8,14,18,21,32,27,15,3,0,136,0,4,9,9,10,7,4,0,0,46,9,38,51,53,61,39,22,6,0,269,3,10,7,6,21,9,0,6,0,69,53,82,47,28,30,20,15,7,0,267,99,117,50,32,13,15,9,0,0,344,5,22,25,15,25,17,5,0,0,114,12,10,10,5,10,9,10,0,0,64,0,18,31,39,48,31,7,12,0,188,3,3,8,21,38,31,26,9,0,143,13,77,134,142,183,140,104,25,0,802,3,14,15,16,14,14,7,4,0,92,3,17,25,21,26,37,17,0,0,146,53,99,83,89,45,57,27,7,0,467,15,40,113,143,178,151,95,27,0,764,17,34,16,12,12,3,5,0,0,93,9,11,18,11,10,6,15,4,0,79,12,24,33,38,51,37,25,13,0,236
POA6010,6,4,6,3,10,12,3,5,0,46,0,10,86,116,153,90,29,8,0,491,7,14,17,26,37,28,18,3,0,155,0,0,6,8,18,10,0,0,0,53,17,22,66,55,78,55,24,4,0,326,3,5,9,15,33,20,7,4,0,97,59,57,43,22,33,27,22,3,0,268,79,55,25,30,18,24,10,3,0,242,12,10,17,19,33,24,6,0,0,123,5,4,13,11,9,11,0,0,0,54,0,14,39,43,63,51,20,5,0,234,6,9,19,22,42,24,24,6,5,143,8,52,150,158,189,155,88,27,4,823,8,10,13,12,15,19,13,3,0,92,0,10,107,93,57,37,18,4,0,325,26,45,50,39,60,50,30,4,0,308,3,32,84,83,112,89,64,12,0,476,30,20,17,10,14,7,4,3,0,111,7,7,15,12,11,14,17,0,0,81,18,19,19,37,43,34,12,5,0,198
POA6011,0,6,7,10,12,13,11,10,0,61,0,7,48,46,69,47,16,3,0,233,3,3,22,12,10,20,20,3,0,97,0,0,4,0,3,13,4,0,0,26,11,16,29,35,39,26,18,7,0,170,0,6,6,4,17,12,4,3,0,51,20,38,11,11,26,13,12,3,0,142,38,42,23,10,11,6,0,5,0,142,0,3,9,4,18,17,6,0,0,62,0,0,8,7,0,5,4,0,0,27,3,0,33,37,55,45,21,0,0,205,3,4,10,24,26,21,24,8,0,121,6,23,53,61,92,98,60,11,0,413,3,4,4,6,7,8,4,0,0,38,0,3,16,14,19,25,11,0,0,91,10,20,18,9,25,21,4,4,0,111,5,11,58,48,67,80,43,6,0,315,11,5,5,9,10,5,6,0,0,46,3,5,5,12,4,0,7,0,0,35,6,10,32,17,32,28,9,0,0,133
