POA_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
POA6000,47,129,181,6,29,34,7,63,74,12,129,143,24,160,183,34,144,180,76,138,209,92,190,285,106,279,385,142,265,406,121,268,390,158,257,414,364,537,902,268,62,330,251,186,432,190,35,221,595,279,873,245,109,352,16,38,57,2755,3305,6064
POA6003,7,32,37,0,5,11,0,27,31,3,40,44,9,57,72,5,42,52,18,32,54,23,59,80,35,95,130,51,87,138,37,76,110,41,76,120,95,127,219,101,25,128,69,44,111,43,15,59,160,48,205,74,37,112,4,11,21,790,933,1724
POA6004,47,116,161,10,20,26,16,60,77,8,110,119,24,170,197,26,144,169,70,106,173,80,148,229,124,232,358,157,207,372,136,240,376,147,186,330,358,414,776,249,48,304,258,142,400,163,23,183,688,252,941,217,92,312,11,34,49,2817,2748,5564
POA6005,16,44,66,4,15,19,8,45,51,5,90,94,7,105,110,17,92,107,29,72,100,41,114,153,33,130,162,63,147,206,57,125,183,67,125,194,148,208,361,132,25,158,124,71,200,100,14,112,323,165,491,93,56,152,3,28,31,1287,1661,2949
POA6006,21,42,60,3,17,22,6,35,38,10,87,95,23,124,152,24,107,131,59,82,140,64,84,154,112,99,209,98,97,197,81,108,192,83,88,169,214,206,416,219,37,259,211,70,282,170,18,182,838,111,948,149,66,214,14,21,36,2398,1483,3883
POA6007,18,25,47,7,9,12,10,24,28,9,51,55,16,102,125,24,98,123,38,76,112,47,88,135,53,100,154,97,110,205,63,113,173,80,90,171,191,221,411,186,31,213,170,66,237,130,25,150,752,150,894,154,55,208,3,14,18,2035,1448,3478
POA6008,38,70,108,12,37,48,9,77,84,16,173,187,29,283,315,49,213,260,97,150,247,104,164,277,145,198,349,163,197,363,112,223,333,186,148,337,388,337,721,299,32,338,299,106,397,252,21,280,1571,267,1840,289,41,331,20,54,67,4075,2790,6864
POA6009,55,85,141,18,39,55,29,45,67,12,80,96,40,125,163,34,177,207,94,106,198,121,124,245,173,140,315,183,113,295,145,108,248,180,92,272,358,177,540,257,24,279,237,61,297,174,11,184,2028,181,2210,339,63,405,22,22,53,4505,1773,6274
POA6010,41,76,116,28,40,72,16,57,72,18,125,142,39,267,310,51,204,256,111,143,254,137,168,308,147,174,319,218,149,371,144,131,278,186,120,305,362,214,579,307,19,323,304,77,380,265,4,267,2034,174,2214,392,51,446,26,65,92,4832,2264,7093
POA6011,25,35,59,13,9,22,9,19,28,0,42,43,20,55,78,20,63,81,37,53,81,43,63,102,56,77,134,67,55,123,47,57,101,70,53,124,151,126,275,124,5,136,132,51,187,113,6,117,1258,166,1425,227,36,263,19,20,40,2435,979,3415
