POA_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
POA6000,1389,3374,1015,145,56,5979,83,6064
POA6003,302,979,342,63,12,1704,18,1724
POA6004,986,3253,1047,147,50,5484,82,5564
POA6005,477,1715,610,63,42,2907,41,2949
POA6006,288,1589,1449,380,151,3854,32,3883
POA6007,272,1738,1130,227,86,3457,26,3478
POA6008,634,3405,2147,463,160,6814,55,6864
POA6009,356,2015,2589,832,432,6221,54,6274
POA6010,353,2663,2871,786,353,7026,68,7093
POA6011,100,1094,1411,513,268,3387,26,3415
POA6012,317,1283,1278,392,212,3481,43,3520
POA6014,455,3260,3283,872,431,8299,63,8358
POA6015,85,491,1004,418,292,2287,18,2309
POA6016,273,1634,1638,383,149,4074,41,4109
POA6017,188,1114,654,114,52,2116,32,2146
POA6018,794,5641,6863,1818,823,15946,159,16105
POA6019,342,3996,4111,986,428,9861,122,9981
POA6020,189,2029,3823,1240,706,7987,103,8083
POA6021,474,2885,3259,988,512,8126,98,8218
POA6022,66,586,896,262,155,1966,20,1981
POA6023,130,1417,2700,807,440,5494,50,5543
POA6024,137,1591,2295,743,361,5130,36,5168
POA6025,264,3339,5305,1778,942,11629,91,11726
POA6026,237,2277,3611,1262,757,8140,54,8195
POA6027,486,4773,6668,2348,1226,15508,157,15667
POA6028,126,1825,3610,1438,813,7812,68,7877
POA6029,23,253,456,163,99,992,6,1001
POA6030,561,4800,5716,2030,1061,14173,175,14343
POA6031,142,1702,2727,947,492,6004,69,6071
POA6032,3,15,20,12,14,62,3,67
POA6033,0,18,39,34,39,126,0,131
POA6034,9,444,604,117,53,1237,4,1237
POA6035,95,1363,1544,458,232,3697,42,3740
POA6036,226,2199,2398,785,338,5946,82,6024
POA6037,35,443,539,191,116,1330,23,1350
POA6038,71,1340,1561,373,145,3490,39,3521
POA6041,8,124,202,115,87,536,17,555
POA6042,0,17,12,6,0,39,0,42
POA6043,0,40,44,25,8,111,0,115
POA6044,13,176,195,81,54,514,8,523
POA6050,502,2718,2119,615,325,6284,74,6358
POA6051,663,3297,1837,329,150,6271,77,6351
POA6052,323,1840,1783,444,207,4598,55,4660
POA6053,377,2400,2401,585,275,6046,62,6111
POA6054,543,3130,3106,958,472,8205,109,8317
