POA_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA6000,0,0,9,25,4,0,0,0,0,45,0,0,0,3,0,3,0,0,0,11,0,5,27,133,26,10,9,0,0,210,0,0,0,23,4,5,8,0,3,48,0,0,0,0,0,0,0,0,0,6,0,5,9,68,20,12,5,0,0,115,6,10,25,102,17,17,9,0,0,184,0,0,26,91,21,15,4,0,0,155,0,0,11,28,3,0,4,0,0,49,0,0,3,95,0,0,0,0,0,102,0,0,19,81,16,0,6,0,0,130,0,0,0,7,0,5,0,0,0,16,15,11,30,83,13,17,11,0,0,180,0,8,54,86,44,26,39,5,0,260,0,0,0,9,3,6,0,0,0,25,0,0,6,33,5,8,4,0,0,60,4,14,78,561,65,31,30,23,6,806,24,36,278,821,175,138,69,47,25,1612,446,506,1956,7384,1363,1116,682,272,83,13812
POA6003,0,0,10,8,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,4,0,0,26,0,0,0,5,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,4,3,0,0,33,0,0,8,30,0,4,3,0,0,47,0,0,0,25,10,3,8,0,0,46,0,0,3,0,0,0,0,0,0,9,0,0,0,26,0,0,0,0,0,26,0,4,11,36,8,0,0,0,0,52,0,0,0,3,0,0,0,0,0,7,0,3,0,22,3,0,0,0,0,33,0,0,3,19,16,11,12,5,0,64,0,0,5,0,0,0,4,0,0,8,0,0,0,15,0,0,0,0,0,19,0,9,12,152,16,15,13,8,0,225,7,10,42,205,36,25,9,7,0,347,116,168,420,1990,361,298,200,80,22,3652
POA6004,0,0,0,42,4,0,0,0,0,49,0,0,0,4,6,0,0,0,0,9,0,3,21,119,26,22,10,0,0,204,0,0,0,24,8,10,9,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,36,24,22,19,7,0,110,0,9,23,108,25,26,11,7,0,218,0,0,20,63,24,22,13,3,0,148,0,0,8,27,3,0,4,0,0,48,0,0,8,60,4,0,3,0,0,76,0,5,4,48,21,3,0,5,0,84,0,0,0,7,0,0,4,0,0,11,7,9,16,43,12,6,11,0,0,93,0,6,20,56,11,16,3,4,5,129,0,0,6,8,0,4,4,0,0,21,0,0,4,26,3,3,0,0,0,43,10,34,72,542,66,49,50,18,8,838,32,34,87,467,138,109,78,36,5,989,443,429,1232,5559,1319,1292,964,352,98,11681
POA6005,0,5,0,17,0,0,0,0,0,22,0,0,0,3,0,0,0,0,0,3,0,3,8,45,10,0,0,0,0,70,0,0,0,12,0,0,5,5,0,27,0,0,0,0,4,0,0,0,0,4,0,4,9,24,9,9,5,0,3,63,0,4,4,43,9,6,4,4,0,71,0,0,11,52,25,15,8,0,0,110,0,6,0,18,0,0,3,5,0,32,0,0,0,24,0,0,0,0,0,26,7,5,4,33,3,0,4,0,0,53,0,0,0,0,0,3,0,0,0,3,0,6,3,35,3,5,4,0,0,61,0,0,6,24,7,0,12,4,0,45,0,0,0,12,0,5,0,3,0,21,0,0,10,18,3,6,0,0,0,38,4,18,23,263,33,28,24,17,3,413,4,7,36,207,38,31,29,11,3,375,223,255,581,3099,599,562,415,263,108,6102
POA6006,0,0,0,6,0,0,0,0,0,7,0,0,0,0,5,4,0,0,0,7,0,0,5,22,12,0,0,0,0,46,0,0,0,15,7,5,12,3,3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,26,24,18,13,7,3,92,0,4,3,37,16,7,7,0,0,78,0,0,8,64,11,11,8,0,0,99,0,0,0,5,4,0,0,0,0,10,0,0,0,15,0,0,0,0,0,16,0,0,0,19,3,0,0,0,0,25,0,0,0,5,0,0,0,3,0,4,3,8,0,21,4,14,4,0,0,57,0,0,9,43,26,40,33,9,8,178,0,0,0,3,3,3,0,0,0,7,0,0,4,9,5,0,4,0,0,26,6,6,14,120,39,46,22,14,11,278,11,28,25,148,33,34,42,18,6,344,509,986,996,3310,1258,1163,755,405,250,9623
POA6007,0,0,0,4,0,6,3,0,0,12,0,0,0,3,0,0,0,0,0,4,0,0,6,14,13,4,0,0,0,32,0,0,0,11,0,7,4,3,4,31,0,0,0,0,0,0,0,0,0,0,0,0,0,45,28,15,15,12,5,109,0,3,6,22,19,0,8,3,0,60,0,5,20,64,16,16,9,0,3,136,0,0,0,16,0,0,0,0,0,21,0,0,0,14,0,0,0,0,0,17,0,3,7,11,6,3,0,0,0,27,0,0,0,4,0,0,0,0,0,7,4,4,6,43,8,0,3,0,0,69,0,3,3,6,19,13,13,7,0,64,0,0,0,5,0,4,3,0,0,17,0,0,0,13,5,8,10,0,0,31,4,14,22,147,41,40,26,11,5,309,13,11,46,179,46,35,35,15,16,400,412,679,792,3160,1014,800,684,308,234,8095
POA6008,0,0,0,11,0,0,0,0,0,21,0,0,0,4,0,6,0,0,0,11,0,4,8,43,18,9,11,0,0,96,0,4,0,16,5,3,4,0,9,53,0,0,0,0,0,0,0,0,0,0,0,4,17,40,30,48,35,18,4,197,3,20,21,56,23,15,15,12,0,168,0,10,21,102,43,32,27,7,5,253,0,4,0,14,5,8,0,0,4,44,0,3,4,12,4,0,3,0,0,34,0,8,8,18,10,8,0,0,0,60,0,0,0,0,4,0,0,0,0,12,7,25,15,62,15,23,13,9,0,167,0,0,11,18,11,7,13,4,0,67,0,0,0,14,7,3,4,10,0,39,0,0,5,15,4,4,11,9,0,47,12,54,50,281,130,91,47,49,14,721,26,56,61,245,86,77,90,42,25,718,787,1836,1683,4775,2027,1915,1812,969,327,16131
POA6009,6,5,12,52,7,7,0,0,0,88,0,0,0,4,5,4,4,0,0,16,0,3,19,23,10,8,7,0,0,64,0,0,3,15,11,5,4,4,0,40,0,0,0,0,0,0,0,0,0,0,0,10,24,23,33,38,37,18,4,186,3,24,119,110,48,44,53,27,0,427,0,13,92,72,68,62,35,19,6,363,0,13,13,33,28,18,14,10,9,136,0,0,5,28,23,10,19,8,0,87,0,4,9,13,6,0,4,4,0,45,0,0,0,4,0,0,0,0,0,5,14,46,50,56,26,20,14,14,5,240,4,25,13,70,30,10,13,0,0,161,0,0,0,4,4,10,13,9,0,44,0,0,18,10,11,9,3,0,0,61,8,62,90,189,78,84,65,31,12,618,17,45,132,157,58,53,72,57,20,610,709,2341,3983,4043,2221,1959,1962,1225,493,18936
POA6010,0,0,5,3,4,0,0,0,0,10,0,0,0,0,4,0,0,0,0,12,0,0,0,5,7,3,3,0,0,28,0,0,0,7,5,11,13,3,0,42,0,0,0,0,0,0,0,0,0,0,0,3,16,28,37,37,22,27,12,188,0,25,28,41,30,24,26,15,6,193,6,31,61,133,90,77,54,20,11,479,0,3,0,19,7,9,16,6,3,60,0,0,0,6,3,0,0,0,0,16,3,10,7,4,6,3,3,0,0,33,0,0,0,0,0,3,0,0,0,9,3,29,37,49,27,17,26,8,4,191,0,3,3,3,5,0,0,0,0,24,0,0,0,8,9,12,10,5,0,48,0,0,6,20,15,30,21,0,0,96,5,64,56,185,112,95,65,39,16,642,23,63,100,205,103,99,106,101,101,897,828,2416,2544,3947,2577,2255,2046,1514,742,18863
POA6011,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,5,0,0,21,0,0,0,0,0,0,0,0,0,0,0,8,3,11,13,14,17,12,5,82,0,12,16,7,3,11,5,3,0,54,5,5,12,46,34,30,25,9,6,164,0,0,0,5,7,4,3,0,0,21,0,4,0,0,0,0,0,0,0,7,0,0,0,4,5,0,0,0,0,10,0,0,0,5,0,0,0,0,0,8,5,26,21,28,26,16,13,8,0,149,0,0,0,0,4,0,0,0,0,9,0,0,0,8,0,3,4,6,0,28,0,0,0,7,12,10,5,3,0,34,3,17,15,67,39,54,27,20,4,235,8,24,38,118,30,57,39,46,48,408,402,1084,1311,1948,1281,1297,1099,669,254,9346
