POA_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA6000,0,0,20,14,22,13,29,23,13,143,0,11,18,14,3,20,9,8,8,89,39,247,576,293,179,151,85,54,25,1650,238,1641,4781,2594,1363,1116,674,272,82,12768
POA6003,0,0,0,0,3,10,11,9,8,44,0,0,0,3,0,5,0,5,7,25,3,45,170,47,35,22,10,8,0,348,37,351,1337,647,361,298,200,80,22,3339
POA6004,0,0,3,4,8,10,24,29,9,92,0,0,10,9,5,7,5,5,6,53,18,70,277,219,160,130,109,52,11,1035,140,989,3449,2109,1316,1290,964,352,98,10694
POA6005,0,0,0,0,3,10,12,20,19,61,0,0,9,7,4,4,4,6,3,28,7,31,130,85,42,40,39,27,9,409,67,470,1924,1171,599,562,415,263,108,5577
POA6006,0,0,0,5,3,10,33,90,94,246,0,0,5,0,0,11,5,23,36,77,5,20,91,70,38,52,65,45,35,417,159,618,1734,1578,1258,1163,755,399,250,7908
POA6007,0,3,0,0,3,10,14,32,38,91,0,0,0,5,0,0,0,3,10,19,10,37,138,50,46,35,49,49,67,484,125,494,1851,1314,1014,800,684,308,234,6828
POA6008,0,0,8,8,11,20,22,22,33,129,0,0,6,5,0,0,7,3,0,27,15,47,133,116,95,88,138,126,76,837,285,929,2480,2290,2027,1912,1814,969,327,13039
POA6009,0,0,0,7,7,8,13,20,36,79,0,0,0,3,0,0,3,0,3,19,65,75,83,92,58,57,94,72,40,638,1079,2191,2009,2026,2223,1954,1959,1225,493,15161
POA6010,0,0,0,8,3,11,17,33,34,115,0,0,0,5,5,5,3,0,3,15,48,57,132,80,106,103,129,117,119,879,508,1119,1950,1992,2577,2255,2039,1514,737,14693
POA6011,0,0,0,0,4,0,3,13,12,37,0,0,0,0,0,0,0,3,0,8,17,22,60,62,36,65,45,61,56,416,261,541,1009,947,1281,1297,1099,669,254,7354
