POA_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
POA6107,13539,38298,1996,4752,418,885,2411,5636,324,646,191,333,122,247,102,158,22,34,763,1416,19,42,0,0,0,0,27,71,43,109,45,89,16801,45557,1474,..,18275,45557
POA6108,7654,21220,596,1119,42,72,642,1186,20,46,71,131,0,0,0,0,10,23,104,204,0,0,0,0,0,0,0,0,0,0,6,7,8401,22620,508,..,8913,22620
POA6109,3781,10810,411,720,64,117,476,839,137,291,31,33,0,0,0,0,11,23,181,342,105,138,0,0,3,5,31,77,144,224,3,8,4583,12231,383,..,4966,12231
POA6110,13672,39160,1261,2324,127,241,1390,2561,228,407,6,7,0,0,0,0,14,33,250,451,0,0,0,0,0,0,17,20,17,25,11,21,15341,42217,957,..,16295,42217
POA6111,7882,20300,731,1355,13,27,747,1379,54,84,24,44,0,0,0,0,18,27,94,152,54,63,0,5,0,0,3,4,59,73,9,21,8790,21923,706,..,9500,21923
POA6112,21382,62285,2033,3720,33,60,2059,3781,84,120,29,40,0,0,0,0,16,46,125,212,30,40,132,173,0,0,11,31,174,244,16,50,23762,66573,1616,..,25379,66573
POA6121,943,2937,5,9,0,0,5,9,0,0,0,0,0,0,0,0,8,16,8,16,0,0,0,0,0,5,0,0,0,5,0,0,956,2974,52,..,1010,2974
POA6122,6815,20331,68,135,0,0,68,135,15,20,0,0,0,0,0,0,10,14,25,33,0,0,0,0,0,0,0,0,0,0,0,8,6922,20512,452,..,7373,20512
POA6123,737,2058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,733,2060,55,..,793,2060
POA6124,426,1091,3,9,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,8,0,7,433,1106,33,..,464,1106
POA6125,975,2796,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,8,91,146,0,5,12,23,110,179,17,23,1100,3016,64,..,1161,3016
POA6126,88,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,206,18,..,104,206
POA6147,4786,12782,582,1070,93,206,676,1274,124,234,0,0,0,0,0,0,10,36,134,273,0,0,0,0,0,0,0,0,0,0,10,16,5599,14346,465,..,6062,14346
POA6148,5567,15638,984,1968,56,160,1041,2130,48,104,0,0,62,91,0,6,9,22,121,221,0,0,0,0,0,0,0,0,0,0,4,6,6740,18002,491,..,7232,18002
POA6149,5830,16581,505,1033,16,37,520,1073,180,225,0,0,148,216,0,0,15,29,344,469,0,0,0,0,0,0,0,0,0,0,0,4,6694,18124,406,..,7106,18124
POA6150,3868,11247,279,497,53,130,333,629,37,45,49,66,0,0,0,0,7,18,90,128,0,0,0,0,0,0,0,0,0,0,4,5,4298,12009,286,..,4588,12009
POA6151,3238,8797,432,785,1827,3332,2261,4114,292,446,432,672,498,852,529,865,0,0,1746,2836,0,0,0,0,0,0,4,4,4,4,3,3,7254,15758,1261,..,8510,15758
POA6152,5477,14565,2289,4090,1615,3330,3903,7421,606,1082,352,512,84,138,0,0,9,9,1041,1738,0,0,0,0,0,0,0,0,0,0,20,31,10438,23760,1138,..,11580,23760
POA6153,5622,15374,1102,2274,579,1393,1680,3672,223,380,106,164,357,644,177,278,5,0,863,1473,0,0,0,0,0,0,0,6,0,6,7,22,8174,20547,986,..,9163,20547
POA6154,2857,7967,879,1550,133,290,1017,1840,41,57,14,22,47,80,0,0,0,0,101,160,0,0,0,0,0,0,3,11,3,11,0,5,3980,9990,342,..,4326,9990
POA6155,15394,47881,688,1642,82,210,763,1851,403,982,10,12,0,0,0,0,16,43,429,1041,0,0,0,0,0,0,3,9,3,9,11,13,16599,50806,696,..,17300,50806
POA6156,5268,14207,967,1668,333,746,1304,2413,114,178,97,133,0,0,0,0,9,18,220,330,0,0,0,0,0,0,0,0,0,0,10,16,6792,16975,552,..,7342,16975
POA6157,3702,9415,1831,3187,164,356,1990,3544,162,209,134,201,35,70,0,0,4,11,342,487,0,0,0,0,0,0,0,0,0,0,20,45,6055,13499,532,..,6582,13499
POA6158,1926,5362,225,479,327,664,548,1141,59,77,156,216,174,267,33,59,4,3,424,632,0,0,0,0,0,0,9,20,9,20,3,4,2913,7163,296,..,3214,7163
POA6159,511,1304,98,213,430,819,535,1030,12,28,87,164,510,921,0,0,0,0,608,1110,0,0,0,0,0,0,0,0,0,0,0,0,1659,3442,284,..,1948,3442
POA6160,1622,3911,631,1150,676,1257,1306,2410,215,290,264,397,580,845,53,83,5,8,1116,1631,0,0,8,8,0,0,5,13,12,22,10,23,4068,8001,679,..,4746,8001
POA6161,43,92,12,20,0,0,12,20,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,7,4,5,6,61,124,57,..,119,124
POA6162,3535,8801,468,872,302,602,769,1474,109,147,194,290,48,76,0,0,22,45,375,561,3,6,123,186,0,0,14,30,138,220,15,20,4832,11077,484,..,5317,11077
POA6163,16627,41776,2992,5210,636,1200,3630,6411,505,793,509,775,499,797,131,215,59,123,1702,2699,0,0,0,3,0,9,6,3,5,10,37,41,21996,50931,1924,..,23919,50931
POA6164,19707,57026,1524,3031,379,765,1908,3788,265,388,351,545,461,748,160,232,28,50,1263,1955,0,0,0,0,0,3,3,3,5,5,13,28,22897,62814,1443,..,24340,62814
POA6165,22,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,58,3,..,28,58
POA6166,3504,9435,127,256,20,55,145,315,28,41,0,0,0,0,0,0,0,4,30,49,5,6,200,294,0,0,0,0,207,302,0,4,3888,10100,230,..,4118,10100
POA6167,9136,24056,331,540,88,144,419,687,284,394,130,224,0,0,0,0,11,18,428,640,0,6,0,0,0,5,3,4,8,4,7,13,9994,25404,878,..,10868,25404
POA6168,7582,17752,1185,1679,414,665,1590,2343,565,808,112,172,275,426,27,49,11,21,996,1482,111,149,70,93,0,0,0,7,180,252,9,20,10370,21847,1340,..,11706,21847
POA6169,12434,31124,346,507,41,66,385,573,473,670,34,57,0,0,0,0,19,48,528,775,5,3,0,0,0,0,0,0,5,3,3,13,13350,32486,1388,..,14736,32486
POA6170,5404,15846,132,255,3,6,133,264,27,37,73,108,7,12,0,0,0,10,106,158,0,0,0,0,0,0,0,0,0,0,4,6,5648,16274,364,..,6012,16274
POA6171,11843,34229,314,545,98,158,409,703,0,0,44,53,0,0,0,0,4,15,44,67,28,50,11,17,3,7,45,66,89,138,8,17,12397,35153,816,..,13212,35153
POA6172,4207,11983,267,426,7,27,273,452,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4488,12440,292,..,4787,12440
POA6173,3822,11575,29,73,13,13,38,88,3,11,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,3,3,3872,11677,256,..,4126,11677
POA6174,1891,5137,34,58,7,13,39,75,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,21,64,1953,5274,196,..,2153,5274
POA6175,1331,3730,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,4,1336,3735,157,..,1486,3735
POA6176,662,1941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,3,665,1952,48,..,717,1952
POA6180,2292,6336,7,10,0,0,7,10,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,4,2300,6349,182,..,2479,6349
POA6181,152,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,448,5,..,159,448
POA6182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
POA6207,366,1054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,0,0,6,19,4,12,377,1090,29,..,409,1090
POA6208,4474,10986,240,370,15,30,260,404,6,10,0,0,0,0,0,0,4,4,11,18,102,130,9,14,4,3,0,0,117,155,8,6,4868,11571,883,..,5750,11571
POA6209,691,1650,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,7,3,7,52,74,11,17,0,0,0,0,66,95,0,0,758,1758,78,..,836,1758
POA6210,24367,58778,3412,5210,1033,1751,4448,6962,422,609,189,361,197,365,121,224,29,46,957,1599,47,58,92,126,9,17,7,7,151,212,32,51,29954,67601,6185,..,36139,67601
POA6211,2885,7362,74,97,32,50,106,146,4,4,0,0,0,0,35,73,6,7,42,81,33,43,41,57,0,0,0,0,71,103,0,4,3104,7695,900,..,4003,7695
POA6213,229,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,7,4,5,232,571,69,..,309,571
POA6214,226,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,225,631,46,..,278,631
POA6215,1459,3521,92,146,0,0,96,146,0,0,0,0,0,0,0,0,0,3,0,3,22,30,0,0,0,4,3,6,25,33,5,16,1584,3717,525,..,2108,3717
POA6218,199,500,4,5,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,3,0,0,206,507,37,..,247,507
POA6219,211,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,210,558,33,..,243,558
POA6220,1517,3760,72,125,9,29,83,153,0,5,0,0,0,0,0,0,0,4,0,8,22,31,3,12,0,3,3,0,28,41,4,6,1626,3973,275,..,1901,3973
POA6221,76,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,7,9,0,3,81,221,10,..,91,221
POA6223,59,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,59,148,3,..,63,148
POA6224,410,1040,22,44,0,0,22,44,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,4,8,15,22,0,0,451,1107,75,..,529,1107
POA6225,3279,7753,108,164,0,0,108,164,104,149,0,0,0,0,0,0,0,8,104,155,15,24,0,3,3,0,0,11,17,42,17,23,3520,8130,488,..,4010,8130
POA6226,295,845,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,296,854,25,..,322,854
POA6227,271,732,0,4,0,4,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,4,0,0,4,4,0,0,279,749,20,..,300,749
POA6228,56,123,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,128,9,..,66,128
POA6229,36,78,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,28,32,23,31,0,0,0,0,46,66,0,0,92,146,0,..,90,146
POA6230,13976,35104,2236,3449,433,799,2667,4244,397,592,104,160,15,27,32,53,5,11,553,843,67,93,36,54,0,0,9,23,116,166,30,60,17342,40424,1966,..,19311,40424
POA6232,3766,9822,292,484,0,3,293,488,11,16,0,0,0,0,0,0,0,3,15,20,3,10,27,34,0,0,0,0,33,50,3,6,4111,10389,330,..,4440,10389
POA6233,6732,18218,241,383,6,9,248,390,43,74,0,0,0,0,0,0,0,0,43,74,67,96,29,46,7,11,0,0,105,152,10,12,7139,18848,776,..,7917,18848
POA6236,780,1964,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,785,1983,108,..,899,1983
POA6237,906,2367,5,18,3,8,9,28,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,6,4,13,0,0,921,2409,75,..,996,2409
POA6239,1639,4013,38,69,3,4,44,72,5,5,0,0,0,0,0,0,0,0,5,5,0,8,0,0,8,10,0,0,6,17,6,18,1702,4126,185,..,1883,4126
POA6240,64,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,150,5,..,72,150
POA6243,30,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,79,6,..,35,79
POA6244,574,1308,5,8,0,7,4,8,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,4,5,3,585,1326,142,..,728,1326
POA6251,110,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,4,0,0,0,3,3,3,0,118,276,6,..,124,276
POA6252,54,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,3,4,10,0,4,60,130,21,..,82,130
POA6253,283,583,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,3,3,9,12,0,3,295,602,99,..,395,602
POA6254,215,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,446,47,..,258,446
POA6255,1648,3791,56,74,0,0,56,74,7,7,0,0,0,0,0,0,0,0,7,7,7,12,0,4,0,0,0,3,12,24,4,6,1727,3904,368,..,2098,3904
POA6256,144,361,4,6,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,6,5,0,6,157,374,51,..,208,374
POA6258,2292,5484,187,233,4,0,193,235,18,24,0,0,0,0,0,0,5,8,18,30,0,3,0,0,5,10,0,0,7,16,17,21,2525,5784,455,..,2979,5784
POA6260,469,1074,8,14,0,0,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,6,490,1101,203,..,692,1101
POA6262,260,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,3,5,3,4,269,587,268,..,540,587
POA6271,1214,2972,68,111,0,0,68,111,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,3,10,0,4,1288,3098,257,..,1544,3098
POA6275,556,1197,6,12,0,0,13,16,15,13,0,0,0,0,0,0,0,0,15,17,8,17,0,3,0,0,0,10,9,28,0,4,590,1260,285,..,875,1260
POA6280,10138,25146,992,1495,126,237,1116,1738,12,21,0,0,17,26,0,0,23,51,48,96,78,120,100,141,11,24,14,49,201,334,21,46,11526,27353,2389,..,13922,27353
POA6281,2631,6616,168,391,73,170,241,563,23,38,0,0,0,3,0,0,0,0,24,39,5,9,50,69,0,0,0,0,59,79,7,24,2962,7316,2153,..,5115,7316
POA6282,480,1260,6,11,5,4,9,16,0,0,0,0,0,0,0,0,5,8,5,8,4,14,7,9,0,0,0,0,14,26,0,5,504,1308,570,..,1069,1308
POA6284,859,2333,16,26,0,0,16,26,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,12,0,0,0,0,9,23,3,13,898,2395,297,..,1195,2395
POA6285,3359,8560,128,208,86,149,207,358,18,37,0,0,0,0,0,0,4,7,27,44,7,6,27,70,6,8,0,0,37,83,22,56,3654,9100,1033,..,4689,9100
POA6286,303,719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,724,121,..,421,724
POA6288,192,461,0,5,0,0,0,5,5,16,0,0,0,0,0,0,0,0,5,16,6,0,0,7,0,0,0,0,5,8,0,8,212,496,110,..,315,496
POA6290,720,1429,37,45,16,19,49,65,4,9,0,0,0,0,0,0,0,0,4,9,31,42,5,4,0,0,0,7,38,49,6,7,822,1563,673,..,1495,1563
POA6302,1353,2904,35,60,3,12,39,78,6,12,0,0,0,0,0,0,0,0,6,12,7,7,5,9,0,0,0,0,11,17,13,25,1422,3029,286,..,1711,3029
POA6304,641,1350,11,20,0,0,11,20,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,8,6,6,12,18,4,16,670,1398,203,..,872,1398
POA6306,333,784,10,24,0,0,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,807,105,..,449,807
POA6308,599,1340,8,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,1345,116,..,734,1345
POA6309,119,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,255,40,..,160,255
POA6311,232,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,6,6,0,0,240,526,41,..,281,526
POA6312,1584,3606,133,181,0,0,133,181,6,10,0,0,0,0,0,0,0,0,5,15,4,3,0,0,0,0,3,8,7,14,0,3,1735,3820,334,..,2066,3820
POA6313,97,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,215,29,..,127,215
POA6315,684,1519,31,38,0,0,38,42,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,0,0,4,7,4,8,730,1574,124,..,859,1574
POA6316,142,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,342,42,..,180,342
POA6317,1322,3375,121,207,4,3,126,215,5,7,0,0,0,0,0,0,0,0,5,7,0,3,0,0,0,0,0,0,5,9,6,12,1466,3611,229,..,1694,3611
POA6318,185,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,181,429,67,..,254,429
POA6320,185,466,3,7,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,193,482,88,..,278,482
POA6321,173,402,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,3,5,0,0,3,4,0,0,0,0,3,7,4,3,184,409,61,..,242,409
POA6322,85,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,210,23,..,109,210
POA6323,421,916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,4,0,0,0,3,10,15,4,8,435,943,113,..,548,943
POA6324,1308,3098,26,46,0,0,26,46,4,9,0,0,0,0,0,0,0,0,3,7,6,8,9,15,0,0,0,0,13,26,0,4,1358,3179,283,..,1643,3179
POA6326,179,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,446,59,..,240,446
POA6327,82,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,227,31,..,112,227
POA6328,148,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,4,11,0,0,151,371,86,..,235,371
POA6330,13090,31877,989,1471,103,158,1090,1627,46,71,0,0,0,0,0,0,22,45,67,113,89,120,118,160,5,8,3,6,214,300,34,62,14488,33971,2179,..,16663,33971
POA6333,2162,4831,163,365,3,11,169,375,0,4,0,0,0,0,0,0,0,0,3,3,7,5,3,8,0,6,0,0,15,25,16,35,2362,5266,905,..,3263,5266
POA6335,263,680,4,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,679,107,..,369,679
POA6336,123,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,5,7,132,289,74,..,204,289
POA6337,177,427,6,10,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,8,185,440,87,..,268,440
POA6338,257,567,4,13,0,0,4,13,0,0,0,6,0,0,0,0,0,0,0,6,11,28,0,12,0,0,4,5,15,37,6,5,284,624,313,..,595,624
POA6341,87,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,225,41,..,137,225
POA6343,79,183,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,188,26,..,104,188
POA6346,263,612,4,11,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,3,3,3,13,10,22,3,9,276,653,149,..,422,653
POA6348,435,918,5,3,0,0,5,3,7,12,3,4,0,0,0,0,0,0,13,8,8,12,3,7,0,0,0,0,15,19,0,0,463,946,317,..,779,946
POA6350,117,247,8,7,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,124,258,36,..,160,258
POA6351,23,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,53,7,..,24,53
POA6352,49,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,45,126,11,..,61,126
POA6353,267,654,9,13,0,3,13,13,3,4,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,0,0,0,0,3,4,0,288,674,86,..,377,674
POA6355,161,363,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,4,4,5,4,4,168,382,80,..,249,382
POA6356,38,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,38,90,35,..,76,90
POA6357,20,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,45,9,..,28,45
POA6358,37,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,80,12,..,45,80
POA6359,124,292,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,4,4,0,0,129,308,43,..,176,308
POA6361,26,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,71,8,..,33,71
POA6363,28,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,28,83,19,..,48,83
POA6365,197,439,4,7,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,196,455,53,..,253,455
POA6367,129,273,5,3,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,282,36,..,173,282
POA6368,30,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,80,3,..,32,80
POA6369,204,466,18,28,0,0,18,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,495,64,..,289,495
POA6370,148,348,5,7,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,358,35,..,183,358
POA6372,39,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,92,10,..,53,92
POA6373,26,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,77,4,..,30,77
POA6375,329,710,11,19,3,4,17,25,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,4,4,5,12,0,0,352,745,67,..,420,745
POA6383,289,630,6,8,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,10,306,655,71,..,375,655
POA6384,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,0,..,6,15
POA6385,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,0,..,5,16
POA6386,21,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,25,59,11,..,33,59
POA6390,563,1382,18,29,0,0,18,29,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,5,8,0,0,587,1417,143,..,736,1417
POA6391,354,874,12,13,0,0,12,13,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,5,5,7,371,894,98,..,465,894
POA6392,161,332,6,9,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,5,6,171,353,36,..,208,353
POA6393,37,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,98,0,..,41,98
POA6394,190,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,410,63,..,250,410
POA6395,559,1313,30,41,0,0,30,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,8,597,1361,161,..,759,1361
POA6396,136,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,8,144,299,61,..,207,299
POA6397,39,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,79,22,..,63,79
POA6398,244,466,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,252,476,202,..,456,476
POA6401,2769,6578,132,204,11,14,139,219,16,21,0,0,0,0,0,0,0,4,15,25,18,28,12,17,0,0,0,0,32,45,9,29,2965,6894,563,..,3531,6894
