POA_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
POA6000,132,381,345,1250,21,2134,8,14,5,119,0,141,1743,18,39,13,10,1827,43,13,11,34,0,106,89,20,20,51,3,181,1405,372,309,1274,17,3378,243,4,22,5,0,270,134,6,12,24,0,177,218,37,38,153,9,457,41,14,15,28,0,99,15,4,5,8,0,30,611,15,8,4,6,649,492,77,84,524,3,1184,364,78,43,208,5,702,178,3,3,0,0,190,16,0,3,0,0,23,23,6,5,15,0,51,4,5,0,3,0,16,69,15,5,9,0,102,81,8,10,0,0,103,100,14,5,29,3,157,58,3,4,7,0,75,14,0,0,0,0,16,412,97,80,395,8,988,47,5,7,4,0,57,71,5,4,0,0,82,133,0,8,12,0,156,37,3,0,3,0,47,297,8,3,0,0,314,58,6,10,20,0,80,2335,116,124,88,25,2685,85,4,0,16,1601,1702,7865,770,688,2793,1692,13812
POA6003,38,134,104,404,0,683,0,4,0,37,0,44,323,10,14,3,3,346,14,4,4,12,0,35,40,14,8,15,0,73,354,133,100,433,8,1024,26,3,13,0,0,43,43,0,0,0,0,42,54,6,8,33,0,106,11,7,0,9,0,26,8,0,0,4,0,16,87,7,0,3,0,100,111,29,18,160,0,311,110,39,13,88,0,251,98,0,0,0,0,97,3,0,0,0,0,7,18,0,3,0,0,20,0,0,0,0,0,4,8,0,0,0,0,9,15,10,3,0,0,30,17,7,0,8,0,32,7,0,0,0,0,10,0,0,0,0,0,0,108,34,30,103,0,270,31,4,0,0,0,37,25,3,0,0,0,30,37,0,0,0,0,44,14,0,0,0,0,12,72,0,0,0,0,78,15,5,0,10,0,34,584,45,46,39,3,709,24,0,0,6,337,365,1909,281,217,892,355,3652
POA6004,92,300,273,934,15,1617,6,8,5,93,4,116,1564,7,28,18,5,1623,55,6,3,27,0,89,84,19,23,27,0,152,1325,274,198,1064,19,2878,223,3,16,0,0,250,86,5,0,12,0,100,137,30,12,104,0,276,43,6,8,23,0,87,22,3,0,5,0,33,579,7,8,6,0,599,382,78,50,405,4,917,312,49,30,120,9,525,192,0,0,0,0,196,14,0,0,5,0,21,12,3,6,7,0,27,7,4,0,0,0,16,73,6,0,0,0,82,52,16,8,0,0,78,90,8,4,19,0,120,78,0,9,0,0,87,0,0,0,0,0,0,305,67,51,336,5,764,50,0,0,10,3,57,72,0,7,5,0,80,139,5,0,3,0,145,34,0,0,0,0,35,149,0,3,5,0,157,55,14,5,21,0,84,2332,91,84,86,9,2601,99,0,0,17,983,1097,7372,570,460,2230,1043,11681
POA6005,56,212,179,659,16,1124,7,11,7,35,0,62,499,17,17,8,3,549,30,5,0,18,0,56,55,16,9,24,0,109,687,233,167,727,21,1834,83,0,13,0,0,95,49,5,4,8,0,66,105,13,12,71,0,206,46,8,4,20,0,76,12,0,5,3,0,21,252,5,6,6,0,278,236,44,36,317,5,637,209,52,22,118,0,409,60,0,0,0,0,63,14,0,0,4,0,15,14,0,0,7,0,24,0,0,0,9,0,9,31,7,0,0,0,42,33,7,0,0,0,44,50,8,3,16,3,85,39,0,0,5,0,50,4,0,0,0,0,6,205,54,36,243,9,543,34,0,4,0,0,43,63,3,0,0,0,64,50,0,3,7,0,68,19,0,0,5,0,22,66,0,10,0,0,75,36,8,0,11,0,56,1017,60,62,55,3,1195,18,5,0,12,379,422,3333,449,346,1542,426,6102
POA6006,87,495,338,1713,18,2653,3,5,6,61,0,69,395,29,28,29,0,476,64,24,20,60,0,165,100,41,25,69,0,235,1076,413,308,1464,23,3281,41,7,5,0,0,53,62,12,4,24,0,99,116,42,27,154,0,332,117,40,11,95,0,262,10,7,11,16,0,45,114,18,9,7,5,140,359,112,88,585,6,1149,606,139,67,402,4,1222,34,0,5,0,0,44,3,0,0,4,0,10,123,16,6,30,0,185,11,10,5,3,0,28,25,11,0,0,0,40,47,31,25,3,0,102,80,13,12,31,0,136,25,0,12,4,0,41,5,4,0,0,0,10,318,101,88,469,3,972,54,0,3,3,0,70,68,16,5,0,0,88,32,10,4,9,0,56,13,5,6,3,0,32,208,8,10,16,0,232,36,21,5,29,0,95,736,123,121,137,7,1125,34,0,6,12,370,419,4004,1002,686,3507,428,9623
POA6007,74,439,345,1324,18,2202,0,6,0,50,0,55,372,12,44,17,5,444,26,9,8,39,0,90,85,32,27,55,0,195,1016,358,303,1278,12,2970,46,0,8,0,0,57,73,7,11,17,0,100,116,22,24,94,0,253,54,24,9,69,0,158,15,3,7,7,0,26,182,7,17,11,0,218,472,98,68,434,0,1069,286,86,51,212,3,636,36,0,0,0,0,39,21,4,0,0,0,24,24,6,9,3,0,38,7,4,3,3,0,15,14,3,7,0,0,27,40,17,11,0,0,71,66,5,12,26,0,110,16,4,0,5,0,23,3,0,0,0,0,3,312,103,73,420,5,910,12,0,0,5,0,27,60,4,15,0,0,88,41,0,3,5,4,51,14,0,0,0,0,16,71,7,6,3,0,83,49,3,7,30,0,95,776,101,114,113,5,1104,39,3,0,19,432,496,3457,779,637,2740,480,8095
POA6008,177,791,616,2768,30,4389,0,10,12,95,0,119,1000,40,58,45,3,1146,70,25,19,84,0,197,163,51,42,84,0,346,2190,778,545,2775,34,6325,111,0,16,3,0,132,177,29,25,47,0,276,252,59,34,253,6,600,76,31,15,63,0,187,47,5,11,9,0,70,320,20,13,12,5,372,696,183,128,1111,14,2126,297,114,44,299,5,757,91,4,0,0,0,91,5,3,7,0,0,17,11,11,9,8,0,46,9,7,0,9,0,34,17,3,0,0,0,23,48,26,9,3,0,90,140,9,27,61,4,233,78,5,6,5,0,103,0,0,0,0,0,0,633,173,125,880,6,1816,59,0,0,4,0,66,113,12,17,0,0,149,80,3,5,19,0,111,26,8,0,10,0,47,79,0,5,5,0,82,88,24,9,48,0,164,1679,196,222,196,10,2302,44,0,0,21,731,793,6897,1484,1149,5768,823,16131
POA6009,177,879,810,3240,24,5129,8,8,13,119,0,153,2657,87,163,79,14,2998,46,18,8,61,5,140,208,52,28,91,0,383,2031,769,613,3028,30,6472,80,3,17,3,4,111,135,12,16,28,0,191,287,51,52,298,0,685,67,51,16,107,0,234,30,7,0,11,0,45,635,34,36,29,0,730,539,168,161,1068,3,1934,260,115,55,301,0,730,56,6,6,0,0,58,25,0,0,6,0,36,12,5,0,17,0,37,13,4,0,8,0,25,18,3,4,0,0,23,55,39,9,16,0,118,102,21,21,44,0,194,56,4,20,5,0,82,4,0,0,0,0,4,601,199,140,939,9,1885,15,5,5,4,0,24,181,27,10,0,0,222,59,3,9,17,0,87,117,16,13,0,0,143,194,8,20,5,0,225,97,24,13,45,0,182,2021,206,228,206,16,2680,58,6,3,34,579,679,8776,1611,1389,6499,662,18936
POA6010,150,904,887,3933,41,5919,3,14,10,94,0,117,987,30,68,46,4,1138,63,24,12,83,0,183,212,53,47,80,0,392,2594,895,729,3994,45,8254,35,4,27,6,0,68,111,13,17,36,0,183,261,59,61,293,5,676,60,23,10,85,0,179,24,3,13,11,0,47,267,16,35,10,0,330,649,191,121,1325,9,2305,252,98,60,337,0,743,35,6,4,3,0,46,13,0,0,8,0,25,12,5,4,22,0,40,4,7,0,5,0,22,19,0,3,4,0,26,74,25,28,12,0,138,126,21,21,48,0,208,50,6,0,3,0,63,0,0,0,0,0,0,683,244,147,1265,12,2345,42,6,4,6,0,58,248,21,38,3,0,303,54,0,10,11,0,72,53,8,0,8,0,73,33,5,8,0,0,42,112,16,16,54,0,206,1332,169,244,195,8,1942,32,3,3,41,810,890,6705,1651,1470,8126,916,18863
POA6011,80,472,406,2109,23,3092,0,3,0,47,0,54,156,12,20,20,0,211,30,18,14,41,0,105,81,27,20,40,0,176,1188,516,390,2330,19,4443,4,0,0,0,0,8,89,15,7,33,0,140,100,34,21,152,5,314,35,24,15,71,0,136,13,0,0,6,0,26,71,9,5,5,0,85,361,113,68,741,10,1295,156,73,34,207,5,470,5,5,5,0,0,12,5,0,5,9,0,11,9,0,0,3,0,13,8,5,0,0,0,16,13,0,6,0,0,18,41,8,9,4,0,62,53,12,3,22,0,97,14,3,0,10,0,25,4,0,0,0,0,4,331,128,109,725,9,1304,10,0,3,0,0,16,90,18,12,4,0,122,32,5,0,10,0,43,26,9,0,0,0,35,9,0,0,0,0,9,62,10,8,31,0,112,443,104,110,117,8,781,17,8,7,17,376,428,2652,948,744,4572,426,9346
