POA_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
POA6000,0,11,113,280,91,15,5,10,528,0,36,171,133,32,4,0,3,387,0,20,127,139,18,3,0,0,308,5,59,299,276,51,8,4,6,697,3,105,227,27,6,0,0,3,365,31,333,340,72,3,0,0,10,790,32,651,927,140,6,0,0,20,1770,39,576,1054,186,9,0,0,25,1886,0,0,0,4,0,0,0,0,3,96,1667,2553,424,16,0,0,54,4817,0,0,4,0,0,0,0,0,4,3,6,7,0,0,0,0,5,15,103,1746,2964,973,166,23,18,71,6064
POA6003,0,14,61,134,37,6,5,4,250,0,10,28,12,5,0,0,0,63,0,35,89,126,12,0,0,5,269,0,48,115,136,19,3,4,5,330,0,56,95,9,0,0,0,0,159,25,152,279,45,0,0,0,3,510,0,97,254,19,0,0,0,7,377,0,28,51,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,25,331,676,77,3,0,0,14,1128,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,4,0,7,30,397,858,343,53,12,9,22,1724
POA6004,0,7,21,98,70,12,4,0,214,0,0,3,0,0,0,0,0,10,0,11,71,159,62,10,4,4,326,0,17,79,162,62,10,4,4,338,0,27,68,4,0,0,0,0,99,0,122,281,137,7,0,0,10,559,41,390,795,339,11,0,0,12,1602,81,621,1438,546,14,0,5,34,2743,0,0,0,0,0,0,0,0,0,127,1163,2593,1024,34,0,5,60,4999,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,0,6,14,127,1191,2697,1285,162,26,12,71,5564
POA6005,0,11,96,99,51,6,0,5,265,0,7,79,30,8,0,0,4,132,0,23,70,123,20,0,0,0,245,0,34,154,153,26,0,0,0,373,3,31,46,19,0,0,0,0,103,0,187,235,123,0,0,0,13,560,33,301,592,172,12,0,3,18,1123,11,158,290,56,0,0,0,0,523,0,0,0,0,0,0,0,0,0,42,680,1169,365,12,0,6,29,2308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,732,1413,622,84,10,6,38,2949
POA6006,0,22,409,1339,640,99,12,14,2539,0,44,92,131,14,0,0,4,283,0,19,101,272,42,0,0,0,437,0,60,192,404,55,0,0,6,720,3,101,71,57,0,0,0,4,242,0,53,126,3,0,0,0,0,192,4,111,63,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,265,269,65,0,0,0,3,618,0,0,6,0,3,0,0,0,7,0,0,0,0,0,0,0,0,3,6,350,873,1811,705,100,16,19,3883
POA6007,0,26,267,789,390,79,7,11,1575,0,18,120,60,13,0,0,0,205,0,47,185,387,35,0,0,3,659,0,69,302,445,43,0,0,3,864,4,51,117,9,5,0,0,6,193,0,64,154,27,0,0,0,5,247,15,221,161,28,0,0,0,0,426,0,29,112,0,0,0,0,6,148,0,0,0,0,0,0,0,0,0,19,363,550,63,3,0,0,9,1013,0,0,13,3,0,0,0,0,19,0,0,0,0,0,0,0,0,5,19,460,1140,1306,437,82,8,28,3478
POA6008,0,37,494,1528,973,215,29,14,3299,0,33,98,110,14,0,0,5,260,4,60,325,512,56,0,0,6,962,4,91,426,620,67,4,0,10,1217,0,195,277,74,0,0,0,3,543,36,301,273,51,8,3,0,12,686,15,433,504,101,0,0,0,10,1069,0,0,34,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,55,927,1090,225,9,3,0,25,2338,0,5,0,4,0,0,0,0,12,0,0,0,0,0,0,0,3,4,61,1061,2013,2379,1053,220,27,48,6864
POA6009,5,20,274,1090,1753,871,177,29,4230,0,19,160,167,20,0,0,0,374,0,32,153,311,28,0,0,0,530,0,55,316,478,44,4,6,4,901,5,128,266,77,7,0,0,5,487,18,130,133,40,3,0,0,6,332,0,12,68,108,0,0,0,3,193,0,7,28,63,5,0,0,0,109,0,0,0,0,5,0,0,0,10,30,278,504,292,19,0,3,13,1135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,352,1098,1861,1817,879,187,44,6274
POA6010,0,7,272,1390,1797,499,101,31,4092,3,53,219,384,113,9,0,9,798,0,45,159,297,120,12,0,9,635,3,94,379,681,236,20,0,17,1427,0,58,208,40,3,0,0,6,313,0,131,98,43,0,0,0,4,279,0,155,425,135,0,0,0,7,721,0,12,187,39,7,0,0,3,248,0,0,0,0,0,0,0,0,0,0,357,911,252,6,0,0,17,1556,0,0,0,0,0,0,0,0,6,0,0,5,3,0,0,0,0,11,7,467,1567,2326,2044,518,103,61,7093
POA6011,0,22,207,844,886,344,73,18,2405,0,13,46,62,10,5,0,4,133,0,7,59,174,30,3,0,3,279,0,13,101,237,44,9,0,6,413,0,31,95,42,5,0,0,4,176,16,93,173,37,4,0,0,0,330,5,10,54,20,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,136,334,97,9,0,0,4,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,171,639,1182,935,354,73,32,3415
