POA_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA6000,0,22,84,57,31,25,8,3,0,237,3,63,170,78,41,29,7,3,0,392,135,955,3599,1955,937,645,182,18,0,8429
POA6003,0,3,23,19,7,10,5,0,0,72,0,14,52,21,12,9,0,0,0,98,33,246,1028,519,270,183,54,5,0,2340
POA6004,3,29,76,36,24,20,8,0,0,191,6,32,120,75,41,47,4,4,0,333,111,677,2714,1585,935,817,269,50,3,7173
POA6005,0,6,44,23,7,13,3,0,0,96,4,18,50,42,12,9,8,3,0,153,52,363,1615,934,443,358,115,14,0,3903
POA6006,4,14,50,41,34,29,4,0,0,176,4,15,51,40,25,21,15,0,0,172,187,484,1503,1349,1040,768,221,28,0,5591
POA6007,4,16,43,29,26,19,13,0,0,148,3,21,59,47,28,17,6,0,0,186,144,385,1562,1139,838,572,220,20,0,4888
POA6008,13,25,43,41,38,21,15,3,0,194,11,12,89,81,66,50,19,6,0,337,343,714,2085,1846,1657,1308,572,98,8,8629
POA6009,26,32,43,31,21,24,23,3,0,200,26,54,63,71,93,61,36,17,4,415,731,1358,1404,1561,1817,1379,704,168,17,9142
POA6010,16,24,37,40,38,39,25,0,0,215,26,39,40,65,82,52,24,16,4,341,570,834,1567,1633,2084,1514,690,167,11,9073
POA6011,12,20,21,27,12,10,3,0,0,104,4,22,49,24,55,39,14,8,3,213,305,443,830,738,1031,901,426,91,6,4762
POA6012,15,33,23,24,31,16,8,0,0,150,14,10,30,43,63,26,15,3,0,204,255,425,768,916,1051,708,301,61,0,4486
POA6014,12,47,51,51,47,48,18,0,3,285,25,32,70,100,78,54,18,6,3,380,662,939,2234,2738,2669,1789,530,69,12,11657
POA6015,9,9,0,10,13,11,7,4,0,74,9,11,15,28,57,33,9,0,3,166,238,298,306,485,914,707,212,58,17,3235
POA6016,7,8,51,49,35,21,14,0,0,178,6,13,60,68,58,15,10,0,0,240,267,469,1509,1698,1307,736,179,19,0,6187
POA6017,6,14,45,22,16,14,4,0,0,121,0,7,46,23,8,9,6,0,3,104,40,251,1137,675,306,216,68,6,3,2704
POA6018,31,60,177,142,138,92,35,11,0,687,33,53,193,205,196,113,41,16,3,856,1138,1793,4932,5380,4673,3096,857,137,6,22018
POA6019,17,45,166,102,87,55,22,8,0,490,20,54,165,152,110,57,22,15,0,593,574,1021,3974,3319,2636,1839,510,87,6,13971
POA6020,25,38,58,76,66,54,36,3,0,367,20,29,57,112,109,79,39,7,0,443,720,916,1352,2436,2711,2164,830,93,6,11219
POA6021,31,33,112,89,79,65,29,3,0,441,19,50,102,124,102,72,28,6,0,497,497,894,2444,2560,2176,1609,513,62,6,10766
POA6022,3,14,22,35,25,18,3,0,0,126,5,13,31,39,29,20,8,0,0,136,125,189,576,655,537,369,140,11,0,2598
POA6023,17,34,29,54,67,38,14,0,0,257,27,19,36,65,71,48,12,7,0,286,553,552,974,1940,2033,1289,466,66,3,7877
POA6024,9,33,61,65,62,36,31,4,0,302,17,10,60,64,49,48,22,3,0,266,423,511,1311,1682,1520,1023,389,45,0,6908
POA6025,23,66,131,149,126,92,31,3,0,628,38,57,149,161,124,131,30,9,0,692,948,1316,3105,3708,3532,2897,856,70,3,16439
POA6026,32,37,60,89,76,87,34,3,0,422,13,31,59,68,91,99,28,0,0,396,795,978,1523,2569,2635,2497,709,44,7,11755
POA6027,42,104,219,201,180,169,52,3,0,970,47,88,196,204,218,147,51,4,0,960,1357,2141,4175,4779,4833,4244,1103,63,3,22702
POA6028,32,65,80,102,117,111,19,0,0,525,40,52,76,92,137,101,26,3,0,535,985,1302,1804,2368,3639,2745,440,24,0,13309
POA6029,5,3,7,6,10,5,3,0,0,40,5,9,4,11,15,13,0,0,0,56,125,142,174,285,369,264,104,15,0,1477
POA6030,54,109,228,180,182,115,24,5,0,890,64,100,183,196,223,148,26,8,0,955,1392,2058,3983,4178,4785,3275,641,58,0,20381
POA6031,27,63,143,98,91,58,10,0,0,493,37,59,121,138,108,45,14,0,0,518,666,906,2398,2512,2102,1180,210,5,0,9987
POA6032,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,8,5,14,12,21,24,32,5,0,0,113
POA6033,0,0,3,3,0,3,4,0,0,15,0,0,0,0,4,0,0,0,0,11,18,18,33,38,55,53,26,0,6,248
POA6034,0,6,39,18,9,4,0,0,0,81,0,10,30,18,18,4,0,0,0,76,82,199,676,453,311,135,37,0,0,1888
POA6035,9,12,67,44,36,30,4,0,0,199,9,17,57,40,42,23,8,0,0,205,256,351,1046,1171,1072,721,140,12,0,4774
POA6036,31,50,106,82,98,44,3,0,0,428,19,44,93,97,73,47,8,0,0,377,688,967,1833,2039,2166,1126,202,13,0,9035
POA6037,0,11,16,11,11,11,0,0,0,66,0,4,8,13,17,9,0,0,0,54,69,116,308,342,422,288,56,9,0,1596
POA6038,15,22,98,63,39,23,0,0,0,258,11,24,58,63,31,20,3,0,0,217,252,470,1622,1414,1026,478,85,4,0,5356
POA6041,0,0,0,7,6,0,0,0,0,20,0,3,5,3,15,3,4,0,0,30,35,36,72,108,178,142,34,4,0,610
POA6042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,5,0,0,22
POA6043,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,10,3,3,12,3,34,26,16,0,0,95
POA6044,0,0,0,6,5,7,0,0,0,16,0,0,7,3,8,0,3,0,0,23,15,38,120,92,120,120,40,10,0,558
