POA_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA6000,101,517,1733,819,418,284,75,4,0,3954,50,170,291,175,99,147,213,97,36,1276,23,112,215,98,60,40,29,21,10,607,174,803,2238,1096,573,470,314,122,47,5836,30,417,2544,1458,696,438,89,7,0,5673,88,474,862,389,201,173,90,13,0,2292,6,36,116,81,30,31,10,0,0,296,5,31,75,27,16,6,0,0,0,160,135,955,3599,1955,937,645,182,18,0,8429,5,33,91,57,54,41,11,0,0,284,24,47,59,29,18,13,0,0,0,197,29,81,154,85,68,55,12,0,0,481,166,1032,3750,2040,1004,699,196,18,0,8912,109,368,474,281,183,277,415,202,58,2375,43,243,561,274,176,143,66,45,26,1574,315,1643,4789,2596,1363,1116,682,272,83,12861
POA6003,27,145,522,220,116,91,20,0,0,1136,13,25,58,33,29,40,74,31,6,317,0,26,62,15,13,6,9,3,0,137,40,198,636,269,150,136,103,35,8,1582,7,108,727,356,190,118,24,0,0,1528,24,125,253,130,63,55,34,3,0,689,0,8,33,26,9,9,0,0,0,89,0,7,14,4,5,0,0,0,0,32,33,246,1028,519,270,183,54,5,0,2340,3,6,19,11,10,12,0,0,0,63,6,4,15,6,0,3,0,0,0,45,12,14,39,17,10,15,0,0,0,111,40,257,1065,536,282,201,61,5,0,2448,26,47,101,63,48,81,129,65,16,576,3,42,169,51,36,23,11,11,0,349,67,357,1337,647,361,298,200,80,22,3372
POA6004,70,395,1382,669,436,360,94,14,0,3425,48,91,228,154,112,192,311,131,48,1328,12,37,106,80,46,52,29,10,9,383,129,520,1721,909,600,604,435,156,55,5131,21,331,1917,1186,706,574,134,12,0,4885,88,314,663,317,191,196,120,40,0,1931,5,22,83,61,35,39,12,0,0,255,0,9,51,26,5,8,4,0,0,100,111,677,2714,1585,935,817,269,50,3,7173,4,26,85,60,28,34,3,0,0,247,13,31,44,27,14,15,7,0,0,148,17,55,128,86,42,53,17,0,0,398,123,733,2841,1668,979,867,279,54,3,7568,98,186,345,220,186,309,595,259,91,2282,21,70,263,216,151,114,83,38,5,956,241,988,3449,2106,1319,1292,964,352,98,10809
POA6005,43,237,807,429,221,177,44,12,0,1970,17,23,80,63,41,77,131,110,59,604,9,17,44,31,20,14,16,4,3,156,63,277,936,525,277,271,194,123,65,2736,13,183,1203,708,332,232,62,5,0,2733,37,158,347,172,98,107,55,11,0,990,0,6,42,33,13,15,0,0,0,122,0,9,23,14,4,9,0,0,0,65,52,363,1615,934,443,358,115,14,0,3903,0,14,34,33,22,13,3,3,0,123,4,16,21,9,8,4,6,0,0,72,4,23,49,46,26,20,9,4,0,194,63,384,1665,978,471,381,126,22,0,4096,35,54,135,107,80,145,263,232,105,1162,8,31,125,84,42,40,27,12,3,367,104,471,1927,1171,599,562,415,263,108,5618
POA6006,104,310,787,658,550,373,99,7,0,2878,72,29,47,84,74,191,250,182,148,1085,0,13,31,33,10,15,32,22,13,176,176,352,867,773,634,578,378,213,170,4141,17,186,1049,944,729,507,78,4,0,3518,164,273,367,333,283,233,141,18,0,1818,6,17,75,59,29,23,3,0,0,210,0,12,18,9,3,6,4,4,0,51,187,484,1503,1349,1040,768,221,28,0,5591,0,19,28,28,25,27,5,0,0,126,29,12,17,11,15,16,8,0,0,111,28,28,46,39,32,48,13,3,0,240,216,516,1555,1385,1077,816,230,30,0,5833,153,78,89,120,154,301,460,337,225,1915,5,24,89,71,25,45,63,37,25,379,378,619,1734,1578,1258,1163,755,405,250,8130
POA6007,94,236,846,541,441,296,101,11,0,2565,49,34,57,70,57,97,250,159,134,918,8,22,64,27,21,20,23,21,37,230,157,288,976,641,523,417,373,191,164,3712,16,171,1124,807,617,366,88,0,0,3199,117,183,360,277,194,175,106,11,0,1436,5,17,60,39,20,33,17,0,0,187,0,13,19,12,7,0,5,0,0,64,144,385,1562,1139,838,572,220,20,0,4888,6,10,21,22,21,10,3,0,0,97,17,16,18,12,10,4,5,0,0,79,25,23,42,34,32,15,7,0,0,172,168,409,1605,1172,866,591,225,24,0,5059,118,53,109,91,103,172,421,252,178,1499,17,32,138,49,44,34,37,38,51,442,295,494,1851,1312,1014,800,684,308,234,7000
POA6008,192,427,1120,940,861,684,263,37,4,4543,150,56,126,209,160,283,601,440,171,2195,7,23,63,57,40,32,38,38,39,341,349,515,1311,1214,1060,995,905,521,213,7084,15,273,1552,1265,1150,773,232,23,0,5282,311,413,439,501,460,476,324,67,3,2986,12,22,80,63,25,51,17,0,0,279,5,5,17,17,16,10,5,3,0,76,343,714,2085,1846,1657,1308,572,98,8,8629,6,17,28,45,46,44,3,0,0,187,42,23,36,24,11,20,9,0,0,176,46,39,65,65,58,69,12,0,0,359,388,759,2151,1915,1715,1375,591,99,8,8994,349,129,198,263,224,458,1113,785,253,3773,15,44,135,115,91,81,113,86,66,743,750,929,2479,2293,2027,1915,1812,969,327,13507
POA6009,470,762,710,794,920,664,270,51,4,4652,402,276,212,253,217,342,721,548,265,3232,38,38,42,33,30,23,31,31,18,279,910,1072,960,1087,1160,1027,1024,628,284,8167,29,288,885,998,1264,859,299,39,3,4664,653,997,449,501,506,478,371,114,6,4078,45,63,60,39,31,34,25,8,0,306,10,8,13,24,21,5,3,5,4,96,731,1358,1404,1561,1817,1379,704,168,17,9142,7,29,48,33,44,21,4,0,0,182,150,98,37,26,20,20,8,0,0,356,156,126,82,56,65,38,12,0,0,532,891,1480,1487,1616,1879,1417,719,168,17,9680,837,637,446,329,287,491,1176,1005,454,5663,61,76,79,82,57,49,75,52,25,549,1791,2192,2009,2034,2221,1959,1962,1225,493,15885
POA6010,302,445,788,848,1108,773,283,61,0,4613,299,86,126,184,229,401,771,713,405,3214,22,25,51,31,39,44,48,52,62,385,630,561,964,1070,1379,1217,1099,824,468,8214,35,277,1086,1078,1415,935,264,34,0,5127,497,513,364,481,617,529,386,121,10,3518,30,29,107,59,41,49,32,12,0,349,4,11,17,13,13,9,7,3,0,77,570,834,1567,1633,2084,1514,690,167,11,9073,8,19,42,24,58,28,10,0,0,180,73,35,23,20,28,30,8,0,0,214,87,53,62,48,77,54,17,3,0,400,657,886,1631,1683,2167,1572,710,166,11,9468,728,183,189,241,323,602,1243,1256,624,5394,49,45,133,75,89,84,92,89,100,761,1429,1116,1950,1995,2577,2255,2046,1514,742,15616
POA6011,198,236,430,357,524,403,158,27,5,2334,230,33,54,111,152,224,386,279,114,1586,6,8,30,19,14,26,21,23,29,174,433,280,516,490,686,656,566,335,143,4097,12,133,598,486,687,537,149,24,0,2628,270,274,185,207,306,325,249,61,0,1879,18,16,36,35,23,32,20,0,0,192,5,13,16,11,14,5,3,4,3,70,305,443,830,738,1031,901,426,91,6,4762,0,0,15,12,19,17,9,0,0,66,52,21,13,6,17,13,0,0,0,122,58,24,27,19,28,26,9,0,0,182,357,460,857,755,1060,924,433,91,6,4945,398,65,91,130,192,313,625,534,200,2553,15,19,61,58,32,55,37,40,48,362,769,544,1008,947,1281,1297,1099,669,254,7864
