POA_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
POA6061,0,0,0,32,18,7,10,0,3,75,0,7,23,62,27,11,14,7,0,143,0,0,15,46,19,10,9,0,0,103,0,0,3,26,0,0,0,0,0,29,0,30,33,35,11,4,6,0,0,110,0,4,0,22,3,3,0,0,0,33,0,0,3,17,11,5,5,0,0,46,3,28,57,229,157,164,93,28,11,764,0,0,0,8,0,0,0,6,0,15,0,0,4,29,0,4,3,0,0,46,19,198,255,939,270,180,93,41,6,2001,108,198,187,619,190,127,73,51,32,1581,1644,2562,2485,7703,2205,1887,1324,684,238,20738,4,12,13,56,15,10,8,0,0,111,1361,1607,1232,2339,770,750,565,367,120,9128,0,0,0,16,0,0,0,0,0,20,0,0,3,53,23,54,19,3,0,159,0,0,6,113,8,4,0,0,0,128,0,0,0,15,5,15,0,0,0,32,0,0,3,14,6,0,0,0,0,21
POA6062,0,5,4,22,13,27,25,11,0,108,0,13,20,68,29,38,42,9,3,218,0,7,11,61,9,15,6,7,0,121,0,0,8,25,0,3,0,0,0,28,0,5,12,12,3,0,0,0,0,32,0,0,3,7,11,4,4,0,0,26,0,0,5,15,5,8,5,0,0,42,0,22,31,157,120,171,78,29,22,622,0,0,0,3,0,11,3,9,0,23,0,0,10,18,10,7,0,0,0,49,3,36,73,260,123,99,73,60,11,728,34,62,82,239,99,96,51,48,18,728,983,1877,2035,4976,2093,1970,1681,1080,326,17023,0,0,0,11,4,0,0,0,0,19,919,1427,1305,2258,1001,888,773,463,206,9236,0,0,0,11,0,0,0,0,0,14,0,0,0,31,8,12,17,5,0,82,0,3,0,20,3,4,0,0,0,33,0,0,0,13,8,6,0,0,0,29,0,4,3,12,8,0,0,0,0,30
POA6063,0,0,3,4,7,13,4,3,0,40,0,0,10,27,19,18,8,0,3,83,0,0,3,13,5,4,8,7,0,44,0,0,0,9,0,0,0,0,0,9,0,9,4,20,4,3,0,0,0,37,0,0,0,4,0,0,0,0,0,5,0,0,0,3,0,6,5,0,0,13,6,15,16,101,74,56,30,11,0,305,0,0,0,0,0,0,6,0,0,3,0,0,4,4,9,0,0,0,0,26,5,12,35,129,62,55,37,16,0,351,32,51,40,113,36,44,22,4,0,347,481,1194,1064,2150,927,910,616,210,40,7595,0,0,13,71,26,4,4,4,0,121,410,893,668,892,412,392,211,82,24,3980,0,0,0,4,0,0,4,0,0,12,0,0,0,17,7,18,11,6,6,59,0,0,0,4,0,0,0,0,0,11,0,0,0,12,9,0,3,0,0,24,0,0,0,0,0,3,0,0,0,4
POA6064,0,0,4,8,8,16,9,3,0,49,0,3,17,30,11,6,14,3,0,91,0,0,8,6,11,7,9,0,0,44,0,0,0,6,0,0,0,0,0,7,0,40,65,38,4,4,0,0,0,147,0,0,0,5,0,0,0,0,0,5,0,0,5,7,8,8,3,0,0,34,0,42,54,274,208,221,116,45,16,977,0,0,0,0,3,3,7,0,0,13,0,0,0,11,5,5,3,0,0,27,0,43,116,269,160,116,86,35,9,836,39,104,92,208,93,78,75,56,37,776,944,2103,2143,4151,1977,1869,1394,703,193,15485,0,23,28,65,16,12,0,0,0,147,896,1592,1375,1961,838,777,592,260,86,8380,0,0,0,11,0,0,0,0,0,14,0,0,0,22,12,17,20,0,0,73,0,0,0,14,0,0,0,0,0,17,0,0,8,17,22,11,14,0,5,77,0,0,0,3,5,3,0,0,0,12
POA6065,0,3,17,43,28,35,12,4,0,149,4,59,168,327,244,127,56,17,7,1017,0,0,4,28,10,11,11,4,0,71,0,0,0,9,3,0,0,0,0,18,0,15,23,22,5,8,0,0,0,71,0,0,0,11,4,0,0,0,0,21,4,4,15,17,19,12,7,3,4,88,6,11,18,166,142,113,45,8,0,515,0,0,19,26,17,14,14,10,6,105,0,5,47,62,75,41,20,5,3,258,4,65,169,497,303,224,117,51,15,1446,51,116,139,402,192,155,85,42,20,1203,2505,5393,4424,9613,4692,3299,2272,1123,347,33674,0,3,19,61,26,10,12,6,0,131,2277,4471,2796,5225,2027,1372,1050,588,229,20052,0,0,0,13,0,0,3,0,0,24,0,0,8,22,20,9,6,0,0,65,0,4,0,37,6,4,0,0,0,49,0,0,0,26,3,7,6,0,0,45,0,0,6,28,11,0,4,0,0,56
POA6066,0,3,8,10,15,8,12,3,0,57,0,3,3,23,21,24,9,6,0,91,0,0,3,7,6,7,15,0,5,48,0,0,0,6,0,0,0,0,0,6,0,4,6,15,0,4,0,0,0,33,0,0,0,0,0,0,0,0,0,3,0,0,3,5,0,9,4,0,0,24,4,14,25,103,101,94,42,13,9,409,0,0,0,0,0,3,0,0,0,5,0,0,0,6,3,4,5,0,0,29,3,23,40,88,55,69,35,17,8,329,20,56,36,103,50,47,22,14,3,350,530,1272,1374,2294,1147,1414,773,308,86,9198,0,7,9,49,14,7,0,3,0,97,493,1033,955,1176,625,664,290,137,43,5422,0,0,0,7,3,0,0,0,0,11,0,0,0,11,8,4,9,0,0,37,0,0,0,8,3,0,0,0,0,11,0,4,0,12,8,9,0,0,0,32,0,0,0,5,0,5,0,0,0,8
POA6067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,9,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6069,0,4,13,21,24,22,8,8,0,93,4,38,91,181,122,72,39,13,0,562,0,4,10,24,19,6,8,0,0,70,0,0,0,7,0,0,0,0,0,7,0,16,13,17,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,5,0,17,0,12,9,16,4,7,0,66,0,0,7,25,11,3,6,0,0,49,0,0,4,16,17,15,5,0,0,64,0,8,31,67,47,34,4,0,0,198,3,46,132,367,162,72,51,26,13,882,70,143,113,403,187,98,51,30,15,1103,1995,4072,3045,6693,2953,1931,1181,628,192,22688,0,0,3,22,4,4,0,0,0,42,1694,3372,2018,4119,1561,964,647,331,125,14831,0,0,0,6,4,0,0,0,0,12,0,0,0,9,3,0,0,0,0,23,0,0,5,12,0,0,0,0,0,26,0,4,0,10,5,0,0,0,0,17,0,4,8,16,9,6,4,6,0,43
POA6070,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,9,0,0,28,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,6,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,7,0,11,0,0,0,0,3,0,6,0,0,8,0,0,0,3,8,11,13,0,0,45,0,6,10,13,8,10,9,0,3,62,97,304,209,341,272,257,217,124,29,1844,0,0,0,0,0,0,0,0,0,0,83,245,146,278,181,143,139,60,11,1288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
