POA_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
POA6000,66,85,56,44,48,23,3,20,3,348,90,81,115,136,69,33,33,57,4,617,103,73,295,123,95,42,63,67,15,883,4,4,8,20,12,15,9,11,0,83,16,9,12,12,23,5,7,12,0,98,15,21,8,13,10,3,0,15,4,89,16,22,13,12,9,7,9,12,27,134,954,2893,746,672,700,275,182,387,113,6925
POA6003,18,20,19,15,5,5,4,3,0,91,23,24,41,35,16,12,7,10,5,173,24,19,92,67,31,22,17,15,5,290,3,0,0,8,6,0,3,9,0,19,4,4,0,4,3,0,0,5,0,24,0,5,4,5,0,0,0,0,0,21,0,3,8,4,5,0,0,0,5,21,250,744,239,220,182,90,40,84,22,1880
POA6004,58,78,46,20,45,17,9,4,5,287,85,87,90,107,61,29,24,41,5,523,104,61,230,115,71,57,38,58,9,737,9,3,5,17,16,9,9,4,0,62,11,10,0,14,18,11,0,10,0,78,11,32,4,10,5,3,0,8,0,79,13,21,8,14,15,8,4,9,15,111,908,2450,583,588,643,253,142,290,74,5933
POA6005,25,31,12,17,17,3,0,7,0,112,38,49,40,43,31,13,6,18,5,236,43,40,120,54,51,13,23,15,4,357,3,0,3,6,12,5,0,0,0,29,6,3,4,5,13,5,0,0,0,33,10,21,0,3,3,4,0,4,0,44,8,11,10,5,0,0,0,3,5,46,426,1609,278,263,350,120,57,112,40,3260
POA6006,47,80,33,23,31,6,3,9,3,239,53,59,32,48,34,29,0,14,9,277,74,46,202,83,74,38,26,34,10,586,9,8,5,6,11,7,0,5,0,44,8,5,4,9,22,11,0,3,0,60,3,11,0,7,10,0,0,6,0,35,10,14,4,0,9,5,0,3,8,56,779,2135,382,363,423,178,60,113,46,4478
POA6007,46,58,27,16,24,15,7,9,0,204,44,55,39,34,48,23,3,18,0,263,57,36,137,70,42,29,16,29,5,424,4,0,0,4,6,8,0,4,0,35,7,6,4,12,13,4,0,0,0,48,0,25,5,0,4,0,0,0,0,34,6,22,4,7,0,3,4,9,5,52,682,2151,301,290,360,160,50,115,45,4157
POA6008,58,115,25,35,43,15,3,7,4,306,70,67,42,55,63,18,4,18,0,343,63,38,142,76,70,33,29,42,11,507,5,0,8,21,9,18,0,7,0,68,26,15,5,18,22,14,0,10,0,106,9,36,5,4,4,0,0,4,6,70,13,35,6,10,19,12,0,3,8,104,1197,4080,375,462,646,266,70,172,83,7350
POA6009,69,87,29,25,34,22,3,7,4,282,41,49,29,42,45,33,7,22,0,266,51,32,106,76,45,38,10,31,5,388,9,4,3,27,7,16,7,14,0,73,4,12,4,7,14,6,4,3,0,51,8,28,7,8,4,0,0,0,7,67,15,31,5,8,6,3,0,8,12,92,1293,3937,286,485,649,313,82,176,108,7325
POA6010,92,130,16,44,69,42,6,5,4,415,80,62,28,60,55,38,10,9,0,332,108,33,156,103,50,33,19,32,15,549,6,0,8,9,14,7,0,0,0,53,14,20,11,17,24,9,0,9,0,93,12,40,0,3,9,0,0,0,0,71,16,28,3,13,16,10,0,6,10,96,1567,3707,343,492,673,319,67,118,81,7366
POA6011,45,59,23,12,22,14,6,5,5,183,50,27,18,22,18,19,0,7,5,154,55,12,78,34,29,12,11,10,3,242,3,3,5,3,8,6,0,0,0,26,8,12,4,4,10,11,0,6,4,49,7,24,0,0,7,0,0,0,0,48,19,17,5,6,7,4,0,0,10,72,843,1987,158,199,324,171,28,46,79,3842
