POA_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
POA6012,0,0,0,0,5,0,0,0,0,8,0,0,0,6,0,7,0,0,0,17,0,0,3,8,0,3,3,0,0,17,3,16,11,105,35,21,21,16,0,233,4,23,23,50,23,25,39,22,26,240,192,616,681,1110,681,578,504,309,126,4818,0,0,0,0,0,0,0,0,0,0,360,920,874,1133,766,639,572,346,112,5731,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,10,0,0,0,25,3,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,3,22,12,12,3,0,0,46,0,0,0,6,0,0,0,0,0,14,0,8,9,24,25,19,14,6,0,104,0,0,0,4,0,0,7,0,0,11,0,0,0,0,0,0,0,0,0,4,5,45,63,149,139,150,104,60,21,738,0,0,0,3,0,0,0,0,0,5,0,0,0,27,3,3,0,0,0,41
POA6014,0,4,5,19,8,12,9,0,0,51,0,0,0,7,4,3,4,4,0,23,0,0,0,9,13,10,3,0,0,46,12,83,47,454,63,58,28,18,12,775,11,21,27,87,21,28,41,20,30,284,549,1582,1253,3072,1582,1266,993,618,466,11386,0,0,0,0,0,0,0,0,0,0,1075,2623,1993,2913,1860,1452,1137,678,443,14170,0,0,0,10,3,0,0,0,0,14,0,0,0,3,0,5,0,0,0,6,0,3,0,44,5,4,0,0,0,62,0,0,0,6,0,0,0,0,0,6,6,14,11,32,26,22,12,6,0,120,0,3,5,18,0,0,0,0,0,31,0,23,20,181,64,28,25,9,12,368,0,0,0,4,8,5,9,0,4,32,0,7,6,3,0,3,3,5,3,22,5,91,88,271,262,285,200,128,63,1389,0,0,0,0,0,5,0,3,0,7,0,8,8,32,12,0,8,4,4,82
POA6015,0,0,0,6,0,0,0,3,0,9,0,0,0,0,0,0,3,0,0,6,0,0,0,0,4,10,0,0,0,10,0,10,5,32,15,20,14,8,3,107,3,14,6,20,16,10,12,16,10,100,93,484,462,506,577,500,326,317,185,3453,0,0,0,0,0,3,0,0,0,3,176,846,791,597,699,564,359,343,196,4565,0,0,0,0,0,3,0,0,0,3,0,0,0,0,6,0,0,0,0,3,0,0,0,4,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,5,6,14,6,4,0,0,33,0,0,0,3,3,0,0,0,0,10,0,0,3,10,13,9,3,3,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,8,0,0,8,0,22,43,52,88,121,81,70,47,528,0,0,0,0,0,0,0,0,0,0,0,5,0,3,5,0,0,0,0,13
POA6016,0,0,0,10,14,10,9,3,3,52,0,0,0,0,4,0,4,0,0,8,0,0,0,3,0,6,0,0,0,12,3,46,51,300,39,30,21,6,3,505,16,12,12,65,19,18,18,3,5,156,338,729,574,1943,764,551,368,165,120,5548,0,0,0,4,0,0,0,0,0,3,677,1278,835,1829,980,667,319,123,58,6766,0,0,0,7,0,0,0,0,0,9,0,0,0,9,0,0,6,0,0,15,0,0,4,33,4,0,0,0,0,39,0,0,0,3,0,0,0,0,0,4,0,6,0,20,11,6,3,0,0,45,0,3,0,3,0,0,0,0,0,6,0,4,8,37,11,9,5,8,3,81,0,0,0,9,0,0,0,6,0,15,0,0,0,0,0,0,0,0,4,12,3,17,20,176,120,118,76,24,11,561,0,0,0,4,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,16
POA6017,0,6,0,10,7,12,3,0,6,34,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,37,24,237,15,13,4,4,0,340,7,3,16,78,13,8,6,3,0,139,128,132,225,1103,202,194,146,99,44,2281,0,0,0,3,0,0,0,0,0,10,216,141,216,750,213,167,159,80,24,1964,0,0,0,0,0,0,0,0,0,5,0,0,0,7,4,0,0,0,0,12,0,0,3,38,3,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,4,5,0,0,0,0,0,11,0,0,10,40,9,8,4,0,0,67,0,0,0,0,0,6,5,11,4,25,0,0,0,0,0,0,0,0,0,0,0,0,13,55,19,29,25,26,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,12
POA6018,0,0,4,22,23,18,14,4,0,93,0,0,0,14,8,0,6,4,4,42,0,3,7,31,31,22,7,7,0,113,5,37,55,340,135,107,72,39,18,811,30,49,57,240,66,66,83,99,108,797,1255,2528,2361,6416,2922,2290,1989,1494,896,22153,0,0,0,6,5,0,0,0,0,15,2430,4422,3564,6856,3253,2402,1956,1471,762,27119,0,0,0,6,0,0,0,0,0,12,0,0,0,17,3,19,7,0,0,47,4,14,10,181,19,0,0,0,0,229,0,0,4,7,3,4,0,0,0,15,0,9,5,54,31,24,15,3,5,148,0,0,0,13,4,0,0,0,0,22,0,54,47,409,137,90,74,20,14,847,0,0,0,13,6,18,19,31,12,91,0,12,0,23,5,5,9,3,0,59,16,115,166,689,438,509,391,303,144,2759,0,0,0,0,3,6,0,0,0,12,0,0,9,54,19,13,7,0,0,115
POA6019,0,0,0,11,5,0,3,0,0,21,0,0,0,12,4,0,7,0,0,20,0,0,4,21,9,17,9,0,0,62,0,23,28,275,70,44,35,24,10,516,30,37,55,232,54,37,51,25,10,530,654,1186,1175,4475,1637,1270,973,687,272,12328,0,0,0,0,0,5,0,0,0,6,1281,2204,1911,4761,1907,1474,1022,688,292,15535,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,4,4,0,0,21,0,8,15,356,30,8,3,0,0,414,0,0,0,0,0,0,0,0,0,0,4,3,14,62,31,16,13,11,0,140,0,4,0,26,6,0,3,5,0,49,3,20,19,85,40,23,24,7,5,218,0,3,0,4,0,8,3,10,4,29,0,3,0,10,5,0,4,0,3,30,20,58,121,628,293,306,225,141,37,1820,0,0,0,0,0,0,5,0,0,11,3,6,18,76,18,5,5,0,0,126
POA6020,0,0,0,6,6,8,5,0,0,25,0,0,3,7,9,10,6,0,0,35,0,0,3,16,12,10,17,4,5,68,0,25,13,93,65,55,56,18,6,334,11,20,20,66,34,33,61,41,21,301,513,1599,1149,2301,1571,1572,1711,796,299,11518,0,0,0,4,0,0,0,0,0,8,1032,2817,2026,2871,1985,1746,1949,916,296,15643,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,10,0,0,0,23,5,5,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,6,0,23,14,12,13,8,0,79,0,0,0,3,0,3,0,0,0,6,0,10,8,54,19,24,13,6,0,128,0,0,0,3,0,6,14,4,0,22,0,0,4,3,3,3,4,3,0,25,0,112,116,318,347,398,405,259,71,2041,0,0,0,0,0,0,0,0,0,4,0,0,4,14,8,0,7,0,0,34
POA6021,0,5,4,42,41,28,24,5,3,156,0,0,0,0,0,0,7,0,0,10,0,0,4,16,7,0,3,0,0,32,0,29,69,217,74,61,45,37,20,544,13,35,38,114,52,40,38,47,20,396,551,1144,1100,3101,1360,1243,1203,799,382,10887,0,0,0,11,9,4,4,0,0,31,1096,1957,1611,3148,1516,1238,855,510,165,12095,0,0,0,5,3,0,0,0,0,11,0,0,0,31,8,29,15,6,5,99,5,4,0,57,5,0,3,0,0,78,0,0,0,0,0,0,0,0,0,0,0,9,4,20,9,7,0,0,0,58,0,0,0,4,0,0,7,3,0,13,0,12,29,192,58,71,37,24,7,427,0,5,3,12,10,19,66,49,32,191,0,3,0,3,0,12,9,10,3,35,3,17,43,218,123,157,97,66,32,747,0,0,0,0,0,0,0,0,0,6,0,4,3,15,3,5,0,0,0,28
POA6022,0,0,3,9,7,3,8,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,0,0,7,30,10,13,11,9,3,82,0,6,4,10,11,4,11,8,3,60,161,327,231,722,315,285,357,175,39,2619,0,0,0,0,0,0,0,0,0,0,361,590,395,896,419,302,391,198,31,3592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,12,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,5,0,0,4,27,0,0,0,0,0,0,0,0,0,0,0,0,8,17,7,8,4,3,0,49,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,7,0,8,5,88,55,65,64,53,12,352,0,0,0,0,0,0,0,4,0,6,0,0,0,11,0,0,0,0,0,11
