POA_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
POA6000,33,1959,1142,400,2505,1,1964,1.8
POA6003,33,1733,1130,380,2525,1,1843,1.8
POA6004,35,1950,1174,410,2563,1,2005,1.8
POA6005,35,1772,1251,400,2768,0.9,1918,1.8
POA6006,38,2473,1147,400,3161,0.8,2323,2.3
POA6007,36,2167,1337,420,3288,0.9,2349,2.1
POA6008,40,2600,1241,420,3339,0.9,2234,2.2
POA6009,37,3521,920,450,3768,0.8,2610,2.6
POA6010,43,3000,1142,460,3598,0.8,2417,2.4
POA6011,44,4000,1464,550,4652,0.8,3454,2.5
POA6012,42,3000,1030,300,3456,0.8,2132,2.4
POA6014,39,2732,1091,312,3296,0.9,2289,2.5
POA6015,47,4000,1228,750,4592,0.7,3700,2.8
POA6016,36,2266,1092,343,3020,0.9,2328,2.5
POA6017,34,1546,920,290,1965,0.9,1475,1.9
POA6018,39,2200,1048,400,2888,0.8,2210,2.5
POA6019,37,2167,1199,415,2930,0.8,2188,2.3
POA6020,45,2500,989,425,2959,0.7,2374,2.7
POA6021,40,2000,831,350,2250,0.7,1796,2.5
POA6022,39,2000,892,380,2227,0.7,1856,2.6
POA6023,42,2208,951,460,2817,0.7,2394,2.8
POA6024,40,1950,850,400,2292,0.7,1897,2.6
POA6025,40,2000,934,400,2482,0.7,2108,2.6
POA6026,44,2100,856,440,2509,0.7,2138,2.7
POA6027,40,2000,879,380,2372,0.7,2016,2.6
POA6028,41,2167,960,420,2771,0.7,2540,2.9
POA6029,43,3000,1110,485,3525,0.8,2779,2.7
POA6030,37,1800,800,352,2123,0.7,1825,2.7
POA6031,32,1907,920,380,2263,0.8,2116,3
POA6032,47,2000,841,241,1937,0.7,1708,2.6
POA6033,44,2600,693,300,2441,0.8,2307,3.1
POA6034,29,1950,1004,350,2151,0.8,2024,2.9
POA6035,35,1842,762,340,1990,0.7,1699,2.8
POA6036,33,1937,841,350,2181,0.8,1907,2.8
POA6037,39,1800,716,330,1862,0.7,1526,2.7
POA6038,31,1950,977,360,2247,0.8,2035,2.8
POA6041,51,1733,567,300,1557,0.7,1311,2.6
POA6042,64,1250,537,280,1375,0.6,959,1.8
POA6043,59,1217,631,250,1583,0.6,1136,1.7
POA6044,54,1644,685,250,1381,0.7,1086,2
POA6050,41,2383,1075,350,3241,0.8,2088,2.2
POA6051,36,1733,1050,300,2386,0.8,1623,1.9
POA6052,39,2167,1011,340,2811,0.8,2051,2.4
POA6053,39,2000,1015,350,2679,0.8,2037,2.4
POA6054,39,1733,806,320,2106,0.7,1600,2.4
POA6055,33,2000,994,373,2329,0.8,2159,2.9
POA6056,40,1705,762,300,1946,0.7,1470,2.4
POA6057,39,1800,843,380,2145,0.7,1816,2.6
POA6058,38,1733,810,350,1982,0.7,1614,2.5
POA6059,43,2000,789,340,2257,0.7,1684,2.4
POA6060,37,1842,964,323,2257,0.8,1643,2.1
POA6061,34,1517,713,320,1608,0.8,1374,2.4
POA6062,40,1780,738,351,1963,0.7,1617,2.5
POA6063,36,1686,697,340,1843,0.8,1632,2.9
POA6064,37,1517,626,300,1634,0.8,1422,2.7
POA6065,36,2000,885,400,2362,0.8,2133,2.9
POA6066,37,1703,716,350,1916,0.8,1726,2.9
POA6067,33,0,341,150,850,1.9,849,3
POA6068,54,0,899,120,3250,0.8,1375,2
POA6069,33,1950,921,365,2235,0.8,2043,2.9
POA6070,44,2100,938,420,2725,0.7,2388,2.7
POA6071,47,2000,894,400,2546,0.7,2163,2.6
POA6072,46,2000,917,350,2602,0.7,2169,2.7
POA6073,50,2000,707,343,2140,0.7,1773,2.5
POA6074,46,2000,767,440,2101,0.7,1845,2.7
POA6076,47,2139,811,360,2367,0.7,1944,2.6
POA6077,55,2200,691,300,1925,0.7,1448,2.6
POA6078,43,2817,774,375,2154,0.7,2170,3.1
POA6079,66,1000,575,280,2083,0.6,2062,2.3
POA6081,43,2000,896,400,2465,0.8,2225,2.8
POA6082,41,2058,827,383,2189,0.7,1941,2.7
POA6083,48,2167,866,340,2401,0.8,2247,2.8
POA6084,40,2000,872,350,2245,0.8,2076,2.9
POA6090,43,0,1350,775,7000,1.2,1749,1.4
POA6100,36,2000,1057,350,2464,0.8,1896,2.1
POA6101,35,2000,1014,350,2559,0.8,1974,2.3
POA6102,32,1733,693,320,1902,0.8,1410,2.3
POA6103,34,1760,1015,350,2246,0.9,1723,2.1
POA6104,38,1754,879,350,2144,0.8,1666,2.3
POA6105,35,1733,806,340,1924,0.8,1558,2.4
POA6106,53,1000,724,265,7000,0.9,575,1.5
POA6107,33,1733,789,350,1975,0.8,1727,2.7
