POA_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
POA6000,62,3,194,85,28,26,8,27,12,444,0,0,0,4,0,0,0,0,0,5,14,30,8,19,11,0,7,14,5,102,14,20,17,15,3,7,12,13,34,137,954,2893,746,672,700,275,182,387,113,6925
POA6003,16,5,67,24,6,4,8,11,0,141,0,0,0,0,0,0,0,0,0,5,3,4,5,4,4,3,4,0,0,30,0,10,7,0,4,4,0,5,3,32,250,744,239,220,182,90,40,84,22,1880
POA6004,37,7,125,64,17,13,8,18,0,287,0,0,0,0,0,0,0,0,0,3,15,19,9,13,9,3,6,6,3,83,14,10,13,11,10,8,4,11,12,103,908,2450,583,588,643,253,142,290,74,5933
POA6005,23,0,46,16,8,3,0,14,0,110,0,0,0,0,0,0,0,0,0,3,7,14,3,4,10,4,0,3,0,49,7,12,12,9,0,0,0,3,13,58,426,1609,278,263,350,120,57,112,40,3260
POA6006,21,0,62,26,12,8,4,8,0,143,0,0,0,0,0,0,0,0,0,4,7,21,4,8,11,4,5,0,7,61,8,17,7,0,3,0,3,0,5,50,779,2135,382,363,423,178,60,113,46,4478
POA6007,15,4,47,27,12,14,4,9,0,133,0,0,0,0,0,0,0,3,0,0,10,16,3,7,9,0,0,0,3,61,9,9,5,10,3,0,4,7,7,59,682,2151,301,290,360,160,50,115,45,4157
POA6008,16,5,55,26,17,5,4,9,0,139,0,0,0,5,0,0,0,0,0,8,19,30,6,3,17,4,0,6,3,103,8,22,12,8,14,4,3,13,16,94,1197,4080,375,462,646,266,70,172,83,7350
POA6009,19,10,32,20,3,9,3,8,3,97,0,0,0,0,0,0,0,0,0,3,13,29,4,14,8,0,3,3,3,79,17,28,9,4,12,7,3,4,22,97,1293,3937,286,485,649,313,82,176,108,7325
POA6010,22,6,38,29,15,14,0,12,5,139,0,0,0,0,0,0,0,0,0,3,23,33,5,14,5,8,0,0,0,84,8,26,8,16,12,6,0,0,8,94,1567,3707,343,492,673,319,67,118,81,7366
POA6011,18,4,14,7,8,3,0,3,0,52,0,0,0,0,0,0,0,0,0,0,11,15,0,3,4,6,0,0,0,46,4,12,6,3,3,0,0,3,16,49,843,1987,158,199,324,171,28,46,79,3842
POA6012,17,5,31,15,9,7,0,4,0,94,0,0,0,0,0,0,0,0,0,4,15,18,0,7,5,4,7,0,3,57,7,22,0,4,9,0,5,6,7,62,706,1668,219,302,297,167,53,128,60,3596
POA6014,36,13,73,41,25,14,5,31,4,250,0,0,3,7,0,0,0,11,0,18,15,36,10,9,21,9,0,9,3,118,19,16,7,14,11,5,4,14,20,113,1712,4494,637,759,858,357,199,484,108,9619
POA6015,9,0,7,12,8,3,3,0,0,45,0,0,0,0,0,0,0,0,0,4,4,5,0,0,3,0,0,0,4,20,10,3,6,4,6,0,0,7,5,37,631,1254,110,131,230,99,20,37,42,2558
POA6016,26,0,59,29,12,13,11,19,0,164,0,0,0,3,0,0,0,3,0,14,9,20,9,5,8,6,4,7,3,73,5,18,8,11,8,5,3,4,13,81,787,2062,431,513,413,223,142,353,57,4976
POA6017,9,3,58,21,8,12,7,21,0,150,0,0,0,0,0,0,0,3,0,5,0,0,3,5,0,3,0,0,0,33,0,4,7,3,10,5,4,0,6,44,191,596,269,291,202,131,121,277,25,2105
POA6018,90,25,191,106,67,65,31,35,7,623,6,0,0,4,0,0,0,0,0,18,27,69,21,28,34,22,7,9,0,212,34,38,45,35,39,19,18,16,54,289,2919,7285,1889,1462,1869,755,352,498,212,17231
POA6019,44,18,130,76,53,23,17,26,3,392,5,0,0,0,3,0,0,0,0,11,31,34,10,21,16,6,4,5,4,129,24,33,33,32,17,16,18,14,57,247,1901,4563,1327,1020,1078,481,263,382,166,11181
POA6020,34,15,49,46,41,26,18,14,0,250,0,3,0,0,0,0,0,0,0,4,19,30,11,13,12,4,4,3,6,92,22,36,24,14,22,13,0,13,29,167,1651,3403,949,729,906,407,139,208,117,8512
POA6021,45,7,155,68,53,36,23,24,4,431,0,0,0,3,0,0,0,0,0,5,16,15,12,11,10,5,11,3,10,95,22,21,34,19,25,10,8,3,29,174,1068,2585,1132,779,968,438,282,370,115,7744
POA6022,5,4,38,22,12,7,0,9,0,100,0,0,0,0,0,0,0,0,0,0,0,8,4,6,0,0,0,0,0,22,0,0,9,0,6,7,3,0,4,38,227,672,378,200,216,80,63,87,19,1943
POA6023,34,12,52,20,38,12,6,9,5,194,0,0,0,0,0,0,0,0,0,6,15,21,9,8,8,0,3,0,0,71,13,17,19,12,19,9,5,6,26,119,1037,2408,789,528,685,228,140,162,70,6050
POA6024,26,12,68,44,29,25,8,14,0,236,0,0,0,0,0,0,0,0,0,0,0,16,9,9,14,0,7,3,0,55,7,9,26,14,15,9,7,21,20,131,613,1643,876,507,622,230,175,233,66,4968
POA6025,74,14,169,74,86,52,20,32,3,530,0,0,0,0,4,0,0,0,0,11,22,43,19,23,17,11,5,7,0,144,30,24,59,30,25,12,11,30,35,268,1899,4052,2073,1281,1404,500,314,450,134,12104
POA6026,41,21,112,54,65,50,17,25,3,395,0,0,0,0,0,0,0,0,0,7,18,21,19,12,13,6,4,4,0,91,18,15,36,17,16,14,9,10,16,151,1178,2803,1342,969,1128,422,268,298,79,8485
POA6027,109,38,261,166,137,87,32,62,8,895,0,0,0,7,5,3,0,4,0,18,39,41,34,35,35,20,17,10,8,233,36,35,64,41,34,27,26,33,71,374,2180,4725,3014,1999,1898,819,579,766,261,16237
