POA_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
POA6000,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,20,0,0,0,3,3,8,4,0,0,21,0,0,10,26,0,0,0,0,0,41,0,0,4,9,0,0,0,0,0,17,0,0,12,66,14,25,9,3,0,132,0,0,0,0,0,0,3,0,0,8,0,0,0,9,0,0,0,0,0,11,0,0,3,0,0,0,0,0,0,8,0,5,17,73,18,5,4,0,0,118,0,0,0,10,0,3,3,0,0,24,0,0,0,0,0,0,0,0,0,3,0,0,3,20,6,5,3,0,0,40,0,7,22,57,7,8,6,0,0,108,0,0,9,34,8,7,4,0,0,72,0,0,9,10,0,0,0,0,0,24,0,0,3,64,0,0,0,0,0,69,0,0,14,51,17,0,6,0,0,89,0,0,0,4,0,0,0,0,0,5,9,9,18,54,5,4,0,0,0,107
POA6003,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,10,0,0,4,9,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,3,14,0,6,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,4,0,0,21,0,0,0,3,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,17,0,0,3,12,0,6,0,0,0,23,0,0,3,5,3,0,6,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,16,0,0,0,0,0,16,0,0,10,23,3,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,19
POA6004,0,0,0,0,0,0,0,0,0,0,0,0,6,16,0,4,0,0,0,28,0,0,7,5,4,0,4,0,0,20,0,0,19,45,0,0,0,0,0,68,0,0,0,4,3,3,4,3,6,22,0,0,4,44,14,29,6,4,0,106,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,11,78,16,19,5,0,0,127,0,0,0,9,3,9,5,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,13,8,4,0,42,0,3,13,55,20,14,5,4,0,117,0,0,10,36,12,9,4,0,0,79,0,0,3,17,3,0,0,0,0,21,0,0,5,44,0,0,3,0,0,51,0,0,6,33,20,5,0,5,0,61,0,0,0,5,0,0,0,0,0,4,4,6,12,21,3,0,3,0,0,51
POA6005,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,10,0,0,0,3,0,0,0,0,0,4,0,0,4,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,6,31,14,10,6,0,0,72,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,3,0,0,4,30,8,0,0,0,0,46,0,0,0,4,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,11,4,0,4,0,3,33,0,4,3,27,0,6,4,4,0,42,0,0,3,28,12,10,3,0,0,58,0,6,0,8,0,0,3,0,0,19,0,0,0,9,0,0,0,0,0,18,0,5,0,25,4,0,4,0,0,37,0,0,0,0,0,3,0,0,0,3,0,3,3,20,3,0,0,0,0,32
POA6006,0,0,0,0,0,0,0,3,0,3,0,0,0,3,6,5,0,0,0,10,0,0,0,3,0,0,5,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,3,0,0,12,0,0,11,27,19,15,10,4,0,82,0,0,0,8,0,0,4,10,9,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,17,6,0,0,0,0,26,0,0,0,7,0,0,4,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,9,3,3,3,39,0,4,4,15,5,4,3,0,0,45,0,0,9,21,8,6,5,0,0,49,0,0,0,0,4,0,0,0,0,6,0,0,0,6,0,0,0,0,0,11,0,0,0,13,4,0,0,0,0,22,0,0,0,5,0,0,0,0,0,4,0,0,0,12,3,7,4,0,0,26
POA6007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,3,0,0,0,0,6,0,0,5,14,0,0,0,0,0,19,0,0,0,4,0,0,0,3,4,12,0,0,7,23,17,16,14,0,0,81,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,8,10,0,0,0,0,25,0,0,0,3,0,3,0,3,4,20,0,0,0,0,0,0,0,0,0,0,0,0,5,22,12,3,6,6,5,45,0,0,0,8,8,0,0,0,0,31,0,3,8,29,4,5,3,0,0,67,0,0,0,10,3,0,0,0,0,16,0,0,0,13,0,0,0,0,0,9,0,3,3,9,3,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,4,0,5,28,0,0,3,0,0,41
POA6008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,4,6,4,0,0,0,10,0,0,0,7,0,0,0,0,0,9,0,0,7,5,7,3,7,4,0,37,0,4,8,35,13,33,25,13,6,140,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,5,0,0,10,28,14,9,12,0,0,69,0,4,0,6,9,3,3,0,6,37,0,0,0,0,0,0,0,0,0,0,0,4,9,13,13,17,16,8,0,87,3,9,7,31,15,10,9,3,0,88,0,3,10,57,23,17,15,3,5,135,0,3,0,9,4,8,4,3,4,31,0,4,6,11,9,0,4,0,0,22,0,4,6,10,10,8,0,0,0,46,0,0,0,4,0,0,0,0,0,4,0,15,6,32,10,11,3,9,0,88
POA6009,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,3,0,3,15,0,0,0,3,3,7,5,4,0,19,0,0,3,13,0,0,0,0,0,11,0,5,0,4,0,0,3,4,6,29,0,7,13,19,21,23,21,12,0,112,0,0,0,0,0,0,0,0,0,0,0,0,6,23,7,0,0,0,0,35,0,0,0,0,0,0,4,0,0,5,0,3,12,19,9,8,7,0,0,48,0,0,0,13,3,5,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,10,10,18,27,18,11,0,94,0,5,66,47,23,30,34,13,0,220,0,4,43,36,26,39,22,9,6,186,0,6,5,19,17,9,9,4,3,67,0,0,0,13,8,4,16,5,0,55,0,4,9,10,3,0,4,0,0,22,0,0,0,0,0,0,0,0,0,0,6,27,21,31,19,14,6,6,0,123
POA6010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,9,0,4,4,8,3,7,0,33,0,3,6,26,27,32,25,5,5,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,3,0,0,0,7,0,0,5,6,9,3,3,0,0,20,0,0,0,9,6,3,5,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,5,9,21,12,8,13,10,85,0,10,9,23,21,15,13,8,0,97,6,17,22,77,40,37,31,8,5,237,0,0,0,9,4,7,5,8,0,28,0,0,0,4,0,0,0,0,0,5,0,0,4,0,3,3,3,0,0,18,0,0,0,0,0,3,0,0,0,5,6,18,22,21,18,8,12,4,3,111
POA6011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,4,3,0,0,14,0,0,5,21,15,17,9,3,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,5,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,3,4,5,11,11,5,0,43,0,6,13,4,3,11,8,0,0,37,5,4,11,24,18,14,12,0,3,89,0,0,0,3,4,0,4,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,3,5,0,0,0,0,8,0,0,0,5,0,0,0,0,0,5,0,10,9,18,15,10,5,4,0,81
