POA_CODE_2021,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
POA6000,14,231,1429,968,455,279,52,6,0,3441,31,216,396,146,74,78,48,9,0,1000,5,13,65,34,15,19,6,0,0,147,3,13,48,17,8,8,0,0,0,94,44,472,1932,1165,555,383,108,14,0,4684,5,14,57,37,27,32,11,0,0,187,13,23,28,10,4,5,0,0,0,84,12,41,88,46,30,38,12,0,0,274,61,517,2016,1214,590,420,118,13,0,4958,63,198,192,104,89,125,201,108,26,1098,21,125,347,176,113,100,37,25,11,968,144,843,2554,1500,791,646,362,145,38,7020,18,182,1115,487,240,154,32,0,0,2235,59,259,467,240,125,96,40,5,0,1293,7,20,58,48,11,12,0,0,0,148,3,14,30,13,5,4,0,0,0,69,89,480,1665,783,378,265,75,4,0,3746,0,14,31,16,23,12,0,0,0,94,17,29,34,20,15,5,0,0,0,111,17,41,68,33,36,17,0,0,0,208
POA6003,0,52,404,239,121,65,17,0,0,905,7,53,93,55,24,27,20,4,0,299,0,0,16,11,13,5,0,0,0,52,0,0,5,7,0,0,0,0,0,16,12,107,523,307,163,97,36,5,0,1262,0,4,11,10,3,10,0,0,0,37,5,0,9,3,0,0,0,0,0,18,4,7,22,5,3,6,0,0,0,55,14,115,546,316,167,111,37,5,0,1315,7,20,47,34,16,38,54,40,8,261,0,20,103,34,25,17,10,3,0,213,29,152,700,377,211,159,101,46,8,1789,4,54,323,120,66,51,4,0,0,625,14,68,158,72,30,29,12,0,0,390,0,8,13,15,0,0,0,0,0,45,0,4,11,0,4,0,0,0,0,14,24,133,502,208,100,84,20,0,0,1078,5,4,3,3,3,3,0,0,0,25,5,3,11,5,0,3,0,0,0,28,4,8,17,6,9,9,0,0,0,53
POA6004,12,172,1084,790,427,375,102,12,0,2973,34,121,258,119,66,74,67,25,0,771,3,8,38,33,22,11,3,0,0,121,0,6,19,17,3,5,3,0,0,55,48,314,1401,963,518,466,175,37,3,3928,3,18,49,32,15,29,3,0,0,146,5,19,11,9,9,11,5,0,0,71,8,35,60,38,18,42,13,0,0,217,55,344,1459,1000,543,505,187,39,3,4139,48,87,115,61,78,112,288,130,38,956,11,32,157,133,102,66,54,26,3,579,114,467,1723,1202,722,687,528,196,42,5680,5,160,833,398,280,204,34,0,0,1910,54,193,406,195,121,120,52,14,0,1158,0,12,47,26,10,24,7,0,0,130,0,4,26,3,6,3,0,0,0,44,62,368,1317,628,416,350,94,14,0,3243,0,14,38,27,19,6,0,0,0,100,4,8,32,17,8,4,0,0,0,79,7,22,66,46,22,8,0,0,0,181
POA6005,0,82,670,423,196,146,39,3,0,1565,11,49,135,76,32,38,31,3,0,372,0,6,11,10,9,14,3,0,0,49,0,6,11,10,0,4,0,0,0,34,13,140,828,522,234,195,75,8,0,2021,0,8,18,20,15,8,5,3,0,80,0,5,11,5,3,0,8,0,0,27,0,9,26,28,16,8,4,4,0,108,17,150,862,548,252,204,83,9,0,2127,15,34,55,44,48,66,129,124,45,554,0,13,74,56,24,24,11,10,6,213,39,199,988,645,319,293,217,142,46,2890,6,101,533,284,137,85,20,0,0,1161,31,113,215,95,65,68,25,8,0,612,0,6,34,22,3,3,0,0,0,73,0,5,7,6,3,6,0,0,0,30,39,221,785,411,205,163,40,7,0,1883,0,4,13,11,10,0,3,0,0,42,0,7,13,7,6,5,4,0,0,46,0,17,24,21,14,10,4,0,0,84
POA6006,12,80,571,594,428,326,55,4,0,2065,77,108,140,86,63,81,72,9,0,644,6,3,27,16,19,9,0,0,0,82,0,4,9,4,0,0,4,4,0,29,99,197,745,706,508,420,132,22,0,2822,0,14,19,20,10,20,5,0,0,84,16,9,4,7,0,8,0,0,0,47,18,18,24,29,16,24,6,0,0,135,117,213,767,730,525,444,136,18,0,2953,79,48,37,37,79,116,210,154,68,832,0,10,59,37,17,22,30,19,8,202,202,265,864,806,624,585,376,188,81,3992,0,109,482,350,305,178,28,0,0,1450,85,164,221,251,219,154,65,9,0,1174,0,13,48,44,10,13,0,0,0,130,0,6,6,3,3,4,0,0,0,20,92,290,762,650,533,350,90,9,0,2772,0,9,15,5,9,9,0,0,0,42,8,8,15,7,10,16,0,0,0,64,8,10,27,15,21,23,0,0,0,109
POA6007,7,78,582,527,354,216,65,4,0,1836,53,76,124,71,42,56,48,7,0,475,4,8,17,15,6,11,10,0,0,75,0,3,8,3,7,4,0,0,0,26,60,163,731,611,410,291,123,10,0,2403,0,4,16,10,10,7,0,0,0,52,12,11,6,0,6,0,0,0,0,38,11,10,28,19,18,7,3,0,0,86,72,177,759,630,428,296,125,10,0,2491,65,21,48,23,41,73,175,87,49,585,8,13,69,26,22,19,17,20,16,210,142,205,874,674,492,390,314,123,66,3288,7,96,539,286,257,150,23,0,0,1360,67,112,238,204,158,123,63,6,0,963,5,8,43,27,11,14,7,0,0,117,0,9,14,7,3,0,3,0,0,38,82,220,832,529,429,282,95,11,0,2482,4,8,5,6,5,8,0,0,0,41,6,7,9,3,4,6,5,0,0,38,13,9,14,17,12,10,0,0,0,87
POA6008,9,139,814,802,683,468,147,13,0,3075,147,155,148,120,113,166,154,40,0,1043,9,12,31,23,8,23,8,0,0,110,4,4,6,8,8,10,0,0,0,37,170,306,995,950,812,659,317,57,5,4266,6,13,15,18,26,29,3,0,0,105,19,9,22,3,5,6,4,0,0,74,19,22,39,16,35,30,9,0,0,181,193,328,1031,969,845,691,322,60,5,4446,201,74,76,53,64,177,512,339,82,1580,8,20,65,58,52,47,68,45,27,402,401,421,1169,1079,970,919,910,451,111,6426,10,136,741,465,470,305,82,7,0,2208,156,259,289,385,346,316,165,27,0,1948,7,10,49,41,16,30,11,0,0,170,0,5,12,3,9,6,0,4,0,41,172,412,1093,897,845,649,264,37,4,4367,0,6,14,21,17,23,0,0,0,77,20,18,16,21,7,13,6,0,0,101,20,21,28,47,24,32,6,0,0,177
POA6009,15,165,514,658,814,574,228,28,3,2998,295,446,196,119,101,149,191,83,8,1581,21,23,16,11,12,16,11,5,0,117,3,4,10,15,9,4,9,6,0,52,337,641,728,801,935,738,438,119,9,4743,5,23,31,19,19,11,3,0,0,109,79,54,17,6,6,4,5,0,0,170,81,77,48,21,28,15,13,0,0,283,416,718,777,817,959,752,449,119,9,5023,438,365,234,76,72,151,457,453,185,2430,27,35,39,48,26,23,42,17,7,266,880,1118,1051,944,1062,925,940,594,202,7721,15,119,371,340,451,293,67,14,0,1664,359,546,257,384,404,324,182,32,5,2491,22,43,38,31,21,20,13,0,0,188,7,9,5,6,10,4,0,0,3,46,396,718,676,763,882,639,267,51,4,4398,6,9,18,16,19,10,0,0,0,70,71,47,14,25,12,13,0,0,0,185,72,45,27,37,35,24,3,0,0,252
POA6010,23,140,630,704,881,582,192,28,0,3186,254,246,133,84,118,163,204,72,9,1288,19,14,38,20,21,13,14,0,0,141,6,7,9,3,3,3,0,0,0,27,300,409,811,812,1023,768,409,108,8,4647,6,10,24,15,30,23,9,0,0,118,42,19,11,6,9,10,6,0,0,93,45,34,31,17,33,27,11,3,0,208,345,433,843,831,1063,799,423,109,8,4856,432,96,61,60,98,199,469,545,221,2179,20,25,84,43,48,36,53,36,37,372,801,553,990,928,1200,1038,947,689,266,7403,7,145,452,374,534,350,72,3,0,1934,245,264,232,400,502,359,184,49,0,2232,14,15,65,37,17,37,14,5,0,206,0,9,8,5,11,0,3,6,0,48,267,429,762,819,1061,743,276,61,0,4426,0,7,14,12,24,3,5,0,0,66,35,17,14,17,19,23,5,0,0,129,37,18,29,29,48,28,0,0,0,191
POA6011,12,62,326,322,449,388,110,19,0,1683,118,137,65,47,69,102,145,35,4,725,9,8,12,16,8,18,11,4,0,83,0,0,12,4,7,4,3,3,0,29,136,210,409,393,529,510,270,61,0,2523,0,0,12,7,9,12,3,0,0,44,20,14,4,0,3,5,0,0,0,54,27,14,12,3,14,17,7,0,0,94,163,222,426,396,542,524,278,61,0,2613,165,34,36,26,40,88,238,253,87,965,5,8,33,37,11,33,19,17,17,186,334,270,490,451,595,644,533,332,108,3766,0,71,267,164,243,148,36,0,0,939,153,142,112,160,239,223,107,25,0,1159,9,7,26,21,11,17,8,0,0,107,5,9,9,0,8,5,3,4,0,36,166,231,416,347,505,394,155,27,5,2242,0,0,4,3,3,3,0,0,0,21,30,4,11,5,10,8,4,0,0,70,30,8,15,12,14,11,7,0,0,88
