POA_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
POA6000,9,4,0,3,0,0,0,0,12,0,9,4,0,0,0,0,0,10,0,18,18,38,23,24,10,0,140,9,34,25,43,23,24,10,0,169,820,2162,1293,635,530,301,113,21,5871,156,355,177,113,93,40,24,11,980,980,2554,1500,791,646,362,145,38,7020,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,6,0,0,0,11,0,6,4,3,6,0,0,0,15,833,2018,999,506,429,286,99,39,5200,143,214,95,63,39,31,21,12,616,974,2238,1096,573,470,314,122,47,5836,3,8,0,3,0,0,0,0,21,0,6,6,0,0,0,0,0,12,0,17,18,45,32,21,10,0,150,10,40,23,45,32,21,10,0,188,1650,4179,2294,1139,952,586,208,62,11073,297,576,276,181,134,67,52,20,1597,1956,4789,2596,1363,1116,682,272,83,12861
POA6003,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,10,8,10,5,0,3,37,0,6,10,8,10,5,0,3,46,164,580,341,175,136,89,46,6,1542,19,105,31,25,14,3,3,0,201,184,700,377,211,159,101,46,8,1789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,7,205,575,252,138,127,95,31,9,1435,25,62,15,10,5,9,3,0,133,235,636,269,150,136,103,35,8,1582,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,5,11,11,9,5,0,3,44,0,9,12,11,9,5,0,3,53,370,1161,599,316,263,187,69,14,2978,49,164,42,37,24,13,8,0,339,420,1337,647,361,298,200,80,22,3372
POA6004,0,6,7,4,0,0,0,0,9,0,5,5,3,0,0,0,0,6,0,22,15,22,41,38,19,4,161,0,26,19,26,39,38,19,4,180,532,1544,1042,597,585,443,155,33,4931,50,159,134,99,60,46,26,4,564,580,1723,1202,722,687,528,196,42,5680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,6,11,0,0,0,23,0,4,3,6,12,0,0,0,24,612,1609,826,549,546,408,142,47,4735,46,108,77,47,51,24,13,4,366,651,1721,909,600,604,435,156,55,5131,0,3,7,4,0,0,0,0,10,0,5,4,3,0,0,0,0,6,0,21,17,29,46,40,21,9,185,0,31,29,31,49,40,21,9,205,1138,3151,1871,1146,1130,854,290,86,9667,94,265,212,146,109,71,35,5,936,1232,3449,2106,1319,1292,964,352,98,10809
POA6005,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,3,3,8,13,15,18,20,13,15,104,3,15,16,13,19,20,13,15,112,214,891,568,282,254,185,112,31,2547,13,76,59,20,18,17,9,7,228,238,988,645,319,293,217,142,46,2890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,8,0,0,0,0,22,5,3,0,8,0,0,0,0,19,316,888,497,254,251,177,109,60,2550,24,44,29,20,15,11,10,4,158,341,936,525,277,271,194,123,65,2736,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,9,6,12,13,18,22,22,21,15,127,5,20,16,19,19,22,21,15,141,531,1781,1067,533,504,361,226,89,5097,40,125,85,39,36,26,24,8,386,581,1927,1171,599,562,415,263,108,5618
POA6006,4,0,0,5,0,0,0,0,9,5,3,0,0,5,0,0,0,15,0,12,14,19,17,25,33,3,115,5,19,18,18,23,25,33,3,141,452,789,752,582,537,322,144,63,3645,15,54,39,17,22,31,11,10,201,472,864,806,624,585,376,188,81,3992,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,15,0,3,0,4,0,4,0,0,21,504,834,739,621,560,346,185,145,3932,23,30,32,12,13,34,19,21,186,523,867,773,634,578,378,213,170,4141,0,3,0,5,0,0,0,0,9,5,8,0,0,5,0,0,0,18,0,12,16,23,20,24,32,8,132,7,18,22,28,20,24,32,8,160,963,1624,1486,1203,1097,664,332,212,7580,29,84,73,30,42,61,31,32,390,996,1734,1578,1258,1163,755,405,250,8130
POA6007,0,5,3,0,0,0,0,0,7,0,5,5,0,0,0,0,0,6,0,8,11,17,19,20,15,5,109,3,17,17,19,19,20,15,5,120,326,789,629,451,346,276,86,46,2951,22,72,26,22,22,18,22,15,213,355,874,674,492,390,314,123,66,3288,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,8,0,4,4,0,0,0,0,0,14,0,8,4,0,9,0,0,0,20,413,896,612,497,387,349,170,130,3453,31,68,22,24,20,25,18,34,240,438,976,641,523,417,373,191,164,3712,0,4,3,0,0,0,0,0,12,0,7,5,0,5,0,0,0,19,3,12,16,20,19,22,15,13,121,4,25,23,22,25,22,15,13,147,741,1683,1241,948,739,623,258,172,6407,48,142,48,43,36,41,36,49,455,792,1851,1312,1014,800,684,308,234,7000
POA6008,0,8,9,9,0,0,0,0,30,5,0,6,5,4,0,0,0,17,4,16,16,36,44,83,57,20,280,9,29,27,47,55,83,57,20,321,779,1073,1001,870,817,751,348,63,5701,32,70,57,53,49,71,46,29,397,822,1169,1079,970,919,910,451,111,6426,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,5,8,6,6,4,5,0,38,3,12,8,10,6,4,5,0,50,820,1233,1143,1011,960,862,471,171,6677,35,66,61,41,32,45,36,44,358,861,1311,1214,1060,995,905,521,213,7084,3,15,9,9,0,0,0,0,32,3,5,6,5,4,0,0,0,23,4,23,24,43,49,88,57,26,316,11,39,33,57,62,88,57,26,373,1603,2305,2143,1878,1778,1612,821,239,12380,68,138,118,95,81,109,86,72,761,1683,2479,2293,2027,1915,1812,969,327,13507
POA6009,0,0,0,0,0,0,0,0,5,3,5,0,5,3,0,0,0,21,0,7,10,31,32,89,68,45,275,5,15,15,33,28,89,68,45,295,1918,997,876,997,874,812,506,143,7127,71,40,55,24,21,39,21,19,294,1998,1051,944,1062,925,940,594,202,7721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,6,10,9,0,5,3,31,4,4,6,11,9,0,5,3,36,1900,916,1046,1129,995,990,588,265,7837,81,39,31,29,28,32,36,21,293,1988,960,1087,1160,1027,1024,628,284,8167,4,0,0,0,0,0,0,0,3,3,6,0,8,3,0,0,0,21,3,9,22,39,38,84,72,47,309,7,16,22,48,39,84,72,47,335,3823,1910,1929,2128,1871,1804,1095,412,14966,157,78,83,50,49,71,56,34,591,3983,2009,2034,2221,1959,1962,1225,493,15885
POA6010,4,94,59,16,6,0,0,0,179,6,3,3,8,4,0,0,0,24,3,8,16,49,35,88,109,65,377,18,105,73,77,52,88,109,65,586,1289,800,810,1078,945,809,536,166,6431,53,79,41,50,44,50,44,41,391,1353,990,928,1200,1038,947,689,266,7403,5,3,3,6,0,0,0,0,15,0,11,3,3,0,0,0,0,14,0,11,5,7,16,9,10,8,57,8,19,12,16,16,9,10,8,85,1130,893,1023,1318,1168,1044,762,398,7737,55,56,36,40,40,41,52,65,396,1190,964,1070,1379,1217,1099,824,468,8214,3,96,64,23,6,0,0,0,195,8,14,3,11,4,0,0,0,36,4,16,17,63,53,92,115,72,436,17,127,88,91,58,92,115,72,672,2419,1685,1834,2392,2112,1854,1302,561,14160,107,137,75,92,76,91,97,106,783,2544,1950,1995,2577,2255,2046,1514,742,15616
POA6011,0,13,0,0,0,0,0,0,14,0,5,0,0,0,0,0,0,9,0,9,17,28,12,32,46,29,170,0,21,19,25,17,32,46,29,190,585,433,399,553,596,487,264,66,3383,24,37,40,11,33,16,22,18,191,606,490,451,595,644,533,332,108,3766,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,7,0,5,5,14,3,4,0,5,7,0,5,5,19,680,485,468,666,625,548,304,114,3889,22,25,19,13,20,18,35,30,193,705,516,490,686,656,566,335,143,4097,0,12,0,0,0,0,0,0,14,3,4,0,0,0,0,0,0,11,0,9,15,24,17,32,47,32,182,3,21,22,28,23,32,47,32,212,1268,916,863,1220,1223,1034,565,181,7268,45,61,61,28,53,38,53,43,377,1311,1008,947,1281,1297,1099,669,254,7864
