POA_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
POA6000,0,0,0,0,138,144,18,0,0,0,823,843,429,35,27,0,2058,2554,539,69,97,3,798,1500,276,75,127,3,309,791,259,46,159,6,173,646,181,25,74,15,66,362,74,5,29,12,28,145,10,0,7,11,11,38,1787,252,524,52,4412,7020,0,0,0,0,169,174,32,6,4,0,762,803,508,39,68,0,1630,2238,461,38,100,4,493,1096,234,47,113,8,177,573,218,27,117,20,82,470,154,20,73,42,31,314,45,0,17,48,9,122,6,0,5,32,4,47,1662,171,488,147,3362,5836,5,0,0,0,313,315,48,6,4,0,1587,1643,934,72,92,0,3688,4789,998,105,193,3,1293,2596,515,118,238,11,489,1363,483,72,278,30,257,1116,336,44,146,53,100,682,119,5,51,57,35,272,18,0,8,40,13,83,3449,427,1012,202,7771,12861
POA6003,0,0,0,0,29,29,0,0,0,0,153,152,106,9,13,0,569,700,126,21,39,0,203,377,76,15,35,0,81,211,70,5,39,0,51,159,36,9,24,0,30,101,20,0,11,0,14,46,4,0,0,0,0,8,434,64,155,9,1126,1789,0,0,0,0,40,40,9,0,4,0,183,198,133,9,22,0,473,636,110,10,30,0,120,269,71,12,27,5,40,150,52,12,39,4,29,136,39,5,31,19,12,103,8,0,0,21,5,35,0,0,0,12,0,8,421,52,151,53,905,1582,0,0,0,0,67,67,13,0,0,0,336,357,237,18,29,0,1044,1337,232,27,64,0,320,647,143,29,67,3,124,361,119,22,72,7,81,298,71,12,55,19,45,200,33,0,13,21,15,80,5,0,0,13,0,22,858,112,310,64,2027,3372
POA6004,0,0,0,0,114,114,11,0,0,0,455,467,402,19,27,0,1287,1723,520,55,85,0,541,1202,306,67,112,0,230,722,347,53,134,7,139,687,301,30,121,15,69,528,117,10,41,13,19,196,16,0,3,13,8,42,2019,224,525,46,2861,5680,0,0,0,0,129,129,26,4,3,0,489,520,541,20,48,0,1116,1721,458,40,80,4,324,909,284,22,146,5,129,600,325,38,141,27,76,604,234,19,103,60,18,435,81,0,16,44,7,156,5,3,0,42,5,55,1961,151,547,179,2298,5131,0,0,0,0,241,241,37,4,4,0,949,988,936,37,75,0,2395,3449,977,93,159,7,873,2106,595,88,267,7,363,1319,675,96,282,37,208,1292,532,47,229,71,90,964,199,10,57,55,30,352,28,4,4,51,15,98,3982,372,1069,224,5154,10809
POA6005,0,0,0,0,39,39,5,0,0,0,187,199,182,14,14,0,782,988,219,25,56,0,344,645,94,39,53,3,128,319,117,24,62,3,79,293,93,18,55,0,50,217,59,7,34,15,22,142,23,0,10,13,6,46,798,124,281,43,1646,2890,0,0,0,0,63,63,12,0,0,0,266,277,224,11,24,0,685,936,206,17,49,0,243,525,88,28,60,3,97,277,117,11,74,15,53,271,87,14,51,22,17,194,31,7,20,50,8,123,7,0,7,43,4,65,775,87,285,133,1445,2736,0,0,0,0,104,104,18,0,0,0,458,471,406,21,39,0,1465,1927,428,45,105,0,592,1171,187,65,113,3,226,599,236,39,135,16,136,562,180,29,105,27,68,415,96,15,59,70,36,263,31,0,16,59,9,108,1574,218,567,171,3088,5618
POA6006,0,0,0,0,202,202,0,0,0,0,270,265,140,8,14,0,702,864,425,22,40,3,305,806,375,33,56,3,160,624,324,18,95,4,145,585,213,17,76,10,58,376,115,4,26,20,26,188,42,0,5,26,9,81,1629,105,313,76,1872,3992,0,0,0,0,176,176,3,0,0,0,345,352,199,14,11,0,641,867,453,25,48,3,247,773,383,23,89,6,128,634,314,27,110,31,107,578,191,13,83,52,45,378,77,0,35,85,7,213,20,0,6,130,10,170,1636,110,372,315,1708,4141,0,0,0,0,378,378,0,0,0,0,612,619,338,20,23,0,1346,1734,880,48,92,10,550,1578,751,58,145,11,288,1258,633,44,201,33,246,1163,403,29,155,64,102,755,191,10,60,113,38,405,64,0,6,160,15,250,3264,212,683,387,3577,8130
POA6007,0,0,0,0,142,142,4,0,0,0,201,205,174,4,8,0,690,874,327,23,40,0,286,674,266,32,71,3,122,492,209,15,65,6,96,390,186,6,56,10,54,314,84,7,21,12,14,123,36,0,7,20,0,66,1281,89,260,51,1608,3288,0,0,0,0,157,157,6,0,0,0,273,288,231,14,22,0,704,976,329,22,47,6,227,641,259,26,78,14,149,523,206,23,91,19,70,417,171,11,101,45,43,373,59,3,39,67,18,191,23,0,5,135,5,164,1288,100,390,281,1651,3712,0,0,0,0,295,295,15,0,0,0,477,494,413,15,29,0,1394,1851,658,49,88,5,515,1312,527,57,144,15,269,1014,415,36,157,27,166,800,351,20,154,59,102,684,141,10,61,78,28,308,56,4,12,152,9,234,2572,189,650,329,3257,7000
POA6008,0,0,0,0,401,401,8,0,0,0,414,421,236,6,8,0,916,1169,665,37,47,0,331,1079,626,47,97,8,195,970,540,36,156,10,178,919,542,41,178,23,122,910,282,15,76,45,35,451,71,3,7,17,5,111,2973,182,573,103,2595,6426,0,0,0,0,349,349,5,0,0,0,506,515,334,15,25,0,935,1311,766,41,74,3,326,1214,639,41,167,11,199,1060,532,44,220,38,163,995,483,27,203,92,101,905,198,16,92,152,58,521,32,0,22,111,45,213,2994,189,801,413,2682,7084,0,0,0,0,750,750,16,0,0,0,915,929,572,21,35,0,1848,2479,1428,76,118,9,661,2293,1265,92,261,17,395,2027,1072,82,380,47,337,1915,1024,70,378,117,221,1812,480,27,169,194,96,969,110,4,37,129,53,327,5970,371,1375,512,5276,13507
POA6009,0,0,0,0,879,880,5,0,0,0,1109,1118,210,0,3,0,831,1051,686,17,29,0,214,944,846,29,62,0,121,1062,734,29,70,10,80,925,774,17,81,20,48,940,498,10,38,31,23,594,148,5,7,44,0,202,3899,104,289,111,3323,7721,3,0,0,0,909,910,13,0,0,0,1061,1072,277,14,15,0,655,960,836,28,54,5,167,1087,909,38,99,11,107,1160,774,22,129,23,78,1027,723,22,130,86,61,1024,361,11,64,154,34,628,63,0,27,186,15,284,3958,132,523,468,3088,8167,5,0,0,0,1785,1791,15,0,0,0,2179,2192,489,13,18,0,1488,2009,1522,39,83,4,381,2034,1753,67,159,13,230,2221,1509,47,196,41,159,1959,1501,36,211,107,106,1962,859,21,105,182,60,1225,207,4,35,226,15,493,7859,228,813,580,6407,15885
POA6010,0,0,0,0,798,801,0,0,0,0,551,553,209,10,9,0,754,990,630,18,39,5,232,928,906,44,95,6,152,1200,758,47,106,6,120,1038,685,25,123,23,89,947,500,12,80,61,36,689,153,9,10,84,7,266,3849,172,450,191,2740,7403,0,0,0,0,630,630,10,0,0,0,555,561,283,10,21,0,653,964,777,39,63,4,188,1070,962,81,163,20,157,1379,776,46,243,45,114,1217,653,29,241,117,62,1099,379,19,142,245,45,824,87,0,61,299,19,468,3916,216,926,728,2430,8214,0,0,0,0,1428,1429,8,0,0,0,1106,1116,487,22,30,0,1411,1950,1405,63,98,5,425,1995,1866,120,256,24,311,2577,1530,92,349,46,238,2255,1343,53,360,143,150,2046,876,31,215,307,78,1514,246,8,68,388,29,742,7764,387,1382,922,5170,15616
POA6011,0,0,0,0,334,334,0,0,0,0,270,270,72,0,6,0,416,490,253,14,30,0,158,451,424,22,56,0,86,595,483,10,77,3,67,644,411,17,62,13,31,533,253,4,30,27,12,332,73,3,9,25,0,108,1970,67,257,83,1380,3766,0,0,0,0,433,433,0,0,0,0,274,280,118,4,12,0,386,516,316,18,30,0,129,490,489,25,77,7,82,686,478,14,89,17,58,656,380,16,85,57,32,566,207,3,34,84,8,335,38,3,16,86,7,143,2019,77,339,249,1404,4097,0,0,0,0,769,769,0,0,0,0,546,544,186,7,12,0,799,1008,574,27,56,0,287,947,918,53,132,15,172,1281,961,26,169,20,126,1297,794,24,150,77,62,1099,457,8,59,110,25,669,106,7,27,110,9,254,3992,150,596,336,2791,7864
