POA_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA6000,19,141,264,110,48,38,38,14,6,670,17,134,399,126,70,76,39,11,0,872,9,144,516,211,87,71,38,12,0,1088,9,93,431,176,99,59,28,13,0,909,3,57,427,200,77,78,37,4,0,889,0,27,325,190,90,56,21,0,0,713,0,43,591,467,213,131,43,7,0,1497,0,6,142,127,62,44,17,0,0,395,0,3,161,249,153,113,31,9,4,724,45,265,582,295,188,146,73,51,21,1677,315,1643,4789,2596,1363,1116,682,272,83,12861
POA6003,3,28,81,32,11,13,19,4,0,197,0,42,100,47,28,18,14,8,0,261,0,47,179,64,22,19,14,6,0,357,0,15,144,62,16,27,9,3,0,277,0,19,116,57,16,21,10,0,0,235,0,6,91,43,26,28,9,0,0,193,0,11,151,112,65,27,5,3,0,374,0,0,32,22,18,14,0,0,0,95,0,0,27,56,47,18,0,0,0,157,6,48,173,48,34,26,10,10,0,363,67,357,1337,647,361,298,200,80,22,3372
POA6004,8,81,191,65,43,49,64,12,3,532,3,104,298,93,63,55,52,18,8,692,0,103,414,150,89,97,58,25,5,945,0,78,346,152,83,74,46,12,0,788,0,36,333,164,105,85,41,8,0,766,0,17,250,163,78,69,37,5,0,625,0,35,425,379,195,167,63,15,0,1279,0,0,124,120,77,52,26,8,0,400,0,3,111,206,176,185,58,11,4,759,19,70,287,212,156,115,85,39,10,1006,241,988,3449,2106,1319,1292,964,352,98,10809
POA6005,3,41,106,49,16,22,20,17,9,293,5,50,150,46,34,28,31,14,3,375,4,67,199,102,38,40,24,9,6,495,0,41,209,65,40,30,17,6,4,415,0,18,203,104,36,31,11,13,0,414,0,14,180,94,45,29,11,6,3,382,0,14,312,218,94,67,25,7,3,747,0,0,67,79,39,26,3,7,0,227,0,10,61,140,90,70,23,17,9,416,10,39,136,92,43,38,35,22,8,419,104,471,1927,1171,599,562,415,263,108,5618
POA6006,4,66,99,49,55,54,70,20,18,435,5,67,120,85,75,69,43,26,8,500,4,55,186,122,84,74,53,20,6,599,0,52,199,104,65,61,34,7,0,519,0,15,199,116,98,90,31,10,4,574,0,9,141,123,98,72,20,0,0,465,0,18,286,301,251,190,33,6,0,1077,0,4,63,117,64,55,11,0,3,315,0,0,71,268,189,106,30,4,0,672,5,25,101,77,39,50,58,30,16,385,378,619,1734,1578,1258,1163,755,405,250,8130
POA6007,6,49,95,43,33,34,67,20,10,364,9,52,115,54,43,41,57,21,23,411,3,50,176,97,57,53,35,16,3,490,0,36,176,77,71,61,41,9,0,464,0,19,215,96,64,63,35,10,0,508,0,12,179,95,81,48,15,4,0,429,0,11,328,292,175,121,39,6,8,981,0,0,85,101,67,40,11,0,0,311,0,0,80,248,222,126,28,5,0,713,19,36,142,55,47,47,48,43,64,497,295,494,1851,1312,1014,800,684,308,234,7000
POA6008,5,88,116,98,80,65,116,58,18,653,6,66,127,103,97,99,161,67,16,738,0,77,233,114,106,114,125,82,13,860,0,75,235,125,106,117,111,41,7,814,0,43,303,160,132,153,102,51,4,954,0,19,221,136,107,123,71,25,0,699,0,18,480,408,341,276,137,33,7,1689,0,0,109,150,126,97,52,9,0,543,0,0,139,483,488,319,119,45,6,1597,27,53,148,121,97,94,117,98,76,840,750,929,2479,2293,2027,1915,1812,969,327,13507
POA6009,30,125,111,70,59,69,111,80,40,699,18,113,141,84,82,86,158,108,35,822,4,94,169,120,113,119,148,116,34,920,3,69,159,113,90,110,117,67,29,741,0,39,191,107,114,102,118,65,21,746,0,28,133,133,134,109,105,41,13,691,0,15,209,276,266,226,193,98,26,1313,3,9,53,95,132,115,69,29,8,521,3,7,65,497,795,558,289,81,18,2322,71,98,88,104,74,56,88,67,73,722,1791,2192,2009,2034,2221,1959,1962,1225,493,15885
POA6010,19,80,89,64,73,98,148,148,48,767,8,73,107,75,101,115,176,136,54,851,5,105,144,97,135,144,140,131,44,949,0,53,184,115,124,138,131,78,38,861,10,53,242,139,162,134,111,59,22,926,0,18,155,129,137,115,85,57,24,715,3,18,348,340,388,302,151,91,37,1682,0,4,76,138,166,116,61,23,14,599,0,4,109,483,755,488,219,73,26,2153,54,60,148,80,116,104,118,124,127,937,1429,1116,1950,1995,2577,2255,2046,1514,742,15616
POA6011,3,39,53,27,21,34,53,42,19,298,5,23,48,25,45,41,62,40,17,311,0,53,72,34,55,69,88,49,21,425,0,31,91,33,63,80,75,29,10,419,0,26,111,64,65,67,64,39,7,453,0,11,126,51,60,65,48,32,4,394,0,11,168,153,164,130,115,54,10,809,0,5,46,71,75,85,54,23,6,362,0,3,76,288,511,435,216,79,14,1619,29,26,75,63,40,60,52,55,57,461,769,544,1008,947,1281,1297,1099,669,254,7864
