POA_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
POA6000,7462,6353,13812,207,235,446,231,278,506,144,174,315,843,803,1643,2554,2238,4789,1500,1096,2596,791,573,1363,646,470,1116,362,314,682,145,122,272,38,47,83,6839,5977,12819,627,370,999,63,72,139,0,0,0,4,4,4,69,76,151,3017,2328,5343,3467,3388,6857,4167,3185,7352,2293,2492,4781,4391,3527,7918,56,48,102,213,239,447,98,127,224,400,417,813,647,742,1386,4927,4363,9291,388,266,653,486,359,840,110,82,191,69,73,147,38,49,89,5633,5119,10755,2752,1828,4577
POA6003,1936,1714,3652,62,55,116,86,83,168,29,40,67,152,198,357,700,636,1337,377,269,647,211,150,361,159,136,298,101,103,200,46,35,80,8,8,22,1785,1624,3408,156,87,244,25,14,35,0,0,3,0,0,0,27,18,44,910,774,1686,818,798,1615,1224,1006,2233,501,571,1068,1324,1136,2460,15,13,34,79,74,152,27,25,55,55,90,149,174,210,386,1260,1198,2454,123,86,212,145,101,242,27,22,46,16,27,44,11,13,25,1601,1507,3114,321,199,524
POA6004,6139,5540,11681,241,205,443,220,209,429,114,129,241,467,520,988,1723,1721,3449,1202,909,2106,722,600,1319,687,604,1292,528,435,964,196,156,352,42,55,98,5694,5231,10925,440,307,753,65,51,120,0,0,5,0,0,0,69,53,123,2348,1853,4200,3207,3288,6494,3453,2767,6221,2071,2362,4433,3761,3154,6918,50,49,94,196,189,384,86,102,189,226,274,499,426,567,994,4138,3876,8018,334,265,603,442,418,861,83,64,144,43,53,92,31,30,53,5179,4934,10114,1508,892,2398
POA6005,3136,2964,6102,119,103,223,125,135,255,39,63,104,199,277,471,988,936,1927,645,525,1171,319,277,599,293,271,562,217,194,415,142,123,263,46,65,108,2897,2792,5695,232,170,404,27,18,44,0,0,5,0,0,6,29,22,53,1521,1327,2845,1393,1483,2877,2078,1822,3893,832,985,1811,2236,2030,4271,24,27,43,117,127,243,27,42,68,81,124,208,258,298,554,2205,2152,4357,142,124,273,224,208,433,41,28,67,26,34,61,17,10,28,2605,2518,5119,574,504,1079
POA6006,4766,4859,9623,278,233,509,501,490,986,202,176,378,265,352,619,864,867,1734,806,773,1578,624,634,1258,585,578,1163,376,378,755,188,213,405,81,170,250,4497,4661,9155,276,198,470,32,39,73,5,0,5,0,0,0,36,38,76,3221,3211,6431,1351,1494,2850,3729,3722,7451,830,971,1796,4205,4301,8510,84,56,136,474,465,942,179,151,326,123,167,298,220,284,507,2892,3012,5904,233,226,457,433,405,835,93,83,177,95,157,251,23,54,77,4353,4497,8849,229,275,497
POA6007,3864,4232,8095,217,197,412,358,320,679,142,157,295,205,288,494,874,976,1851,674,641,1312,492,523,1014,390,417,800,314,373,684,123,191,308,66,164,234,3608,3998,7604,257,229,490,26,31,59,0,0,5,0,0,0,26,34,65,2392,2566,4955,1276,1457,2731,3111,3263,6370,550,750,1302,3245,3506,6747,68,48,108,349,311,660,120,123,242,97,150,250,215,286,501,2553,2825,5377,153,169,319,254,329,579,65,55,123,33,63,98,3,14,19,3461,3706,7165,243,404,649
POA6008,7725,8404,16131,389,390,787,903,925,1836,401,349,750,421,515,929,1169,1311,2479,1079,1214,2293,970,1060,2027,919,995,1915,910,905,1812,451,521,969,111,213,327,7326,8023,15350,397,380,775,58,55,112,4,4,7,0,4,3,62,64,123,4676,4996,9668,2656,3086,5743,6056,6456,12513,1237,1574,2812,6513,7016,13526,147,127,272,861,899,1752,362,314,681,218,287,507,328,509,838,5019,5592,10613,293,289,582,473,564,1043,137,127,267,62,85,146,15,8,27,7020,7758,14778,790,814,1606
POA6009,9296,9641,18936,322,386,709,1254,1091,2341,880,910,1791,1118,1072,2192,1051,960,2009,944,1087,2034,1062,1160,2221,925,1027,1959,940,1024,1962,594,628,1225,202,284,493,8892,9233,18125,403,404,812,57,86,148,4,0,3,0,0,4,63,90,154,5399,5565,10967,3588,3775,7358,6992,7090,14078,2002,2231,4228,7584,7897,15479,137,131,264,1212,1066,2277,814,839,1654,854,841,1693,546,583,1132,6512,6736,13249,292,310,602,388,546,941,170,155,325,42,66,110,8,12,19,8055,8309,16360,1696,1980,3679
POA6010,9166,9699,18863,450,374,828,1306,1108,2416,801,630,1429,553,561,1116,990,964,1950,928,1070,1995,1200,1379,2577,1038,1217,2255,947,1099,2046,689,824,1514,266,468,742,8604,9245,17850,551,459,1010,72,47,113,0,4,4,0,4,4,72,47,120,6014,6222,12238,2692,3030,5725,7683,7997,15685,1039,1271,2314,7998,8372,16368,160,142,301,1263,1062,2328,718,579,1298,339,338,682,302,431,731,5682,6238,11921,424,430,859,579,808,1387,201,212,411,72,69,144,6,9,15,8173,8877,17054,746,594,1340
POA6011,4507,4831,9346,222,177,402,521,559,1084,334,433,769,270,280,544,490,516,1008,451,490,947,595,686,1281,644,656,1297,533,566,1099,332,335,669,108,143,254,4136,4529,8662,371,308,681,7,45,50,0,0,0,0,0,0,7,43,52,3210,3385,6594,1093,1248,2344,4033,4256,8290,272,381,647,4026,4299,8325,62,70,135,499,538,1042,307,398,701,160,167,331,120,184,307,3000,3148,6150,185,237,423,240,357,596,91,124,216,29,25,58,0,5,8,4102,4373,8473,176,343,526
