POA_CODE_2021,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
POA6000,146,0,0,0,0,0,0,22,174,656,12,0,0,0,0,0,134,803,990,42,11,0,0,0,0,153,1196,795,100,41,9,0,0,0,92,1041,391,110,93,19,6,0,4,69,692,205,70,55,24,5,4,0,39,400,127,60,54,13,0,0,5,29,289,97,48,78,23,8,3,0,42,290,80,30,74,32,3,0,0,23,252,45,40,76,29,11,6,3,14,217,32,18,48,36,15,3,0,17,176,26,30,43,16,9,0,0,11,142,11,0,19,10,5,3,0,12,70,9,4,11,15,8,0,0,12,53,0,3,8,11,3,4,6,10,47,3608,572,603,239,79,28,19,693,5836
POA6003,39,0,0,0,0,0,0,0,40,159,3,0,0,0,0,0,35,198,265,8,3,0,0,0,0,36,313,251,29,12,0,0,0,0,40,329,100,30,26,3,0,6,0,12,170,54,21,14,4,4,0,0,10,96,33,16,14,9,0,0,0,4,83,21,11,28,6,0,0,0,7,69,23,8,24,5,0,0,0,4,59,28,16,20,14,4,0,0,0,81,20,11,17,11,0,0,0,6,60,8,3,16,5,5,0,0,3,41,0,4,0,5,0,0,0,4,9,0,8,6,0,0,6,0,0,25,0,0,3,0,0,0,0,0,8,999,150,177,70,22,9,3,161,1582
POA6004,118,0,0,0,0,0,0,15,129,470,0,0,0,0,0,0,50,520,716,49,4,0,0,0,0,73,850,635,124,35,7,0,0,0,65,879,313,111,73,15,3,0,0,56,566,174,61,46,21,0,5,0,35,349,132,56,50,17,3,0,0,22,281,99,65,80,27,4,4,0,26,316,81,51,94,32,13,0,0,32,309,64,42,90,56,23,6,0,24,299,31,40,88,38,17,3,0,18,239,31,23,75,33,15,3,0,17,194,17,7,36,25,4,3,0,10,106,4,11,21,10,4,0,4,5,53,5,3,9,9,7,0,7,3,55,2884,644,709,290,109,23,20,455,5131
POA6005,54,0,0,0,0,0,0,5,63,249,0,0,0,0,0,0,29,277,421,13,3,0,0,0,0,27,464,354,66,17,4,0,0,0,33,473,202,64,39,7,0,0,0,16,336,88,38,36,9,4,0,0,21,194,66,19,27,10,0,0,0,12,136,61,26,32,13,0,0,0,12,143,49,33,36,17,6,0,0,11,151,30,18,42,10,7,0,0,9,119,25,17,30,13,7,0,0,11,106,12,9,38,5,8,3,0,3,87,12,0,26,20,5,5,0,3,75,10,4,13,8,9,0,0,0,50,3,4,17,22,6,4,0,4,65,1646,319,355,139,54,20,9,201,2736
POA6006,155,0,0,0,0,0,0,17,176,310,4,0,0,0,0,0,41,352,389,13,3,0,0,0,0,19,432,279,80,45,7,0,0,0,25,437,159,101,108,19,6,0,0,20,417,98,58,153,34,5,0,0,18,361,78,65,135,44,6,0,0,9,328,78,45,107,60,15,5,0,0,303,85,58,113,52,8,0,0,16,324,80,43,82,28,12,5,0,5,256,46,31,69,38,6,3,0,19,214,24,26,55,39,12,0,3,10,166,4,9,24,32,13,4,0,4,98,7,12,25,32,17,0,9,5,111,10,9,56,49,18,4,9,15,170,1810,559,967,429,115,22,21,219,4141
POA6007,142,0,0,0,0,0,0,13,157,257,0,0,0,0,0,0,35,288,420,17,0,0,0,0,0,44,480,345,72,33,6,0,0,0,35,488,169,77,84,14,5,0,0,16,366,92,51,95,22,0,0,0,7,273,91,44,91,30,6,0,0,14,280,83,33,80,22,8,0,0,8,242,66,29,61,37,5,4,0,11,208,44,25,91,31,8,4,5,10,206,43,28,54,31,14,5,0,20,191,30,33,64,32,9,5,0,8,179,21,4,31,25,0,8,0,5,94,10,11,30,28,4,0,5,5,90,16,13,46,30,24,8,5,20,164,1822,444,766,309,86,35,11,247,3712
POA6008,314,0,0,0,0,0,0,34,349,471,0,0,0,0,0,0,34,515,580,19,3,0,0,0,0,53,657,420,110,72,7,0,0,0,40,651,193,145,191,46,9,0,0,29,611,126,110,234,74,16,0,0,38,602,98,101,211,89,20,0,0,23,544,110,83,205,86,9,0,0,22,511,142,77,186,70,17,4,5,14,513,118,57,181,96,13,4,0,21,487,104,73,178,93,29,3,5,21,499,74,50,147,81,26,4,4,27,407,41,20,102,71,27,0,3,23,291,41,15,61,47,21,10,3,32,228,47,14,38,45,23,10,5,35,213,2881,873,1809,814,199,38,28,441,7084
POA6009,850,0,0,0,0,0,0,58,910,1012,3,0,0,0,0,0,62,1072,460,29,3,0,0,0,0,27,524,267,79,52,16,3,0,0,21,439,109,91,192,91,10,5,0,24,510,74,73,263,128,20,0,0,19,575,57,66,283,134,33,3,0,14,582,63,69,238,157,31,6,4,11,580,50,61,226,108,32,7,3,9,498,62,56,217,134,37,10,0,13,533,83,39,188,126,28,6,3,17,486,51,52,215,137,36,16,9,19,536,50,25,150,106,31,14,0,18,394,21,11,77,66,34,8,8,11,237,32,21,62,72,44,23,19,16,284,3227,673,2174,1280,340,88,37,339,8167
POA6010,571,0,0,0,0,0,0,54,630,515,5,0,0,0,0,0,43,561,415,18,7,6,0,0,0,42,488,247,114,71,14,0,0,0,28,473,114,97,205,79,21,3,0,20,537,67,60,250,112,21,0,0,15,530,63,103,286,161,20,3,0,21,653,86,91,300,170,35,0,3,26,721,88,72,261,129,34,0,0,19,603,69,83,252,135,29,0,3,26,615,71,72,205,127,45,10,0,22,557,62,62,219,122,41,14,5,30,547,57,49,169,129,39,16,5,28,484,24,18,96,109,46,9,3,28,338,39,23,92,125,78,23,21,70,468,2498,870,2419,1433,407,84,39,471,8214
POA6011,413,0,0,0,0,0,0,21,433,260,0,0,0,0,0,0,20,280,245,5,3,0,0,0,0,23,275,148,36,38,11,0,0,0,13,241,71,49,70,33,10,0,0,15,241,49,28,86,62,10,0,0,5,245,37,35,111,81,25,0,0,4,292,44,40,149,105,35,5,3,12,394,51,41,129,80,30,7,5,11,345,44,39,116,77,19,4,0,16,310,41,33,114,69,28,10,5,13,303,26,20,115,69,15,7,0,11,263,17,13,74,65,16,4,3,18,208,8,6,38,36,17,0,8,18,127,7,0,35,36,21,8,8,29,143,1456,347,1064,721,224,45,25,212,4097
