POA_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA6000,..,209,341,70,18,10,8,3,0,655,..,93,355,210,132,129,101,44,20,1077,0,28,38,18,12,10,9,3,4,129,467,633,1842,937,471,409,282,96,36,5168,..,26,742,800,383,348,273,94,15,2687,..,248,1105,377,150,92,34,14,6,2011,..,4,25,62,72,53,14,4,4,247,856,..,..,..,..,..,..,..,..,856,..,145,..,..,..,..,..,..,..,145,..,59,63,24,8,7,0,0,0,162,..,66,82,22,9,22,17,8,6,221,..,31,84,25,8,0,0,0,0,155,..,410,744,154,56,39,23,6,4,1428,..,202,829,640,359,315,211,82,27,2664,5,56,89,45,32,17,12,6,7,264,861,1255,3765,2137,1073,893,585,208,62,10841
POA6003,..,70,117,18,6,5,0,0,0,210,..,24,107,59,24,54,44,16,9,332,0,4,6,5,0,4,0,0,0,32,123,198,552,247,135,128,93,30,6,1519,..,9,197,198,111,97,66,28,5,713,..,54,342,116,60,43,13,6,0,630,..,0,10,20,25,12,9,0,6,79,257,..,..,..,..,..,..,..,..,257,..,54,..,..,..,..,..,..,..,54,..,20,16,11,4,0,0,0,0,49,..,12,26,6,0,3,5,0,0,47,..,9,33,9,0,0,0,0,0,57,..,133,223,49,22,10,7,4,0,451,..,42,231,164,81,95,82,32,8,734,0,8,16,11,6,4,0,0,0,55,254,351,1089,583,308,266,185,76,16,3134
POA6004,..,144,269,57,4,18,3,0,0,499,..,103,290,174,113,131,111,45,25,992,6,17,18,14,14,9,10,3,0,92,376,590,1566,809,531,521,376,133,40,4945,..,24,776,796,479,543,440,174,21,3248,..,198,817,272,135,99,64,10,3,1597,..,0,13,59,93,55,21,11,0,254,774,..,..,..,..,..,..,..,..,774,..,177,..,..,..,..,..,..,..,177,..,83,77,27,18,3,0,0,0,207,..,82,74,19,5,17,25,0,4,224,..,44,64,18,4,3,3,0,0,138,..,285,565,144,27,40,20,4,0,1087,..,195,622,450,309,322,237,89,40,2260,16,29,43,28,13,21,14,3,0,169,793,1117,3045,1808,1088,1097,825,288,74,10135
POA6005,..,88,133,26,9,0,4,7,0,272,..,48,170,120,70,91,57,46,23,630,0,9,17,13,3,0,8,0,0,55,216,285,812,459,241,224,161,84,31,2527,..,18,342,341,135,169,141,69,13,1235,..,65,478,194,77,45,25,12,0,902,..,0,14,34,54,21,12,9,4,150,440,..,..,..,..,..,..,..,..,440,..,59,..,..,..,..,..,..,..,59,..,33,23,13,7,9,0,0,0,93,..,34,33,8,0,10,12,0,0,108,..,13,26,6,0,0,0,0,0,51,..,167,327,65,32,11,10,9,0,614,..,93,356,291,193,194,139,88,32,1385,4,17,31,22,13,5,10,5,0,113,442,499,1635,986,520,466,352,197,50,5142
POA6006,..,119,172,26,7,11,0,0,0,335,..,19,96,74,83,117,117,77,67,654,12,11,21,8,3,12,6,0,4,70,700,506,823,727,602,528,326,179,105,4487,..,3,309,807,701,569,352,170,47,2957,..,79,487,270,145,117,49,7,0,1144,..,0,18,64,94,44,18,18,21,279,1425,..,..,..,..,..,..,..,..,1425,..,374,..,..,..,..,..,..,..,374,..,163,91,24,27,33,4,0,0,348,..,46,47,13,8,10,20,14,9,170,..,23,53,13,3,3,0,0,0,95,..,229,368,74,18,25,10,7,0,735,..,33,188,182,174,221,196,122,79,1183,18,19,41,27,9,15,8,6,4,142,1445,963,1600,1462,1171,1041,651,338,161,8842
POA6007,..,67,158,12,9,5,8,0,4,267,..,30,124,98,94,91,114,71,35,657,4,7,23,11,3,10,9,0,0,66,498,378,873,597,486,376,318,133,61,3718,..,12,353,606,481,355,305,106,29,2245,..,87,547,236,117,105,33,8,0,1132,..,0,9,62,83,41,17,11,15,250,1050,..,..,..,..,..,..,..,..,1050,..,264,..,..,..,..,..,..,..,264,..,77,57,20,26,13,0,0,0,195,..,41,39,9,11,12,15,7,8,138,..,21,33,6,0,0,0,0,0,60,..,100,322,32,19,20,20,0,5,517,..,54,241,227,201,165,193,90,46,1209,10,23,41,21,14,16,16,4,0,140,1061,682,1638,1229,950,727,601,224,95,7201
POA6008,..,124,159,23,12,17,8,8,3,346,..,72,244,152,120,245,289,220,85,1431,10,19,23,11,13,11,13,3,0,113,1269,815,1201,1131,998,920,813,458,135,7742,..,14,504,1319,1164,973,889,407,78,5351,..,101,691,255,192,169,92,35,0,1539,..,3,20,109,180,114,41,29,6,512,2470,..,..,..,..,..,..,..,..,2470,..,807,..,..,..,..,..,..,..,807,..,213,143,46,31,13,0,0,0,444,..,59,50,17,7,14,32,19,17,216,..,20,31,11,8,0,0,0,0,73,..,211,296,38,23,24,28,12,3,636,..,119,468,311,247,417,488,336,109,2502,30,42,41,20,27,17,21,8,3,206,2500,1595,2255,2120,1879,1751,1601,849,221,14765
POA6009,..,255,166,14,0,16,11,6,0,475,..,56,83,44,58,96,193,173,133,841,7,51,18,14,6,13,10,4,0,117,1417,1238,838,1028,1117,960,938,556,211,8310,..,17,443,1393,1649,1354,1325,765,176,7109,..,99,290,150,127,121,64,20,3,886,..,0,16,91,133,106,41,25,17,421,2926,..,..,..,..,..,..,..,..,2926,..,1349,..,..,..,..,..,..,..,1349,..,248,280,60,38,13,9,0,0,653,..,90,46,14,14,17,26,27,16,253,..,62,55,12,5,0,0,0,0,131,..,495,413,47,10,32,17,13,0,1029,..,98,188,99,143,165,288,236,163,1372,15,83,43,26,17,19,16,3,3,229,2936,2557,1768,1894,2132,1825,1781,1090,377,16363
POA6010,..,98,104,7,20,13,14,11,0,264,..,54,107,72,79,182,292,330,223,1331,10,23,29,8,11,24,15,0,0,122,1407,1091,864,1012,1305,1121,1011,731,336,8881,..,8,430,1294,1714,1376,1183,781,200,6981,..,73,424,196,178,138,98,38,12,1153,..,3,16,99,251,159,57,22,23,637,2989,..,..,..,..,..,..,..,..,2989,..,1428,..,..,..,..,..,..,..,1428,..,342,264,57,35,19,13,0,0,729,..,73,33,0,7,21,24,28,24,210,..,29,38,4,3,4,4,0,0,86,..,189,222,26,26,26,21,16,3,531,..,86,205,144,161,290,432,443,278,2039,34,45,63,19,17,35,31,11,3,253,3021,2266,1695,1848,2396,2069,1853,1336,540,17033
POA6011,..,38,88,13,5,12,4,3,0,163,..,24,60,46,30,67,121,84,57,486,11,21,17,5,9,8,6,8,3,84,679,609,458,458,658,602,510,286,102,4364,..,0,157,511,875,855,682,384,87,3548,..,36,229,133,119,95,65,28,3,699,..,3,7,41,112,49,26,9,8,249,1372,..,..,..,..,..,..,..,..,1372,..,766,..,..,..,..,..,..,..,766,..,188,116,20,20,7,4,0,0,355,..,41,19,5,3,10,10,11,5,99,..,14,26,0,0,0,0,0,0,45,..,67,172,23,10,17,5,11,0,299,..,41,118,89,80,138,182,133,69,848,25,35,38,19,14,10,4,8,3,159,1399,1177,876,850,1228,1185,980,570,182,8446
