POA_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
POA6000,56,171,27,29,3,415,224,52,447,98,77,19,913,30,4,76,32,23,6,171,20,11,60,41,58,3,190,46,11,107,44,36,40,281,1285,316,3068,974,1065,224,6925
POA6003,21,60,9,12,0,144,55,15,114,29,29,7,244,5,0,26,5,8,0,42,10,0,10,18,24,0,61,16,5,27,8,19,14,80,323,98,810,273,337,42,1880
POA6004,29,159,40,28,3,398,181,38,368,85,78,24,774,17,7,44,26,12,4,105,16,6,39,31,62,4,162,55,0,102,28,27,26,247,1235,224,2591,816,881,185,5933
POA6005,37,95,26,11,0,248,141,32,247,48,37,20,525,8,3,26,14,7,0,67,12,0,27,7,36,0,85,21,7,56,10,16,7,119,715,200,1475,364,419,89,3260
POA6006,96,235,33,40,5,523,162,61,356,71,74,8,725,13,3,56,23,14,8,118,17,3,41,18,47,0,126,15,4,60,14,20,8,121,697,327,2148,518,698,94,4478
POA6007,72,149,28,15,6,399,212,58,414,67,44,15,815,11,4,38,9,11,0,69,15,0,34,30,39,7,122,32,4,64,23,25,8,151,882,269,1943,467,510,89,4157
POA6008,120,299,46,37,7,822,443,96,817,105,78,42,1579,28,3,65,14,17,3,138,29,5,54,24,35,3,150,64,8,117,28,22,27,263,1903,494,3451,650,689,176,7350
POA6009,65,336,44,44,22,960,556,119,887,94,42,32,1733,14,9,59,7,24,3,114,28,4,57,23,33,7,141,79,14,151,25,21,27,318,2091,451,3568,547,512,159,7325
POA6010,103,341,69,53,13,827,377,100,754,105,71,33,1441,27,10,62,20,17,7,138,24,6,72,28,43,3,170,67,6,107,29,32,14,248,1627,479,3659,748,694,170,7366
POA6011,40,169,22,14,7,358,213,46,448,42,28,24,801,11,5,32,0,4,4,50,11,0,32,10,17,5,74,41,5,76,12,13,21,174,826,199,2034,347,317,120,3842
