POA_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
POA6000,7,36,32,19,54,40,14,28,0,237,9,29,44,19,54,89,13,46,80,392,296,872,911,510,1773,1942,583,1375,160,8429
POA6003,5,11,14,0,14,11,4,3,6,72,3,9,5,4,22,26,4,8,14,98,89,233,295,164,477,580,124,352,32,2340
POA6004,4,34,30,21,44,31,15,11,0,191,15,30,33,14,54,64,15,50,48,333,255,722,779,430,1515,1766,509,1101,100,7173
POA6005,4,10,11,10,29,24,8,10,0,96,0,24,11,4,26,40,12,20,24,153,122,370,379,246,813,1022,305,593,65,3903
POA6006,4,28,25,18,33,34,8,20,0,176,0,22,13,12,32,33,7,22,27,172,210,757,643,416,961,1245,410,902,51,5591
POA6007,4,24,25,16,30,20,6,20,6,148,4,23,13,12,30,49,14,27,25,186,187,566,529,343,872,1119,382,827,64,4888
POA6008,8,39,30,19,35,28,12,33,4,194,4,44,32,30,52,73,23,39,40,337,279,1410,925,659,1278,1944,636,1426,76,8629
POA6009,8,67,36,14,21,25,10,25,4,200,12,99,47,21,37,73,21,57,58,415,306,2336,1141,593,996,1632,540,1491,96,9142
POA6010,10,62,38,18,30,22,11,20,0,215,13,68,37,21,25,61,27,56,37,341,349,1752,1083,681,1071,1803,665,1584,77,9073
POA6011,0,38,8,7,19,15,0,9,0,104,5,42,23,9,11,35,14,42,28,213,192,952,574,353,455,898,300,969,70,4762
POA6012,0,44,19,14,18,29,0,19,0,150,9,39,25,16,20,46,13,21,20,204,176,849,620,368,540,849,251,808,36,4486
POA6014,3,56,44,18,62,38,16,23,5,285,18,60,37,25,46,72,25,46,56,380,401,2020,1565,926,1773,2354,778,1735,108,11657
POA6015,0,21,10,6,7,10,0,9,0,74,6,19,12,4,14,40,9,39,19,166,106,675,432,222,326,594,210,631,36,3235
POA6016,9,38,23,10,37,36,10,19,0,178,3,38,25,14,46,38,15,23,23,240,206,917,873,499,1069,1307,402,848,62,6187
POA6017,9,20,18,6,31,25,6,11,0,121,0,13,9,10,21,21,4,5,19,104,96,331,392,222,624,558,139,290,51,2704
POA6018,18,119,90,60,125,127,47,93,0,687,27,122,74,55,115,200,45,121,98,856,870,3303,2517,1644,3644,4923,1587,3319,205,22018
POA6019,19,82,82,47,93,94,21,46,4,490,21,65,52,37,71,135,35,85,90,593,633,1901,1591,1042,2289,2962,1002,2369,189,13971
POA6020,9,92,50,37,45,77,17,43,6,367,20,66,47,25,48,103,25,61,47,443,494,2065,1503,857,1513,2246,746,1702,105,11219
POA6021,8,80,56,32,100,91,26,48,3,441,11,72,49,29,105,101,19,41,61,497,355,1594,1307,826,2175,2341,670,1345,153,10766
POA6022,7,27,21,13,23,22,12,13,0,126,8,20,22,0,13,35,7,15,13,136,135,372,311,199,471,560,184,336,37,2598
POA6023,14,48,35,25,42,57,6,28,0,257,9,47,29,15,36,65,9,33,30,286,329,1348,1035,621,1154,1616,550,1152,79,7877
