POA_CODE_2021,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
POA6000,20,348,11,69,16,4,5,15,3,494,20,87,0,28,24,6,0,3,4,179,154,242,29,105,199,60,5,49,9,847,57,227,13,99,91,18,3,40,0,542,26,81,21,30,28,22,0,8,5,228,22,0,75,54,21,13,3,10,5,209,0,0,0,4,0,0,0,0,0,5,5,17,0,14,9,0,0,4,0,49,8,7,0,9,4,0,0,6,12,42,363,1279,209,438,433,140,23,175,45,3110,36,196,33,18,22,21,3,10,7,347,48,237,35,10,22,7,7,17,0,377,150,540,207,39,53,27,49,66,15,1152,32,89,67,8,21,4,13,27,5,274,10,27,12,4,3,3,5,9,0,72,42,536,25,98,22,4,9,25,5,756,27,142,0,29,28,7,6,10,4,257,359,517,67,160,298,98,28,88,22,1648,111,391,35,140,132,32,19,67,8,923,56,161,43,50,48,38,16,21,3,438
POA6003,7,89,3,16,0,3,0,9,0,130,8,30,0,16,8,0,0,0,0,59,26,65,12,33,47,16,0,6,3,208,18,62,7,23,40,9,0,12,0,173,14,24,9,10,10,6,0,4,0,80,8,4,29,22,7,5,0,8,0,76,0,0,0,0,0,0,0,0,0,0,4,3,0,4,0,0,0,0,0,13,0,4,0,0,0,0,0,0,4,14,104,345,70,134,122,48,7,43,8,874,20,34,7,11,4,5,0,3,0,90,9,47,8,3,4,5,0,4,0,76,37,98,49,9,11,9,12,13,5,239,16,24,17,7,0,8,0,0,3,77,3,10,4,0,5,3,0,0,0,25,8,129,3,28,6,3,0,9,0,180,8,44,3,16,6,0,0,4,0,88,73,132,26,53,70,29,10,24,3,420,34,134,14,43,48,13,5,9,4,308,22,65,21,19,13,18,4,3,0,170
POA6004,23,262,8,68,40,13,0,13,6,425,23,79,0,35,19,8,0,0,0,171,143,278,17,77,190,49,11,45,13,818,47,161,11,89,86,11,0,26,3,442,17,46,7,25,14,24,0,8,6,138,21,5,50,43,14,4,0,6,0,145,0,0,0,0,0,0,0,0,0,0,6,8,0,10,0,3,3,0,3,40,7,9,0,7,8,3,0,8,4,48,337,1088,145,378,430,145,24,122,31,2690,42,190,20,24,31,11,3,7,4,328,37,196,28,17,15,6,12,19,3,337,163,518,192,28,44,27,44,39,5,1059,38,54,52,9,14,9,7,23,0,216,11,16,3,4,0,3,3,15,0,53,42,441,19,84,41,13,7,19,7,673,41,107,5,38,23,8,3,8,0,229,347,513,61,119,285,109,31,83,15,1562,101,287,24,138,126,22,14,44,7,755,31,85,18,40,24,24,0,16,8,240
POA6005,14,194,9,40,24,7,0,3,4,293,10,47,0,11,6,6,0,5,0,93,66,137,13,33,114,22,0,11,0,403,29,147,0,42,42,10,0,13,0,290,11,49,9,16,19,9,0,3,0,119,10,0,19,10,8,0,0,5,0,52,0,0,0,0,0,0,0,0,0,3,6,4,0,8,3,0,0,3,0,29,3,7,0,8,3,0,0,0,3,24,190,744,67,185,251,66,8,55,20,1591,28,151,15,12,14,9,0,6,0,227,19,99,11,7,8,4,0,0,0,143,67,279,95,9,30,7,12,24,9,516,10,52,26,9,9,3,3,5,0,119,5,17,5,4,0,3,5,0,0,41,25,296,13,48,26,7,5,8,9,428,19,89,6,18,12,6,0,5,0,145,146,285,30,55,141,46,14,25,12,758,56,242,9,60,64,11,3,24,3,478,15,73,15,26,25,12,6,6,0,189
POA6006,32,305,9,42,32,7,0,8,0,426,18,184,6,21,17,4,0,5,0,250,134,171,5,30,120,37,3,15,0,518,62,230,9,62,62,18,0,8,9,463,33,84,14,26,19,14,0,0,5,197,4,0,27,15,11,12,0,9,0,75,0,0,0,0,0,0,0,0,0,0,4,10,0,7,5,0,0,0,0,32,5,6,0,0,0,0,0,0,0,18,326,1155,87,226,297,101,9,58,14,2270,41,132,21,18,17,10,3,3,0,250,15,79,15,0,8,4,0,5,0,129,126,234,116,19,25,3,25,13,7,569,42,91,58,19,16,0,0,9,4,240,7,26,4,8,7,7,3,0,0,57,37,420,12,52,35,7,0,8,0,582,31,252,11,25,17,5,0,4,0,341,289,344,24,52,162,72,7,34,3,994,100,368,15,93,78,24,4,11,10,708,53,152,39,46,32,20,3,7,3,359
POA6007,21,362,7,48,20,11,0,3,9,487,13,110,0,16,13,4,0,4,0,162,127,178,3,20,122,42,0,8,3,507,39,225,6,46,34,13,0,9,3,377,16,53,8,17,16,11,0,0,0,130,8,3,15,18,12,11,0,6,0,78,0,0,0,0,0,0,0,0,0,0,4,6,0,9,6,0,0,0,3,26,4,8,0,10,3,0,0,0,3,33,272,1142,74,202,258,100,9,41,25,2124,35,164,20,10,18,6,6,4,0,271,30,74,7,3,4,0,0,5,0,132,123,253,92,9,14,7,12,21,3,538,31,78,59,7,14,8,7,12,0,207,6,28,7,3,0,4,0,5,6,58,34,536,14,58,25,15,7,9,9,705,18,156,0,20,16,3,0,4,0,216,250,358,17,33,167,62,3,21,13,922,82,369,8,71,51,20,0,11,6,620,32,107,18,32,20,20,9,6,0,239
POA6008,38,738,16,63,50,16,0,7,6,936,30,231,3,36,28,7,0,4,0,346,168,283,12,49,178,44,4,12,6,757,90,396,10,81,91,27,0,13,7,716,31,94,14,28,18,16,0,4,0,207,9,5,29,25,16,5,0,5,0,90,0,0,0,0,0,0,0,0,0,8,13,22,6,4,14,8,0,0,0,61,3,9,5,5,4,4,0,9,9,53,452,2111,122,328,456,156,16,67,35,3736,77,346,25,32,30,18,0,12,0,548,41,125,18,7,18,6,3,0,5,216,200,453,114,19,30,14,22,22,9,880,46,135,48,7,20,17,3,7,6,284,21,45,15,5,9,5,0,4,0,95,64,1130,17,76,61,23,0,14,10,1399,52,292,5,47,26,8,7,4,3,435,428,638,31,69,261,101,16,39,13,1592,173,711,18,118,123,37,6,26,14,1225,45,161,24,30,28,23,0,11,0,332
POA6009,50,656,3,54,63,15,0,4,4,849,33,165,5,31,53,6,0,0,0,286,176,251,12,44,150,71,3,8,17,742,82,357,4,69,85,35,0,7,4,647,23,76,7,27,19,16,4,9,3,175,7,6,11,9,0,8,0,4,3,49,0,0,0,0,0,0,0,0,0,0,6,21,0,14,5,0,0,0,0,44,5,13,0,4,10,3,0,0,7,41,458,1849,80,319,459,173,9,57,47,3450,110,365,26,54,44,29,6,22,6,674,26,75,12,7,14,10,3,8,0,156,212,440,73,30,40,21,11,23,4,859,55,77,28,16,17,4,3,12,0,217,18,43,13,15,11,3,3,20,0,128,72,1269,11,67,70,20,0,7,10,1526,43,204,8,34,52,9,6,0,0,359,501,603,30,78,230,127,17,31,37,1655,169,668,18,102,118,47,7,27,14,1165,33,117,20,39,33,26,9,10,3,291
POA6010,65,673,16,65,45,10,0,0,3,885,42,238,12,53,37,11,4,7,0,389,231,293,12,35,206,60,4,17,4,862,95,308,0,63,104,33,0,10,0,617,38,88,5,17,28,21,0,0,5,203,11,3,17,16,15,8,0,5,5,84,0,0,0,0,0,0,0,0,0,0,12,19,0,5,5,0,0,0,0,53,6,15,0,7,14,8,0,0,8,48,579,1900,96,294,501,179,14,38,31,3627,82,243,19,37,24,11,10,9,5,448,34,83,17,0,18,0,5,0,0,159,233,375,118,25,35,21,15,14,3,840,75,120,39,12,19,16,4,4,0,302,24,39,6,3,12,3,3,6,8,100,87,1034,22,100,49,15,6,0,5,1326,56,314,15,64,40,15,3,4,0,504,643,720,27,75,279,131,15,36,28,1951,209,566,9,104,137,49,4,16,9,1107,56,141,13,25,34,28,0,10,3,320
POA6011,23,346,4,26,32,10,0,3,8,451,27,118,0,24,20,7,0,0,0,210,122,133,9,23,90,28,0,4,10,413,41,194,3,27,52,15,0,0,9,345,13,47,3,5,11,15,3,3,0,110,8,4,5,7,8,3,0,0,0,31,0,0,0,0,0,0,0,0,0,0,8,14,0,7,0,3,0,0,0,26,0,8,0,3,0,3,0,0,10,24,272,982,45,136,244,85,0,12,34,1814,54,114,9,13,22,9,0,6,0,224,10,13,0,0,0,0,0,0,0,33,113,157,40,7,15,7,8,10,0,361,39,81,28,0,15,4,0,0,3,173,24,12,7,4,8,4,0,3,0,58,43,616,7,37,31,10,0,3,11,752,38,133,0,37,20,7,0,0,0,244,365,382,25,30,131,74,9,13,21,1051,103,362,3,42,61,28,3,5,16,624,23,82,15,14,10,17,3,6,0,171
