POA_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
POA6000,61,23,83,1094,422,31,1549,9645,1663,12861
POA6003,18,0,22,322,133,12,460,2558,349,3372
POA6004,92,5,98,1042,439,27,1514,8283,1016,10809
POA6005,99,8,108,569,261,25,852,4382,381,5618
POA6006,215,25,250,1604,510,79,2191,5537,397,8130
POA6007,178,50,234,1200,383,46,1633,4902,467,7000
POA6008,252,72,327,2653,964,91,3707,9025,775,13507
POA6009,454,28,493,2966,1239,118,4314,10946,620,15885
POA6010,625,107,742,3083,1271,141,4492,10310,814,15616
POA6011,206,44,254,1477,778,50,2306,5149,406,7864
POA6012,168,41,211,1469,581,63,2108,5061,451,7622
POA6014,662,43,716,4215,1325,174,5709,11416,589,17711
POA6015,296,12,319,1149,466,52,1675,3738,195,5601
POA6016,166,8,173,2179,455,86,2722,5506,354,8583
POA6017,66,3,67,567,169,16,758,2945,307,4002
POA6018,1149,224,1387,7755,2414,292,10460,22350,1704,34508
POA6019,428,19,454,4070,1409,150,5626,13601,1167,20398
POA6020,452,30,489,3928,2123,181,6230,11453,659,18347
POA6021,577,43,640,3480,1290,96,4873,11901,784,17551
POA6022,69,3,70,983,359,50,1387,2657,142,4186
POA6023,293,20,314,3289,1219,151,4661,7480,384,12530
POA6024,169,11,185,2417,1067,141,3621,7054,431,11105
POA6025,408,38,449,5832,2335,252,8419,16246,910,25574
POA6026,678,52,740,3915,1848,196,5962,12131,535,18637
POA6027,595,93,695,7176,2978,311,10463,23146,1693,35310
POA6028,194,15,213,4247,1663,152,6069,12450,651,19164
POA6029,64,3,73,521,217,21,753,1467,108,2330
POA6030,689,97,793,6942,2378,354,9669,21213,1913,32797
POA6031,56,4,58,3990,1014,176,5175,8168,597,13943
POA6032,0,0,0,20,16,9,41,99,19,167
POA6033,8,0,8,58,42,0,104,233,35,371
POA6034,0,0,0,915,175,34,1122,1375,171,2667
POA6035,120,25,151,2157,563,99,2823,4867,581,8266
POA6036,76,6,81,3304,983,158,4449,8391,672,13511
POA6037,28,8,35,622,208,39,874,1808,271,2953
POA6038,37,0,35,2395,473,97,2963,4162,365,7482
POA6041,22,6,27,201,119,7,325,918,118,1357
POA6042,4,0,4,4,0,0,7,65,19,100
POA6043,3,0,3,11,24,0,37,160,22,221
POA6044,31,5,35,109,76,6,187,886,101,1174
POA6050,605,102,707,2255,911,92,3262,9639,662,13557
POA6051,107,4,114,1814,579,51,2446,8333,697,11470
POA6052,202,36,242,2064,629,71,2766,6322,448,9529
POA6053,378,46,428,2701,810,124,3633,8454,580,12668
POA6054,371,36,410,3316,1207,152,4677,11565,1054,17296
POA6055,201,32,234,6979,1602,231,8808,14490,1351,24650
POA6056,734,236,971,6083,2586,300,8962,22822,2434,34217
POA6057,283,35,318,2868,1081,119,4068,8797,707,13570
POA6058,237,26,267,2192,766,114,3069,6988,631,10687
POA6059,762,48,815,3637,1402,111,5146,14404,901,20446
POA6060,704,63,786,3800,1213,149,5170,15596,1174,21938
POA6061,491,44,546,6374,1699,207,8273,22580,2740,33596
POA6062,803,64,876,5210,1970,152,7326,19941,1366,28637
POA6063,122,14,138,2363,743,105,3216,7994,663,11873
POA6064,361,143,506,4567,1831,174,6567,17047,1512,25122
POA6065,782,120,915,13967,3825,532,18331,32453,2189,52977
POA6066,185,8,198,2834,1194,87,4113,10126,676,14916
POA6067,0,0,0,0,0,0,0,28,3,37
POA6068,0,0,0,0,0,0,0,4,0,10
POA6069,414,37,451,9570,2365,390,12326,20457,1806,34593
POA6070,47,4,58,726,276,47,1046,1789,123,2960
POA6071,52,5,64,541,259,29,833,1912,153,2900
POA6072,10,0,10,116,88,11,211,450,38,695
POA6073,128,14,140,475,253,26,759,1819,121,2699
POA6074,11,0,17,172,63,5,242,556,41,832
POA6076,604,69,676,3549,1808,175,5534,12058,777,18368
POA6077,35,0,35,170,141,9,317,1069,63,1445
POA6078,5,0,5,118,70,7,198,530,49,779
POA6079,0,0,0,0,0,0,6,24,0,32
POA6081,47,8,55,879,348,43,1268,2566,159,3991
POA6082,32,3,35,564,200,39,793,1755,193,2743
POA6083,38,4,41,533,233,25,795,2027,207,3032
POA6084,53,12,64,1494,534,80,2114,4600,574,7290
POA6090,0,0,0,3,0,0,5,8,9,21
POA6100,159,17,182,2287,813,78,3181,9633,904,13713
POA6101,201,28,232,2739,749,97,3587,9968,1038,14593
POA6102,428,292,718,1479,457,55,1998,8919,1419,12331
POA6103,125,13,136,1465,479,42,1988,6813,625,9419
POA6104,329,97,432,2128,714,74,2912,8698,1152,12760
POA6105,314,27,335,2524,752,67,3345,9022,989,13362
POA6106,0,0,0,0,0,0,0,9,5,16
POA6107,533,43,583,8345,2070,235,10643,25642,2653,38939
POA6108,300,23,329,3796,1620,168,5586,12556,923,19062
POA6109,174,34,215,2115,610,56,2773,6820,828,10422
POA6110,592,192,790,8058,2415,340,10815,21972,2140,34927
POA6111,308,66,379,3554,1622,205,5381,12694,1248,19320
POA6112,544,73,626,14652,3460,598,18718,31077,2997,52786
POA6121,23,6,24,518,239,23,777,1621,119,2514
POA6122,126,12,139,4777,1244,257,6278,8707,776,15756
POA6123,21,0,21,428,137,18,579,1005,124,1703
POA6124,16,0,16,197,79,11,284,589,64,941
