POA_CODE_2021,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
POA6000,929,1832,4412,2406,1233,1031,646,265,77,12819,0,3,10,4,4,6,3,0,0,37,0,13,22,17,45,21,4,0,0,122,0,5,31,26,22,27,10,0,0,122,4,9,31,31,40,17,9,0,0,136,0,4,16,19,13,15,3,0,0,61,42,199,382,325,369,282,208,96,62,1962,0,0,5,0,3,0,7,0,0,23,0,0,3,11,11,3,3,0,0,32,0,0,3,0,4,0,0,0,0,13,0,0,0,0,4,0,0,0,0,0,52,228,494,431,500,372,242,95,62,2476,52,233,507,436,511,375,243,95,62,2511,975,2063,4917,2845,1737,1406,886,359,138,15331
POA6003,277,386,1224,611,330,285,192,74,22,3408,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,3,4,0,5,0,0,0,17,0,0,3,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,27,49,25,36,23,13,3,0,181,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,9,32,57,39,35,35,14,3,0,220,9,32,59,39,35,35,14,3,0,227,285,420,1279,650,374,323,208,80,22,3638
POA6004,833,1170,3242,1976,1221,1168,890,333,100,10925,10,5,13,18,9,18,9,0,0,75,6,13,17,36,27,40,9,0,0,144,0,0,20,10,20,22,0,3,0,86,0,9,33,27,27,39,8,0,0,139,0,5,3,9,24,11,5,6,0,62,84,92,250,182,162,111,74,30,14,1002,0,0,0,6,7,4,0,0,0,22,0,0,8,7,0,8,0,0,0,23,0,0,5,8,0,0,4,0,0,20,5,0,0,0,0,0,3,0,0,5,96,116,337,301,267,235,106,38,14,1510,105,119,351,313,277,253,112,40,14,1584,939,1287,3600,2285,1499,1424,1001,371,108,12511
POA6005,464,532,1804,1070,548,518,385,256,109,5695,0,0,8,9,7,4,0,0,0,27,0,7,3,0,7,8,0,0,0,22,0,0,4,4,0,3,0,0,0,14,0,3,5,4,6,8,4,0,0,30,0,0,0,0,3,0,4,0,0,12,14,55,74,62,73,59,34,7,3,388,0,0,0,0,6,0,0,0,0,3,0,0,0,0,4,0,0,0,0,11,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,19,67,81,69,102,77,39,7,3,477,19,64,88,80,107,83,44,7,3,499,482,603,1896,1152,655,603,427,262,114,6196
POA6006,1458,961,1605,1493,1202,1097,708,388,239,9155,0,0,0,0,0,4,3,0,0,11,0,5,0,0,0,0,0,0,0,9,0,0,0,0,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,18,24,40,18,15,13,11,3,8,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,30,45,18,22,14,16,13,8,182,16,30,48,18,25,19,21,14,8,198,1476,990,1652,1508,1232,1118,723,400,247,9349
POA6007,1073,757,1696,1234,974,731,625,295,221,7604,3,0,3,0,0,0,4,0,0,13,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,42,38,24,25,17,13,3,0,169,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,42,38,29,28,20,16,5,0,196,15,45,42,28,28,20,21,5,0,205,1082,801,1737,1263,1003,754,646,300,224,7809
POA6008,2558,1608,2301,2200,1936,1801,1693,941,314,15350,8,0,0,3,4,3,0,0,0,16,0,7,0,4,0,8,0,0,0,18,0,7,7,3,3,0,4,0,0,25,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,6,153,63,128,116,103,109,125,102,31,938,0,0,4,0,0,0,8,0,0,12,0,0,0,6,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,162,74,144,122,114,124,140,103,31,1016,163,79,142,126,113,130,143,103,31,1034,2723,1690,2445,2327,2054,1928,1828,1046,344,16385
POA6009,2991,3833,1902,1954,2156,1847,1818,1148,475,18125,3,7,0,0,4,3,3,3,0,27,4,5,5,0,0,0,4,0,0,15,5,13,3,5,3,0,0,0,0,30,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,266,289,210,199,122,179,217,216,108,1808,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,270,313,225,208,130,186,229,214,109,1885,271,319,225,215,134,186,235,215,110,1912,3265,4154,2127,2167,2290,2031,2047,1367,586,20039
POA6010,3163,2438,1742,1903,2457,2110,1904,1414,715,17850,4,3,6,4,6,9,7,4,0,38,0,8,9,7,0,0,0,0,0,26,0,0,4,0,0,3,3,3,0,16,0,5,3,8,0,0,0,0,0,14,0,3,0,0,0,0,0,0,0,4,57,72,63,49,58,36,38,30,20,420,0,0,0,0,0,0,4,0,0,3,0,0,6,8,5,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,94,85,71,58,41,39,34,20,504,66,91,91,79,64,50,46,36,19,541,3225,2531,1831,1983,2524,2156,1949,1459,735,18392
POA6011,1438,1242,856,867,1226,1199,1003,602,243,8662,0,0,0,0,0,0,0,3,0,11,0,7,6,0,0,3,0,4,0,28,0,0,5,0,4,5,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,65,45,57,26,26,16,18,10,0,272,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,56,63,31,33,26,26,12,0,323,65,58,68,30,38,26,26,15,6,335,1503,1297,922,902,1263,1218,1027,619,245,8996
