POA_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
POA6000,..,2664,2664,1941,471,2408,495,118,615,245,27,276,63,7,68,15,9,24,2755,3305,6064
POA6003,..,738,738,545,134,685,127,43,174,88,17,105,15,3,18,7,0,7,790,933,1724
POA6004,..,2259,2259,1981,344,2322,541,115,658,223,23,249,55,3,60,13,0,19,2817,2748,5564
POA6005,..,1387,1387,884,191,1082,259,60,326,107,14,122,33,3,33,0,0,0,1287,1661,2949
POA6006,..,1182,1182,1151,170,1319,534,98,631,539,26,568,135,4,138,37,7,38,2398,1483,3883
POA6007,..,1211,1211,1159,158,1314,411,60,473,359,15,376,94,4,99,16,0,16,2035,1448,3478
POA6008,..,2501,2501,2055,204,2255,846,59,904,855,19,873,265,3,267,63,0,63,4075,2790,6864
POA6009,..,1372,1372,1931,205,2140,830,110,944,1096,62,1153,529,10,543,118,9,125,4505,1773,6274
POA6010,..,2031,2031,2175,144,2320,940,49,985,1144,27,1172,468,6,473,101,0,102,4832,2264,7093
POA6011,..,845,845,1142,82,1218,468,32,503,494,17,511,254,0,256,79,0,79,2435,979,3415
POA6012,..,1147,1147,983,89,1071,452,23,473,531,12,541,237,6,238,51,0,51,2247,1272,3520
POA6014,..,2303,2303,2419,162,2574,1102,45,1148,1565,24,1579,616,0,617,137,0,137,5827,2530,8358
POA6015,..,411,411,754,13,761,294,11,307,500,11,513,239,5,243,65,0,63,1857,448,2309
POA6016,..,1083,1083,1108,134,1243,640,37,678,831,9,840,228,0,228,38,0,38,2843,1265,4109
POA6017,..,951,951,636,84,722,258,18,276,134,3,137,47,0,46,17,0,19,1085,1056,2146
POA6018,..,4305,4305,4774,456,5234,2459,165,2626,2835,43,2877,835,8,842,217,3,226,11117,4983,16105
POA6019,..,3095,3095,3130,417,3552,1306,152,1458,1402,36,1437,353,5,360,77,0,77,6262,3717,9981
POA6020,..,1582,1582,2858,95,2954,1108,14,1118,1657,9,1663,617,5,618,147,0,149,6385,1703,8083
POA6021,..,2263,2263,2558,148,2706,1273,46,1313,1318,26,1344,417,0,419,162,0,162,5730,2492,8218
POA6022,..,429,429,688,31,718,342,4,340,328,0,332,108,0,108,53,0,52,1519,464,1981
POA6023,..,919,919,1736,66,1804,895,18,915,1336,6,1346,450,4,453,111,0,118,4532,1006,5543
POA6024,..,1123,1123,1727,97,1824,886,17,909,876,6,885,326,6,332,95,0,95,3911,1256,5168
POA6025,..,2286,2286,4020,210,4235,1965,46,2015,2236,12,2250,738,4,742,200,0,202,9163,2561,11726
POA6026,..,1546,1546,2780,77,2855,1355,8,1366,1679,3,1681,573,0,571,171,0,169,6552,1639,8195
POA6027,..,3250,3250,5250,355,5610,2616,86,2700,2732,35,2762,989,9,995,337,11,347,11922,3746,15667
POA6028,..,978,978,2528,65,2598,1503,12,1516,1870,5,1874,697,0,697,215,0,215,6810,1068,7877
POA6029,..,185,185,326,19,345,138,9,149,220,0,221,84,0,84,21,0,18,781,217,1001
POA6030,..,2903,2903,4476,273,4749,2589,49,2641,2505,6,2518,1060,4,1063,467,3,471,11108,3235,14343
POA6031,..,895,895,1565,102,1659,1250,21,1275,1403,4,1405,554,0,554,288,4,286,5050,1022,6071
POA6032,..,12,12,23,3,27,9,0,9,13,0,13,6,0,3,3,0,3,49,18,67
POA6033,..,14,14,39,0,39,19,0,19,31,0,31,13,0,13,10,0,10,113,21,131
POA6034,..,197,197,378,12,392,251,0,257,239,0,239,111,0,111,45,0,45,1027,206,1237
POA6035,..,740,740,1126,58,1184,672,4,675,661,0,664,313,7,317,153,0,153,2926,809,3740
POA6036,..,1174,1174,1677,111,1791,1081,19,1100,1188,0,1190,518,0,518,250,0,250,4717,1310,6024
POA6037,..,334,334,427,22,447,171,4,177,227,0,230,107,0,107,56,0,56,992,355,1350
POA6038,..,648,648,958,53,1009,742,8,752,741,0,736,280,0,280,92,0,92,2816,710,3521
POA6041,..,111,111,227,13,241,78,0,76,67,0,67,37,0,37,22,0,22,432,125,555
POA6042,..,15,15,16,4,22,0,0,0,3,0,3,0,0,0,0,0,0,20,18,42
POA6043,..,44,44,60,3,65,6,0,6,0,0,0,0,0,0,0,0,0,72,48,115
POA6044,..,179,179,212,17,232,49,3,51,35,0,34,16,0,19,7,0,7,318,206,523
POA6050,..,2182,2182,1916,200,2113,762,68,836,827,35,863,283,3,288,76,0,76,3859,2493,6358
POA6051,..,2732,2732,1877,329,2210,664,82,742,477,15,497,122,3,127,44,5,48,3185,3168,6351
POA6052,..,1364,1364,1385,123,1509,741,41,785,734,15,748,197,6,203,49,0,49,3110,1552,4660
POA6053,..,1735,1735,1904,185,2090,996,50,1043,910,16,924,243,3,251,67,0,71,4121,1986,6111
POA6054,..,2489,2489,2516,220,2741,1310,59,1364,1128,16,1142,387,6,396,183,3,184,5528,2794,8317
POA6055,..,1932,1932,2976,215,3189,2154,43,2198,2160,16,2179,813,3,819,463,3,460,8563,2216,10778
POA6056,..,4822,4822,5002,425,5428,2379,81,2467,2075,14,2090,821,6,825,446,0,445,10722,5348,16072
POA6057,..,1419,1419,2063,142,2211,1050,16,1065,927,3,935,392,0,391,188,0,188,4621,1581,6204
POA6058,..,1357,1357,1627,138,1763,824,19,845,692,10,699,308,3,309,121,4,122,3568,1521,5096
POA6059,..,2815,2815,2885,218,3103,1440,59,1496,1374,24,1398,527,11,539,218,3,225,6441,3139,9579
