POA_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
POA6000,17,5,3,0,0,0,27,4,0,0,0,0,0,4,3,0,0,0,0,0,3,0,0,0,0,0,0,3,6,0,0,0,0,0,15,11,4,0,0,0,0,18,15,3,3,0,0,0,21,22,9,0,0,3,0,38,20,7,4,0,0,0,42,44,11,6,0,0,0,62,16,6,0,6,0,0,34,57,14,4,0,7,6,83,20,15,0,0,0,0,40,17,12,0,3,0,0,32,37,23,4,3,6,0,65,52,32,3,0,5,0,95,21,9,5,3,0,0,44,19,12,5,0,0,0,41,19,0,0,0,0,3,24,403,172,50,25,30,8,689
POA6003,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,8,0,0,0,0,0,8,9,0,0,0,0,0,11,6,3,0,0,0,0,17,11,3,0,0,0,0,15,11,0,0,0,4,0,22,12,6,0,0,0,0,21,4,0,0,0,0,0,4,8,7,0,4,0,0,19,6,0,0,0,0,0,8,13,0,0,0,0,0,11,7,6,0,0,0,0,13,11,16,4,0,3,0,28,4,7,4,0,0,0,19,9,4,3,0,0,0,14,9,7,0,0,0,0,15,133,64,12,6,13,0,224
POA6004,14,10,0,0,4,0,28,0,0,0,0,0,0,4,6,0,0,0,0,0,10,0,3,3,3,0,0,7,5,0,0,0,0,0,6,11,3,5,0,0,0,17,19,6,4,0,4,0,32,31,15,0,0,3,3,45,35,4,8,5,0,0,52,20,13,0,5,4,0,45,22,9,0,0,3,0,34,42,16,4,5,4,0,69,21,4,0,0,0,0,33,22,7,3,0,0,0,35,26,5,0,0,0,0,37,59,29,6,6,3,0,103,26,15,6,0,0,0,48,26,4,5,0,0,0,34,20,8,4,0,3,0,34,408,154,47,17,42,8,678
POA6005,10,0,6,0,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,9,3,5,0,0,0,0,8,3,3,0,0,0,0,9,14,3,0,0,0,0,23,14,0,0,3,0,0,19,21,3,0,0,0,0,27,5,4,0,0,0,0,13,26,8,0,4,0,0,36,4,4,0,0,0,0,10,7,6,0,0,0,0,14,16,7,0,0,3,0,33,13,7,0,0,4,0,33,9,9,0,0,0,0,12,5,12,0,0,0,0,21,4,3,0,0,3,0,13,154,86,20,22,19,5,299
POA6006,9,12,5,6,5,0,35,0,0,3,0,0,0,8,0,3,6,0,0,0,11,3,0,0,0,0,0,12,4,3,0,0,0,0,12,3,6,7,0,4,0,20,20,13,0,0,0,0,33,9,8,4,0,0,0,26,16,13,0,0,0,0,35,13,22,7,4,0,0,54,13,21,3,0,3,0,41,31,50,7,5,5,0,100,17,20,3,0,0,0,47,21,29,3,0,0,0,61,46,47,13,8,0,0,105,69,136,21,3,6,0,235,27,80,15,4,3,0,133,24,38,7,7,4,0,78,12,19,10,0,0,0,47,353,526,127,39,43,6,1091
POA6007,12,9,7,0,0,0,26,4,0,0,0,0,0,5,4,3,0,0,0,0,7,5,0,3,0,0,0,11,4,0,0,0,0,0,4,6,0,0,0,5,0,13,13,3,0,0,0,0,22,18,11,5,0,0,0,31,14,4,3,8,0,0,29,20,3,0,3,0,0,29,20,7,0,8,0,0,42,21,31,6,9,3,0,71,20,20,0,6,3,0,46,12,24,0,0,0,0,38,16,30,3,0,0,0,53,39,66,11,9,9,3,132,24,45,7,0,4,0,76,16,51,7,5,0,0,81,8,13,5,3,0,3,34,286,308,60,43,34,13,757
POA6008,25,17,13,0,7,0,63,5,3,7,0,0,0,8,8,3,4,0,3,0,21,7,3,0,0,5,0,11,5,3,0,0,0,0,17,6,0,3,4,0,0,22,16,6,7,0,3,0,30,20,17,10,6,5,0,53,14,18,11,5,4,0,45,22,19,10,3,5,0,64,15,19,0,4,0,0,38,28,43,9,9,7,0,98,13,19,3,0,0,5,38,14,21,8,0,0,0,42,23,45,10,3,3,0,89,61,136,30,7,7,0,243,32,112,26,11,3,0,179,50,143,30,3,9,0,232,10,25,13,0,3,0,59,363,656,199,57,72,10,1350
POA6009,33,28,19,3,11,0,95,7,0,3,0,0,0,9,6,0,0,0,3,0,9,5,5,5,0,0,0,11,10,4,9,0,0,0,20,9,5,6,0,0,0,22,17,10,6,0,0,0,36,9,7,9,0,0,0,24,7,6,6,0,0,0,23,16,4,4,0,0,0,21,0,13,0,0,0,0,18,18,23,21,5,5,0,68,3,4,4,4,4,0,16,3,15,7,4,0,0,26,9,22,10,6,5,0,53,29,84,34,8,4,0,156,22,95,29,7,6,0,160,73,288,105,8,15,0,480,14,48,25,4,13,0,106,284,668,294,50,58,9,1358
POA6010,21,17,19,4,9,0,75,3,4,3,0,0,0,10,10,3,4,0,3,0,18,10,5,13,0,0,0,24,9,6,3,0,0,0,18,15,11,3,8,4,0,35,10,17,5,0,3,0,33,11,9,7,3,8,0,32,12,18,12,9,3,0,50,19,15,5,3,3,0,47,7,19,5,0,6,0,37,21,53,23,3,13,0,116,8,20,12,5,0,0,38,7,31,12,3,4,0,55,21,50,10,4,3,0,89,52,174,57,11,11,0,300,45,136,43,9,8,0,243,57,229,90,11,18,0,406,29,41,24,8,10,0,112,367,837,341,87,91,10,1730
POA6011,23,14,10,0,6,0,45,0,0,0,0,0,0,3,4,0,0,0,0,0,9,4,0,0,0,0,0,4,7,6,3,0,0,0,9,7,0,0,0,0,0,10,9,4,4,0,4,0,18,5,7,0,0,5,0,12,0,3,3,0,0,0,11,0,5,7,3,4,0,13,5,0,3,0,0,0,8,17,19,5,0,3,0,51,0,0,6,0,0,0,8,0,4,0,0,0,0,10,4,9,3,0,0,0,19,15,39,15,4,3,0,72,18,41,21,5,4,0,92,60,160,70,6,3,3,299,17,26,12,6,5,0,59,188,345,167,32,35,4,774
