POA_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA6515,28,19,7,0,141
POA6516,195,200,64,13,950
POA6517,26,33,8,6,210
POA6518,22,7,9,5,106
POA6519,34,35,17,0,248
POA6521,31,28,11,0,170
POA6522,33,28,16,4,190
POA6525,346,316,165,33,1682
POA6528,33,24,11,4,154
POA6530,2519,1640,808,353,15567
POA6532,549,328,95,23,3298
POA6535,141,142,57,17,660
POA6536,169,167,53,11,743
POA6537,89,69,30,5,547
POA6556,226,131,37,11,1029
POA6558,119,61,20,3,627
POA6560,109,92,50,9,571
POA6562,105,118,31,9,659
POA6564,36,38,6,5,173
POA6566,447,370,140,29,1721
POA6567,80,49,30,0,254
POA6568,21,16,4,0,85
POA6569,16,8,10,5,104
POA6571,4,4,0,0,32
POA6572,0,0,0,0,18
POA6574,6,3,0,0,30
POA6575,6,8,10,0,44
POA6603,85,69,23,5,478
POA6605,6,0,0,0,19
POA6606,5,10,0,3,40
POA6608,17,4,0,0,72
POA6609,41,21,14,4,326
POA6612,18,7,4,4,67
POA6613,3,3,0,3,21
POA6614,0,0,0,0,6
POA6616,8,4,0,0,27
POA6620,59,19,6,5,294
POA6623,40,53,15,7,263
POA6625,0,4,0,0,23
POA6627,3,4,6,0,26
POA6628,0,0,0,0,4
POA6630,29,29,9,0,215
POA6631,5,0,0,0,5
POA6632,0,0,4,0,27
POA6635,22,12,0,0,229
POA6638,77,45,18,4,404
POA6639,18,6,9,0,76
POA6640,21,31,3,0,121
POA6642,96,35,12,0,619
POA6646,27,20,5,0,296
POA6701,401,260,94,23,2453
POA6705,10,7,0,0,62
POA6707,243,126,54,9,1716
POA6710,76,25,11,0,512
POA6712,10,0,0,0,44
POA6713,105,18,7,0,678
POA6714,981,247,45,3,9468
POA6716,61,14,0,0,609
POA6718,43,25,9,0,223
POA6720,129,42,11,0,1165
POA6721,315,85,28,0,2498
POA6722,689,185,34,13,5360
POA6725,787,347,101,23,5629
POA6726,421,228,49,11,3086
POA6728,329,213,44,6,2133
POA6740,93,44,19,4,537
POA6743,482,203,64,14,3219
POA6751,247,60,7,0,2193
POA6753,449,80,9,0,3783
POA6754,86,13,4,0,673
POA6758,111,10,3,3,858
POA6760,80,18,7,0,551
POA6762,34,3,0,0,376
POA6765,81,23,0,0,514
POA6770,142,67,14,3,983
