POA_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
POA6000,5,89,0,87,..,104,16,123,0,123,..,14,0,11,0,11,..,233,60,293,0,293,..,385,35,420,15,433,..,4183,553,4739,44,4781,..,80,11,91,1585,1674,7352,4269,567,4835,1630,13812
POA6003,0,5,0,5,..,48,8,54,0,53,..,3,0,3,0,3,..,57,14,66,0,68,..,93,9,102,0,106,..,920,144,1065,6,1068,..,7,0,7,335,347,2233,931,144,1076,343,3652
POA6004,4,64,4,66,..,57,7,69,0,69,..,9,0,9,0,9,..,111,30,142,0,145,..,288,31,318,10,323,..,3893,493,4386,49,4433,..,49,3,53,973,1024,6221,3942,499,4436,1022,11681
POA6005,0,36,0,36,..,26,16,38,0,38,..,5,0,5,0,5,..,37,15,53,0,53,..,178,14,194,6,196,..,1597,206,1801,11,1811,..,29,0,30,361,395,3893,1624,210,1831,369,6102
POA6006,0,0,0,0,..,24,0,27,0,27,..,0,0,0,0,0,..,143,39,177,0,178,..,166,18,181,7,190,..,1500,280,1774,18,1796,..,41,6,40,333,377,7451,1537,287,1820,348,9623
POA6007,0,9,0,9,..,21,0,19,0,19,..,3,0,3,0,3,..,41,8,55,0,57,..,149,14,165,8,171,..,1167,118,1285,15,1302,..,38,0,40,388,428,6370,1206,119,1326,404,8095
POA6008,0,39,0,42,..,40,6,46,0,46,..,14,0,14,0,14,..,65,8,72,0,70,..,320,24,347,12,354,..,2542,248,2784,29,2812,..,61,6,61,738,798,12513,2600,251,2849,766,16131
POA6009,0,94,0,94,..,25,0,25,0,33,..,8,0,8,0,8,..,134,24,156,0,158,..,286,10,292,8,301,..,3883,300,4189,43,4228,..,51,0,54,568,627,14078,3936,307,4241,614,18936
POA6010,0,27,0,27,..,10,3,10,0,10,..,3,0,7,0,7,..,21,0,21,0,21,..,254,15,269,5,276,..,2101,195,2293,16,2314,..,52,4,52,812,868,15685,2146,201,2346,834,18863
POA6011,0,6,0,6,..,10,0,10,0,10,..,8,0,8,0,8,..,11,0,11,0,11,..,69,5,78,0,78,..,610,37,644,6,647,..,13,0,13,395,406,8290,623,37,661,400,9346
POA6012,0,16,0,16,..,15,6,19,0,19,..,4,0,4,0,4,..,11,0,15,0,15,..,246,19,263,8,273,..,1152,94,1255,14,1267,..,43,3,45,459,504,7397,1199,103,1299,474,9169
POA6014,0,49,0,49,..,37,13,47,0,47,..,6,0,6,0,6,..,84,8,93,0,93,..,1024,48,1070,11,1080,..,3829,295,4123,38,4161,..,126,13,136,520,654,17276,3956,306,4258,555,22092
