POA_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
POA6000,1601,1395,2991,338,271,608,141,116,254,140,116,255,138,88,226,26,34,63,2198,1827,4028,8,14,22,28,20,51,6,12,22,3,0,3,2700,2227,4924,1499,1518,3014,89,58,145,4627,4066,8698,1025,651,1671,7252,6112,13365
POA6003,538,458,999,66,84,149,34,32,65,29,26,58,21,27,41,3,7,11,626,548,1176,3,0,6,0,4,9,6,3,6,0,0,0,724,646,1368,297,320,617,24,15,39,1119,1059,2176,218,145,360,1874,1663,3534
POA6004,1491,1372,2866,316,293,611,110,91,202,97,96,196,117,83,201,39,28,71,1750,1581,3327,13,13,24,35,6,48,12,5,23,0,0,0,2176,1909,4086,1219,1288,2508,71,67,138,3786,3556,7345,618,416,1033,5894,5340,11240
POA6005,778,729,1511,133,125,252,69,48,115,61,48,111,53,46,102,16,22,34,1095,1068,2166,7,8,16,14,9,22,9,6,14,0,0,0,1328,1252,2576,488,564,1054,45,27,78,1992,1965,3956,244,169,413,3015,2863,5876
POA6006,2267,2389,4657,219,201,423,53,48,106,65,51,117,22,24,49,13,13,34,1360,1427,2784,0,8,9,6,7,10,7,4,13,0,0,0,1530,1586,3115,210,247,459,44,25,70,2004,2062,4064,220,179,396,4487,4623,9119
POA6007,1441,1602,3040,229,210,434,68,57,127,34,61,92,31,39,66,6,13,24,1234,1369,2604,4,8,13,9,7,13,15,9,22,0,0,0,1406,1557,2963,308,380,685,38,32,72,1979,2176,4157,229,257,487,3650,4035,7687
POA6008,3408,3796,7208,633,649,1285,112,137,252,107,142,247,79,82,165,17,28,40,1831,1969,3803,9,7,15,13,19,34,18,14,36,3,3,5,2190,2406,4594,625,758,1387,50,35,77,3498,3850,7350,426,363,787,7330,8009,15345
POA6009,4311,4599,8911,750,693,1442,107,119,229,97,112,211,56,55,113,27,27,53,2094,2141,4233,9,10,20,16,14,31,15,12,25,0,0,0,2412,2497,4908,1142,1077,2224,38,45,81,4339,4313,8656,321,342,661,8974,9256,18230
POA6010,4248,4617,8866,503,526,1028,114,129,242,82,103,184,107,120,239,17,20,45,2537,2577,5109,4,7,13,19,21,42,24,20,36,0,0,0,2910,3003,5908,556,655,1219,39,43,81,4006,4230,8238,451,472,928,8715,9322,18032
POA6011,2282,2452,4736,340,342,675,100,98,194,55,68,121,25,33,58,8,11,18,949,1103,2050,0,5,3,5,0,9,4,4,9,0,0,0,1145,1314,2459,289,326,617,17,20,36,1788,1995,3783,217,210,425,4288,4656,8945
POA6012,2127,2379,4506,370,427,804,62,60,125,56,70,127,27,32,59,8,12,25,839,956,1796,13,4,11,8,11,18,18,9,28,0,0,0,1034,1157,2190,328,405,728,19,20,40,1749,2001,3757,266,236,505,4143,4622,8767
POA6014,5611,5907,11520,568,662,1230,109,111,213,108,113,218,49,51,102,22,34,59,2335,2570,4899,10,10,19,14,15,28,6,6,12,0,0,0,2645,2903,5552,914,1004,1920,54,40,85,4182,4605,8786,312,325,641,10105,10841,20944
POA6015,2005,2106,4107,145,158,303,22,35,54,31,35,67,16,11,28,3,5,11,698,705,1401,0,0,0,3,6,9,0,0,0,0,0,0,783,795,1580,213,193,403,11,10,17,1151,1153,2301,98,105,202,3251,3362,6612
POA6016,2617,2842,5460,385,355,739,34,45,76,45,47,89,19,18,32,8,11,17,1070,1134,2200,0,5,6,8,5,16,4,4,9,0,0,0,1181,1267,2451,469,521,986,38,42,78,2073,2189,4260,193,176,375,4883,5213,10097
POA6017,775,803,1573,75,58,128,18,21,33,6,14,22,6,15,18,3,3,5,652,673,1326,0,0,0,3,4,8,0,0,0,0,0,0,698,730,1424,373,408,785,24,17,35,1165,1205,2375,178,148,325,2120,2152,4265
POA6018,10137,11312,21452,944,1046,1988,169,197,358,136,183,314,146,135,279,44,39,78,5161,5761,10921,24,30,51,34,29,68,16,25,43,0,0,0,5724,6394,12117,924,1109,2029,146,138,287,7734,8685,16419,924,899,1819,18792,20899,39690
POA6019,5271,5444,10716,757,744,1502,167,189,352,154,163,311,143,136,274,13,25,38,3069,3285,6357,9,14,23,21,27,43,25,23,55,0,4,5,3596,3863,7464,853,955,1809,114,116,229,5321,5680,11004,703,548,1256,11301,11675,22971
POA6020,6773,7035,13809,488,551,1038,86,104,194,67,76,143,43,44,85,13,9,19,2272,2407,4676,14,7,21,8,13,26,5,6,9,3,3,5,2513,2668,5179,301,344,639,39,37,79,3341,3593,6937,402,367,768,10511,11003,21511
POA6021,5787,6432,12219,329,325,652,31,42,71,32,45,85,28,32,63,18,26,41,2307,2446,4752,4,5,12,7,18,29,6,3,9,0,0,0,2437,2616,5057,450,500,951,49,60,110,3272,3498,6773,427,404,829,9486,10334,19822
POA6022,1615,1658,3273,81,82,164,6,6,11,8,17,22,8,4,18,4,4,5,497,530,1028,5,0,9,5,3,6,0,0,0,0,0,0,531,570,1098,59,76,140,12,12,22,685,732,1417,90,56,144,2388,2454,4840
POA6023,5018,5167,10181,284,267,550,58,66,126,36,48,80,34,32,61,9,11,16,1506,1604,3109,9,3,8,12,10,26,3,3,13,4,0,4,1668,1776,3446,231,254,487,27,25,53,2208,2328,4530,206,180,388,7431,7677,15103
POA6024,4210,4216,8427,237,267,498,21,33,49,28,32,55,16,23,38,15,12,24,1334,1464,2803,5,4,7,7,10,17,0,0,4,0,5,5,1425,1575,2996,156,186,340,32,23,57,1846,2054,3893,282,229,511,6336,6495,12834
POA6025,9321,9528,18849,590,614,1202,90,115,201,75,93,171,76,79,157,8,11,16,3302,3502,6802,8,12,17,24,28,53,16,20,29,3,3,9,3600,3855,7458,470,564,1034,103,59,162,4762,5089,9844,548,429,974,14632,15042,29673
POA6026,7299,7642,14945,391,443,837,47,71,113,38,45,82,40,53,88,11,10,22,2055,2257,4308,9,3,9,7,12,20,7,7,16,0,0,0,2199,2464,4665,252,296,545,47,35,83,2896,3238,6130,332,315,642,10521,11196,21710
POA6027,12065,12334,24397,845,875,1726,115,126,247,124,127,247,108,99,208,25,24,52,4770,4775,9541,10,16,22,35,43,80,17,20,41,4,8,11,5215,5233,10454,911,943,1855,183,170,349,7159,7224,14382,1015,756,1767,20233,20310,40547
POA6028,6995,7115,14108,535,524,1059,106,87,190,77,75,151,85,91,176,11,11,22,2312,2439,4758,13,10,25,21,12,35,7,11,16,0,0,0,2627,2741,5370,560,549,1105,52,41,95,3764,3859,7625,397,295,699,11152,11279,22427
POA6029,818,896,1712,79,98,185,11,13,21,7,14,21,5,5,11,0,0,4,257,291,543,0,0,0,5,3,4,0,0,0,0,0,0,285,319,604,44,40,81,5,4,12,417,466,883,63,44,114,1298,1412,2708
POA6030,10742,11098,21839,1317,1350,2670,137,160,296,115,132,243,108,129,237,25,27,56,4217,4601,8823,15,26,38,33,31,63,7,11,20,0,0,0,4666,5112,9782,725,888,1614,178,178,355,6890,7531,14421,1179,983,2165,18809,19612,38420
POA6031,4979,5206,10184,538,627,1161,45,50,94,34,47,85,32,37,70,9,10,22,1977,2093,4071,8,12,14,19,18,31,3,3,6,0,0,0,2127,2270,4400,274,336,615,59,53,115,3004,3285,6293,367,273,636,8343,8767,17115
POA6032,62,53,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,22,36,0,0,0,0,0,0,0,0,0,0,0,0,16,22,36,4,4,8,0,0,0,26,26,46,8,9,17,96,89,182
POA6033,159,128,287,4,0,5,0,0,0,0,0,4,0,0,0,0,0,0,38,53,92,0,0,0,0,0,0,0,0,0,0,0,0,42,56,98,5,7,12,0,0,0,51,59,111,16,16,34,226,209,436
POA6034,527,524,1058,99,115,212,18,25,43,20,24,48,16,30,42,8,4,8,651,753,1403,4,0,5,8,7,17,0,4,4,0,0,0,720,852,1570,81,100,183,10,22,36,913,1091,1999,113,79,200,1556,1696,3251
POA6035,2521,2522,5038,401,458,860,47,75,128,42,62,102,56,63,116,14,15,27,1277,1433,2709,5,7,10,8,15,26,7,6,15,0,0,0,1456,1674,3130,154,178,334,41,43,82,2055,2347,4402,371,315,687,4947,5188,10132
POA6036,4131,4214,8342,777,867,1640,64,83,151,68,68,137,54,59,114,5,9,16,1899,2252,4153,6,4,15,8,7,20,8,3,10,0,3,5,2115,2501,4612,338,418,761,62,69,131,3290,3857,7149,430,317,748,7855,8387,16237
POA6037,907,852,1754,78,76,151,16,13,36,5,10,25,21,22,37,3,4,10,548,577,1125,10,4,13,11,11,24,0,3,8,0,0,0,620,647,1267,43,49,86,11,8,19,749,782,1532,162,127,282,1815,1756,3571
POA6038,1693,1774,3468,255,317,573,52,62,116,48,58,107,56,62,117,12,13,29,1677,1975,3652,10,15,19,17,16,33,3,3,8,0,0,0,1885,2194,4084,269,310,584,36,36,73,2448,2863,5312,246,161,405,4384,4796,9184
POA6041,501,459,968,18,26,48,4,4,7,0,6,9,6,5,7,0,0,0,157,175,326,0,0,0,0,0,6,0,0,0,0,0,0,168,187,357,7,12,20,11,8,15,204,230,433,74,56,129,779,751,1533
POA6042,26,23,45,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,17,12,25,0,0,0,0,0,0,0,0,0,0,0,0,14,12,26,0,0,0,0,0,3,24,15,41,17,5,27,65,45,105
POA6043,72,72,144,4,0,4,0,0,5,0,0,0,0,0,0,0,0,0,29,22,54,0,0,0,0,0,0,0,0,0,0,0,0,35,26,57,3,0,0,0,0,0,39,27,65,11,10,20,122,109,229
POA6044,350,315,668,58,43,97,6,3,8,3,0,3,0,3,10,0,0,0,110,105,215,5,0,5,0,0,3,0,0,0,0,0,0,127,116,246,43,75,115,0,3,3,227,236,467,74,59,131,655,606,1267
POA6050,3938,4158,8095,355,400,754,87,83,169,72,136,213,61,44,105,24,25,53,1904,2085,3987,11,9,18,10,16,27,3,12,17,0,0,0,2166,2414,4582,387,429,821,42,34,77,2954,3283,6237,406,359,766,7296,7799,15097
POA6051,2639,2539,5176,357,341,694,71,98,171,68,75,139,43,49,94,25,24,51,1995,2018,4005,7,7,18,16,13,27,11,9,15,0,0,0,2232,2284,4520,556,643,1196,73,53,127,3224,3312,6542,430,354,787,6289,6208,12504
POA6052,3011,3213,6223,287,333,620,47,55,106,43,46,90,16,27,45,15,23,33,1393,1421,2812,3,5,8,7,7,12,3,6,12,0,0,4,1531,1593,3123,179,220,398,38,38,73,2033,2181,4211,221,205,426,5267,5594,10865
POA6053,4028,4269,8302,351,411,760,30,41,71,37,46,80,32,42,70,7,9,23,1734,1860,3594,4,3,8,12,22,34,9,4,15,0,0,0,1869,2018,3893,288,310,594,54,50,107,2559,2797,5359,344,294,634,6934,7361,14295
POA6054,5733,6043,11773,476,522,1001,39,36,78,39,45,87,40,49,93,12,17,27,2346,2405,4750,3,3,9,11,11,18,8,0,9,3,0,3,2506,2566,5069,256,342,600,70,53,120,3303,3487,6791,659,513,1174,9696,10043,19737
POA6055,6873,6826,13691,445,461,912,119,117,238,99,91,187,94,83,183,41,41,79,5264,5413,10676,9,14,25,26,28,55,6,7,18,0,0,3,5664,5801,11465,596,785,1382,120,79,199,6831,7126,13950,701,726,1425,14400,14674,29072
POA6056,10955,11095,22048,810,888,1703,101,119,218,88,82,173,87,95,182,38,35,71,4981,5286,10269,10,27,43,43,37,81,0,10,8,5,4,9,5359,5695,11051,452,571,1019,203,178,378,6824,7325,14155,1445,1250,2696,19226,19673,38903
POA6057,4944,5096,10043,440,479,918,18,24,43,24,19,42,44,39,77,12,9,24,1620,1711,3332,3,12,13,10,14,31,0,0,4,0,0,0,1743,1824,3566,119,177,292,73,66,135,2373,2540,4914,409,337,745,7728,7971,15701
POA6058,3650,3680,7323,437,456,888,20,18,35,29,32,60,32,39,71,14,11,23,1336,1368,2700,0,6,5,5,9,19,7,3,10,0,0,0,1441,1482,2920,168,180,345,48,55,102,2084,2171,4261,408,343,747,6134,6197,12333
POA6059,6763,7461,14221,431,431,860,56,62,115,70,67,140,48,43,97,10,12,27,2620,2802,5423,4,5,8,14,16,31,9,4,9,0,0,0,2829,3010,5841,492,496,995,50,53,99,3804,3991,7801,489,457,947,11056,11908,22966
POA6060,5120,5852,10967,608,639,1242,68,78,146,92,105,200,71,76,148,23,23,49,3652,4066,7715,3,9,13,13,15,34,10,4,16,0,0,0,3938,4376,8318,943,1103,2052,100,79,180,5586,6202,11793,641,605,1246,11348,12656,24002
POA6061,9205,9489,18695,1142,1168,2306,112,98,212,91,108,201,66,78,144,30,32,58,4649,4807,9458,14,18,31,27,26,55,3,12,20,0,5,5,4992,5180,10174,1932,1953,3881,202,156,356,8261,8460,16718,1624,1444,3069,19094,19395,38484
POA6062,9473,9726,19195,805,878,1684,79,88,171,82,64,142,45,56,106,29,23,52,3820,3796,7618,10,10,22,22,22,40,9,4,14,0,0,0,4097,4070,8165,758,768,1527,108,97,200,5774,5804,11572,795,632,1431,16039,16164,32201
